Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2002-09-10;0030;0.00;7.64;90.30;0.00;0.54;207.30
AV01;Nava de Arevalo;2002-09-10;0100;0.00;7.04;90.20;0.00;0.55;215.50
AV01;Nava de Arevalo;2002-09-10;0130;0.00;6.72;90.40;0.00;0.70;209.10
AV01;Nava de Arevalo;2002-09-10;0200;0.00;6.82;90.70;0.00;0.91;194.50
AV01;Nava de Arevalo;2002-09-10;0230;0.00;6.37;90.70;0.00;0.70;213.20
AV01;Nava de Arevalo;2002-09-10;0300;0.00;6.24;91.00;0.00;0.96;199.50
AV01;Nava de Arevalo;2002-09-10;0330;0.00;6.01;91.60;0.00;0.91;192.60
AV01;Nava de Arevalo;2002-09-10;0400;0.00;5.79;91.80;0.00;0.80;197.90
AV01;Nava de Arevalo;2002-09-10;0430;0.00;5.45;92.30;0.00;0.76;196.30
AV01;Nava de Arevalo;2002-09-10;0500;0.00;4.90;92.50;0.00;0.10;216.30
AV01;Nava de Arevalo;2002-09-10;0530;0.00;5.19;93.20;1.43;0.68;193.90
AV01;Nava de Arevalo;2002-09-10;0600;0.00;5.17;93.00;27.88;0.56;231.20
AV01;Nava de Arevalo;2002-09-10;0630;0.00;6.74;92.60;115.90;0.32;204.00
AV01;Nava de Arevalo;2002-09-10;0700;0.00;8.45;90.40;193.30;0.58;204.30
AV01;Nava de Arevalo;2002-09-10;0730;0.00;10.69;82.30;289.20;1.52;170.60
AV01;Nava de Arevalo;2002-09-10;0800;0.00;13.10;72.70;395.30;2.08;168.10
AV01;Nava de Arevalo;2002-09-10;0830;0.00;15.05;63.42;510.20;2.58;173.80
AV01;Nava de Arevalo;2002-09-10;0900;0.00;16.42;56.86;601.20;2.44;183.10
AV01;Nava de Arevalo;2002-09-10;0930;0.00;17.50;48.65;680.40;2.00;201.00
AV01;Nava de Arevalo;2002-09-10;1000;0.00;18.43;43.94;748.00;1.40;185.70
AV01;Nava de Arevalo;2002-09-10;1030;0.00;19.53;39.95;803.00;1.35;256.90
AV01;Nava de Arevalo;2002-09-10;1100;0.00;20.11;37.67;840.00;1.69;264.00
AV01;Nava de Arevalo;2002-09-10;1130;0.00;20.35;34.30;866.00;2.23;255.50
AV01;Nava de Arevalo;2002-09-10;1200;0.00;21.24;30.95;879.00;2.33;275.20
AV01;Nava de Arevalo;2002-09-10;1230;0.00;21.55;30.00;876.00;2.39;289.90
AV01;Nava de Arevalo;2002-09-10;1300;0.00;22.15;28.21;857.00;2.76;294.80
AV01;Nava de Arevalo;2002-09-10;1330;0.00;22.41;26.89;808.00;2.51;325.30
AV01;Nava de Arevalo;2002-09-10;1400;0.00;22.90;26.25;717.00;2.34;307.80
AV01;Nava de Arevalo;2002-09-10;1430;0.00;22.93;26.56;641.40;2.34;319.70
AV01;Nava de Arevalo;2002-09-10;1500;0.00;23.43;26.36;570.60;1.87;306.00
AV01;Nava de Arevalo;2002-09-10;1530;0.00;23.77;26.38;550.70;1.59;323.80
AV01;Nava de Arevalo;2002-09-10;1600;0.00;23.91;26.16;398.40;2.15;316.90
AV01;Nava de Arevalo;2002-09-10;1630;0.00;23.39;27.30;363.90;2.00;347.70
AV01;Nava de Arevalo;2002-09-10;1700;0.00;23.56;27.15;220.70;1.95;341.30
AV01;Nava de Arevalo;2002-09-10;1730;0.00;22.94;27.72;177.20;2.30;339.90
AV01;Nava de Arevalo;2002-09-10;1800;0.00;21.66;31.95;50.45;2.06;328.60
AV01;Nava de Arevalo;2002-09-10;1830;0.00;18.53;48.91;4.74;0.90;304.20
AV01;Nava de Arevalo;2002-09-10;1900;0.00;16.21;57.27;0.05;0.50;25.95
AV01;Nava de Arevalo;2002-09-10;1930;0.00;15.43;61.93;0.00;0.70;219.50
AV01;Nava de Arevalo;2002-09-10;2000;0.00;13.46;72.90;0.00;0.78;208.60
