Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2002-08-15;0030;0.00;18.31;45.34;0.00;1.61;218.30
AV01;Nava de Arevalo;2002-08-15;0100;0.00;17.67;45.17;0.00;1.35;223.30
AV01;Nava de Arevalo;2002-08-15;0130;0.00;17.05;47.50;0.00;1.72;236.20
AV01;Nava de Arevalo;2002-08-15;0200;0.00;16.66;51.61;0.00;1.68;210.40
AV01;Nava de Arevalo;2002-08-15;0230;0.00;17.77;47.24;0.00;2.32;215.90
AV01;Nava de Arevalo;2002-08-15;0300;0.00;18.03;47.81;0.00;2.67;199.40
AV01;Nava de Arevalo;2002-08-15;0330;0.00;18.23;46.25;0.00;2.09;220.70
AV01;Nava de Arevalo;2002-08-15;0400;0.00;17.74;50.79;0.00;1.32;214.20
AV01;Nava de Arevalo;2002-08-15;0430;0.00;16.51;56.04;0.00;1.44;222.60
AV01;Nava de Arevalo;2002-08-15;0500;0.00;15.60;58.32;0.46;0.74;228.20
AV01;Nava de Arevalo;2002-08-15;0530;0.00;14.85;63.35;10.29;0.48;3.91
AV01;Nava de Arevalo;2002-08-15;0600;0.00;15.21;61.46;57.36;0.73;203.10
AV01;Nava de Arevalo;2002-08-15;0630;0.00;17.62;55.84;158.10;0.51;268.10
AV01;Nava de Arevalo;2002-08-15;0700;0.00;21.36;47.78;228.20;1.56;303.80
AV01;Nava de Arevalo;2002-08-15;0730;0.00;22.44;47.12;335.60;2.70;300.40
AV01;Nava de Arevalo;2002-08-15;0800;0.00;23.12;44.91;429.70;2.72;297.00
AV01;Nava de Arevalo;2002-08-15;0830;0.00;23.99;42.54;524.10;2.24;292.90
AV01;Nava de Arevalo;2002-08-15;0900;0.00;25.07;39.42;608.60;1.87;290.70
AV01;Nava de Arevalo;2002-08-15;0930;0.00;26.13;36.28;685.30;1.86;274.00
AV01;Nava de Arevalo;2002-08-15;1000;0.00;26.93;34.82;754.00;1.31;270.00
AV01;Nava de Arevalo;2002-08-15;1030;0.00;28.11;30.69;813.00;2.28;313.40
AV01;Nava de Arevalo;2002-08-15;1100;0.00;28.57;29.47;751.00;2.59;301.60
AV01;Nava de Arevalo;2002-08-15;1130;0.00;29.35;27.72;873.00;3.24;314.80
AV01;Nava de Arevalo;2002-08-15;1200;0.00;29.92;25.98;863.00;3.37;314.80
AV01;Nava de Arevalo;2002-08-15;1230;0.00;30.54;25.26;877.00;3.99;315.30
AV01;Nava de Arevalo;2002-08-15;1300;0.00;30.99;25.27;868.00;3.88;316.60
AV01;Nava de Arevalo;2002-08-15;1330;0.00;31.03;26.68;610.00;2.98;305.50
AV01;Nava de Arevalo;2002-08-15;1400;0.00;30.83;27.27;432.70;3.95;300.70
AV01;Nava de Arevalo;2002-08-15;1430;0.00;29.41;27.10;163.50;4.69;228.70
AV01;Nava de Arevalo;2002-08-15;1500;0.00;27.44;27.72;300.80;6.39;217.40
AV01;Nava de Arevalo;2002-08-15;1530;0.00;25.34;35.36;156.50;7.94;225.90
AV01;Nava de Arevalo;2002-08-15;1600;0.00;25.14;35.20;203.80;7.50;223.70
AV01;Nava de Arevalo;2002-08-15;1630;0.00;24.78;37.76;276.30;5.45;213.60
AV01;Nava de Arevalo;2002-08-15;1700;0.00;25.22;37.11;321.80;5.61;202.40
AV01;Nava de Arevalo;2002-08-15;1730;0.00;25.76;32.56;227.90;5.17;209.00
AV01;Nava de Arevalo;2002-08-15;1800;0.00;25.73;31.78;145.00;5.07;222.90
