Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2002-10-10;0030;0.00;6.28;87.00;0.00;4.79;301.10
AV01;Nava de Arevalo;2002-10-10;0100;0.00;6.03;87.30;0.00;4.66;301.80
AV01;Nava de Arevalo;2002-10-10;0130;0.00;5.59;88.00;0.00;5.05;303.00
AV01;Nava de Arevalo;2002-10-10;0200;0.00;5.19;89.10;0.00;4.60;301.60
AV01;Nava de Arevalo;2002-10-10;0230;0.00;4.92;89.50;0.00;4.48;300.00
AV01;Nava de Arevalo;2002-10-10;0300;0.00;4.67;89.70;0.00;4.37;293.80
AV01;Nava de Arevalo;2002-10-10;0330;0.00;4.61;89.80;0.00;4.16;297.30
AV01;Nava de Arevalo;2002-10-10;0400;0.00;4.68;89.50;0.00;3.46;295.10
AV01;Nava de Arevalo;2002-10-10;0430;0.00;4.49;90.00;0.00;4.12;286.50
AV01;Nava de Arevalo;2002-10-10;0500;0.00;4.30;91.30;0.00;4.49;285.30
AV01;Nava de Arevalo;2002-10-10;0530;0.00;4.21;91.60;0.00;4.25;281.30
AV01;Nava de Arevalo;2002-10-10;0600;0.00;4.36;91.10;0.43;4.10;281.00
AV01;Nava de Arevalo;2002-10-10;0630;0.00;4.39;91.30;5.26;4.52;284.00
AV01;Nava de Arevalo;2002-10-10;0700;0.00;4.32;91.50;21.12;4.22;287.80
AV01;Nava de Arevalo;2002-10-10;0730;0.00;4.41;91.20;36.97;4.65;283.50
AV01;Nava de Arevalo;2002-10-10;0800;0.00;4.74;90.60;105.90;4.76;284.20
AV01;Nava de Arevalo;2002-10-10;0830;0.00;5.28;88.60;186.10;5.51;287.20
AV01;Nava de Arevalo;2002-10-10;0900;0.00;5.90;87.40;224.50;5.92;289.60
AV01;Nava de Arevalo;2002-10-10;0930;0.00;6.58;85.60;423.90;5.88;290.60
AV01;Nava de Arevalo;2002-10-10;1000;0.00;7.75;83.30;604.40;5.79;284.80
AV01;Nava de Arevalo;2002-10-10;1030;0.00;8.84;76.70;652.00;5.12;305.80
AV01;Nava de Arevalo;2002-10-10;1100;0.00;9.18;71.60;394.20;5.06;313.90
AV01;Nava de Arevalo;2002-10-10;1130;0.00;9.61;70.40;434.70;4.89;318.60
AV01;Nava de Arevalo;2002-10-10;1200;0.00;10.45;66.10;469.60;5.09;323.10
AV01;Nava de Arevalo;2002-10-10;1230;0.00;10.34;64.64;272.90;4.91;328.60
AV01;Nava de Arevalo;2002-10-10;1300;0.00;10.80;62.51;332.10;5.33;325.30
AV01;Nava de Arevalo;2002-10-10;1330;0.00;10.96;63.64;307.90;5.18;328.00
AV01;Nava de Arevalo;2002-10-10;1400;0.00;11.18;62.52;234.90;4.77;334.00
AV01;Nava de Arevalo;2002-10-10;1430;0.00;11.07;62.21;180.50;4.68;321.60
AV01;Nava de Arevalo;2002-10-10;1500;0.00;11.45;62.42;192.00;4.78;322.40
AV01;Nava de Arevalo;2002-10-10;1530;0.00;11.36;62.22;145.20;4.42;319.10
AV01;Nava de Arevalo;2002-10-10;1600;0.00;11.49;62.09;75.70;4.03;328.10
AV01;Nava de Arevalo;2002-10-10;1630;0.00;11.20;64.47;46.02;2.77;320.10
AV01;Nava de Arevalo;2002-10-10;1700;0.00;11.05;66.77;40.44;1.75;313.60
AV01;Nava de Arevalo;2002-10-10;1730;0.00;11.40;67.23;13.65;1.19;314.70
AV01;Nava de Arevalo;2002-10-10;1800;0.00;10.11;75.10;0.28;1.38;286.70
AV01;Nava de Arevalo;2002-10-10;1830;0.00;8.89;76.80;0.00;1.99;286.50
AV01;Nava de Arevalo;2002-10-10;1900;0.00;8.52;77.80;0.00;2.47;278.20
AV01;Nava de Arevalo;2002-10-10;1930;0.00;9.01;75.40;0.00;3.23;280.20
AV01;Nava de Arevalo;2002-10-10;2000;0.00;8.78;74.40;0.00;3.35;281.30
AV01;Nava de Arevalo;2002-10-10;2030;0.00;8.16;77.70;0.00;3.03;276.30
AV01;Nava de Arevalo;2002-10-10;2100;0.00;7.87;79.30;0.00;3.58;274.20
AV01;Nava de Arevalo;2002-10-10;2130;0.00;8.01;79.60;0.00;3.61;284.80
AV01;Nava de Arevalo;2002-10-10;2200;0.00;7.33;81.40;0.00;3.07;276.90
AV01;Nava de Arevalo;2002-10-10;2230;0.00;6.36;84.80;0.00;3.10;273.90
AV01;Nava de Arevalo;2002-10-10;2300;0.00;5.99;86.20;0.00;2.90;279.50
AV01;Nava de Arevalo;2002-10-10;2330;0.00;5.43;87.10;0.00;1.87;269.80
AV01;Nava de Arevalo;2002-10-10;2400;0.00;4.90;89.30;0.00;2.06;260.60
BU01;Miranda de Ebro;2002-10-10;0030;0.40;8.28;90.90;0.00;0.59;234.00
BU01;Miranda de Ebro;2002-10-10;0100;1.00;8.30;90.60;0.00;1.03;250.70
BU01;Miranda de Ebro;2002-10-10;0130;0.40;8.30;90.70;0.00;0.89;252.40
BU01;Miranda de Ebro;2002-10-10;0200;0.40;8.23;90.70;0.00;0.17;192.10
