Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-04-04;0030;0.00;5.83;68.52;0.00;0.30;72.20
AV01;Nava de Arevalo;2015-04-04;0100;0.00;5.54;68.18;0.00;0.91;47.73
AV01;Nava de Arevalo;2015-04-04;0130;0.00;4.40;72.20;0.00;0.65;23.14
AV01;Nava de Arevalo;2015-04-04;0200;0.00;2.17;83.10;0.00;0.91;235.50
AV01;Nava de Arevalo;2015-04-04;0230;0.00;1.26;86.50;0.00;0.47;264.20
AV01;Nava de Arevalo;2015-04-04;0300;0.00;1.06;85.70;0.00;0.76;264.60
AV01;Nava de Arevalo;2015-04-04;0330;0.00;0.17;86.70;0.00;0.45;290.20
AV01;Nava de Arevalo;2015-04-04;0400;0.00;0.15;90.20;0.00;0.67;342.50
AV01;Nava de Arevalo;2015-04-04;0430;0.00;-0.07;91.10;0.00;0.62;1.49
AV01;Nava de Arevalo;2015-04-04;0500;0.00;0.04;91.10;0.00;0.48;200.70
AV01;Nava de Arevalo;2015-04-04;0530;0.00;-0.85;96.00;0.00;0.47;214.30
AV01;Nava de Arevalo;2015-04-04;0600;0.00;-0.32;96.60;1.87;0.24;163.10
AV01;Nava de Arevalo;2015-04-04;0630;0.00;-0.87;95.40;32.56;0.78;194.70
AV01;Nava de Arevalo;2015-04-04;0700;0.00;-0.58;94.90;126.70;0.62;194.50
AV01;Nava de Arevalo;2015-04-04;0730;0.00;2.63;91.40;192.30;0.16;188.60
AV01;Nava de Arevalo;2015-04-04;0800;0.00;5.21;76.60;299.90;1.41;95.30
AV01;Nava de Arevalo;2015-04-04;0830;0.00;5.76;74.30;413.80;2.14;87.20
AV01;Nava de Arevalo;2015-04-04;0900;0.00;7.06;68.05;517.00;1.46;87.80
AV01;Nava de Arevalo;2015-04-04;0930;0.00;8.06;63.80;610.20;1.74;34.15
AV01;Nava de Arevalo;2015-04-04;1000;0.00;9.26;59.76;690.20;1.68;43.95
AV01;Nava de Arevalo;2015-04-04;1030;0.00;10.41;57.14;757.00;2.57;28.23
AV01;Nava de Arevalo;2015-04-04;1100;0.00;11.68;49.87;809.00;2.79;30.04
AV01;Nava de Arevalo;2015-04-04;1130;0.00;13.06;47.24;849.00;3.08;47.35
AV01;Nava de Arevalo;2015-04-04;1200;0.00;14.12;44.40;874.00;3.16;39.48
AV01;Nava de Arevalo;2015-04-04;1230;0.00;14.56;40.21;883.00;3.06;41.45
AV01;Nava de Arevalo;2015-04-04;1300;0.00;15.50;38.69;875.00;3.16;42.77
AV01;Nava de Arevalo;2015-04-04;1330;0.00;16.35;32.76;855.00;3.16;34.32
AV01;Nava de Arevalo;2015-04-04;1400;0.00;16.92;30.94;821.00;3.03;34.54
AV01;Nava de Arevalo;2015-04-04;1430;0.00;17.36;27.08;777.00;2.74;43.63
AV01;Nava de Arevalo;2015-04-04;1500;0.00;18.03;24.40;718.00;2.61;36.07
AV01;Nava de Arevalo;2015-04-04;1530;0.00;18.20;20.88;644.80;2.39;23.43
AV01;Nava de Arevalo;2015-04-04;1600;0.00;18.69;20.21;559.90;2.73;28.89
AV01;Nava de Arevalo;2015-04-04;1630;0.00;18.69;19.14;463.60;2.51;45.52
AV01;Nava de Arevalo;2015-04-04;1700;0.00;18.12;20.61;361.80;2.63;43.61
AV01;Nava de Arevalo;2015-04-04;1730;0.00;17.45;28.10;256.50;3.00;35.99
AV01;Nava de Arevalo;2015-04-04;1800;0.00;16.25;33.54;155.00;3.21;31.07
AV01;Nava de Arevalo;2015-04-04;1830;0.00;14.47;41.84;61.08;2.60;29.94
AV01;Nava de Arevalo;2015-04-04;1900;0.00;11.40;52.65;7.43;1.51;27.87
AV01;Nava de Arevalo;2015-04-04;1930;0.00;8.96;62.74;0.16;1.46;25.51
AV01;Nava de Arevalo;2015-04-04;2000;0.00;7.65;68.84;0.00;0.81;12.79
AV01;Nava de Arevalo;2015-04-04;2030;0.00;5.88;76.50;0.00;0.13;40.73
AV01;Nava de Arevalo;2015-04-04;2100;0.00;6.15;74.20;0.00;0.42;25.53
AV01;Nava de Arevalo;2015-04-04;2130;0.00;4.91;81.30;0.00;0.37;163.60
AV01;Nava de Arevalo;2015-04-04;2200;0.00;4.85;78.30;0.00;0.63;150.20
AV01;Nava de Arevalo;2015-04-04;2230;0.00;2.95;87.70;0.00;0.64;210.30
AV01;Nava de Arevalo;2015-04-04;2300;0.00;1.15;92.20;0.00;0.09;208.70
AV01;Nava de Arevalo;2015-04-04;2330;0.00;0.90;93.60;0.00;0.37;197.10
AV01;Nava de Arevalo;2015-04-04;2400;0.00;1.28;93.70;0.00;0.34;226.50
AV101;Mu̱ogalindo;2015-04-04;0030;0.00;3.51;75.17;0.00;2.56;279.70
AV101;Mu̱ogalindo;2015-04-04;0100;0.00;4.57;66.71;0.00;2.26;251.20
AV101;Mu̱ogalindo;2015-04-04;0130;0.00;3.85;73.27;0.00;2.17;278.10
AV101;Mu̱ogalindo;2015-04-04;0200;0.00;3.08;72.89;0.00;0.88;49.86
AV101;Mu̱ogalindo;2015-04-04;0230;0.00;3.56;71.60;0.00;1.22;156.70
AV101;Mu̱ogalindo;2015-04-04;0300;0.00;3.09;76.07;0.00;1.32;145.40
AV101;Mu̱ogalindo;2015-04-04;0330;0.00;3.18;79.02;0.00;1.07;353.30
AV101;Mu̱ogalindo;2015-04-04;0400;0.00;2.94;77.22;0.00;1.90;90.20
AV101;Mu̱ogalindo;2015-04-04;0430;0.00;1.72;83.70;0.00;2.01;287.00
AV101;Mu̱ogalindo;2015-04-04;0500;0.00;1.25;84.90;0.00;1.67;254.90
AV101;Mu̱ogalindo;2015-04-04;0530;0.00;0.44;90.80;0.00;1.61;284.00
AV101;Mu̱ogalindo;2015-04-04;0600;0.00;-0.06;93.00;0.58;1.03;331.20
AV101;Mu̱ogalindo;2015-04-04;0630;0.00;0.07;89.10;47.07;1.66;234.90
AV101;Mu̱ogalindo;2015-04-04;0700;0.00;1.33;87.70;149.70;0.79;247.30
AV101;Mu̱ogalindo;2015-04-04;0730;0.00;3.59;79.66;265.30;2.48;94.00
AV101;Mu̱ogalindo;2015-04-04;0800;0.00;4.63;76.96;369.50;2.82;89.70
AV101;Mu̱ogalindo;2015-04-04;0830;0.00;6.14;71.50;451.30;1.72;77.75
AV101;Mu̱ogalindo;2015-04-04;0900;0.00;8.62;59.48;521.20;0.81;294.30
AV101;Mu̱ogalindo;2015-04-04;0930;0.00;10.25;54.38;603.00;0.69;115.90
AV101;Mu̱ogalindo;2015-04-04;1000;0.00;11.58;48.22;699.60;1.88;94.40
AV101;Mu̱ogalindo;2015-04-04;1030;0.00;12.64;38.56;780.30;2.81;99.10
AV101;Mu̱ogalindo;2015-04-04;1100;0.00;13.56;32.11;843.00;2.83;94.70
AV101;Mu̱ogalindo;2015-04-04;1130;0.00;14.42;30.45;889.00;2.96;92.50
AV101;Mu̱ogalindo;2015-04-04;1200;0.00;15.18;27.66;914.00;3.55;98.40
