Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2002-02-23;0030;0.00;0.85;80.50;0.00;2.15;194.20
AV01;Nava de Arevalo;2002-02-23;0100;0.00;0.12;82.70;0.00;2.05;190.30
AV01;Nava de Arevalo;2002-02-23;0130;0.00;0.08;82.30;0.00;2.29;197.40
AV01;Nava de Arevalo;2002-02-23;0200;0.00;0.09;81.40;0.00;2.16;199.20
AV01;Nava de Arevalo;2002-02-23;0230;0.00;0.01;81.60;0.00;2.07;195.50
AV01;Nava de Arevalo;2002-02-23;0300;0.00;-0.31;82.60;0.00;0.97;193.40
AV01;Nava de Arevalo;2002-02-23;0330;0.00;-1.40;85.00;0.00;0.67;221.50
AV01;Nava de Arevalo;2002-02-23;0400;0.00;-0.71;84.30;0.00;0.72;160.20
AV01;Nava de Arevalo;2002-02-23;0430;0.00;-0.69;83.70;0.00;0.93;151.70
AV01;Nava de Arevalo;2002-02-23;0500;0.00;-1.27;85.20;0.00;0.85;193.90
AV01;Nava de Arevalo;2002-02-23;0530;0.00;-0.94;86.10;0.00;0.70;199.90
AV01;Nava de Arevalo;2002-02-23;0600;0.00;-0.77;84.30;0.00;1.05;194.60
AV01;Nava de Arevalo;2002-02-23;0630;0.00;-1.10;86.60;0.18;1.19;205.30
AV01;Nava de Arevalo;2002-02-23;0700;0.00;-0.72;87.50;9.66;1.58;194.70
AV01;Nava de Arevalo;2002-02-23;0730;0.00;-0.18;87.30;73.10;1.79;194.20
AV01;Nava de Arevalo;2002-02-23;0800;0.00;1.74;82.90;164.60;1.49;197.10
AV01;Nava de Arevalo;2002-02-23;0830;0.00;4.80;75.70;266.20;1.52;214.70
AV01;Nava de Arevalo;2002-02-23;0900;0.00;7.09;70.30;315.30;1.47;245.40
AV01;Nava de Arevalo;2002-02-23;0930;0.00;8.99;64.47;331.80;1.04;264.30
AV01;Nava de Arevalo;2002-02-23;1000;0.00;10.54;58.81;303.70;1.13;341.00
AV01;Nava de Arevalo;2002-02-23;1030;0.00;10.77;58.96;560.20;1.23;37.99
AV01;Nava de Arevalo;2002-02-23;1100;0.00;11.46;57.46;610.20;1.71;343.00
AV01;Nava de Arevalo;2002-02-23;1130;0.00;11.73;59.24;644.10;1.79;3.63
AV01;Nava de Arevalo;2002-02-23;1200;0.00;12.26;57.09;663.70;2.05;354.40
AV01;Nava de Arevalo;2002-02-23;1230;0.00;12.81;54.48;668.80;1.94;351.10
AV01;Nava de Arevalo;2002-02-23;1300;0.00;13.32;54.86;660.20;1.49;319.30
AV01;Nava de Arevalo;2002-02-23;1330;0.00;13.74;52.21;632.30;1.89;350.10
AV01;Nava de Arevalo;2002-02-23;1400;0.00;14.50;48.43;594.80;1.93;287.70
AV01;Nava de Arevalo;2002-02-23;1430;0.00;14.81;44.82;547.20;2.19;303.60
AV01;Nava de Arevalo;2002-02-23;1500;0.00;15.01;44.83;483.50;2.78;314.30
AV01;Nava de Arevalo;2002-02-23;1530;0.00;15.43;40.10;408.10;2.63;311.60
AV01;Nava de Arevalo;2002-02-23;1600;0.00;15.57;40.36;324.90;2.79;306.10
AV01;Nava de Arevalo;2002-02-23;1630;0.00;15.56;40.13;232.00;2.56;302.90
AV01;Nava de Arevalo;2002-02-23;1700;0.00;15.03;41.28;137.60;2.67;316.70
AV01;Nava de Arevalo;2002-02-23;1730;0.00;13.83;46.93;47.24;1.39;308.50
AV01;Nava de Arevalo;2002-02-23;1800;0.00;11.04;53.58;5.14;1.04;285.60
AV01;Nava de Arevalo;2002-02-23;1830;0.00;8.18;60.30;0.06;0.85;266.40
AV01;Nava de Arevalo;2002-02-23;1900;0.00;7.24;61.79;0.00;1.10;204.90
AV01;Nava de Arevalo;2002-02-23;1930;0.00;6.26;64.47;0.00;1.74;267.80
AV01;Nava de Arevalo;2002-02-23;2000;0.00;6.20;64.26;0.00;1.91;273.00
AV01;Nava de Arevalo;2002-02-23;2030;0.00;5.58;64.77;0.00;1.78;266.80
