Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2002-03-28;0030;0.00;5.51;61.61;0.00;2.87;178.00
AV01;Nava de Arevalo;2002-03-28;0100;0.00;7.51;56.42;0.00;4.85;172.70
AV01;Nava de Arevalo;2002-03-28;0130;0.00;7.42;54.80;0.00;5.33;175.60
AV01;Nava de Arevalo;2002-03-28;0200;0.00;7.28;55.68;0.00;5.71;173.70
AV01;Nava de Arevalo;2002-03-28;0230;0.00;6.72;59.58;0.00;4.99;175.70
AV01;Nava de Arevalo;2002-03-28;0300;0.00;6.39;61.25;0.00;5.65;174.50
AV01;Nava de Arevalo;2002-03-28;0330;0.00;6.15;60.01;0.00;6.06;178.50
AV01;Nava de Arevalo;2002-03-28;0400;0.00;6.12;56.32;0.00;5.77;178.70
AV01;Nava de Arevalo;2002-03-28;0430;0.00;5.22;59.37;0.00;3.67;182.20
AV01;Nava de Arevalo;2002-03-28;0500;0.00;4.30;61.66;0.00;3.67;194.00
AV01;Nava de Arevalo;2002-03-28;0530;0.00;5.21;52.22;0.00;5.92;185.80
AV01;Nava de Arevalo;2002-03-28;0600;0.00;5.23;53.89;4.23;5.99;184.00
AV01;Nava de Arevalo;2002-03-28;0630;0.00;5.23;57.60;45.29;6.28;176.10
AV01;Nava de Arevalo;2002-03-28;0700;0.00;5.62;62.78;132.00;5.95;165.10
AV01;Nava de Arevalo;2002-03-28;0730;0.00;6.51;61.90;236.70;6.14;167.00
AV01;Nava de Arevalo;2002-03-28;0800;0.00;7.47;59.75;338.30;6.94;169.20
AV01;Nava de Arevalo;2002-03-28;0830;0.00;8.42;56.40;435.60;7.49;170.20
AV01;Nava de Arevalo;2002-03-28;0900;0.00;9.01;55.00;523.10;8.02;173.40
AV01;Nava de Arevalo;2002-03-28;0930;0.00;9.52;55.38;610.00;7.78;164.00
AV01;Nava de Arevalo;2002-03-28;1000;0.00;10.19;53.90;681.80;8.12;163.10
AV01;Nava de Arevalo;2002-03-28;1030;0.00;10.65;50.04;742.00;8.86;169.70
AV01;Nava de Arevalo;2002-03-28;1100;0.00;11.05;48.70;788.00;8.48;163.70
AV01;Nava de Arevalo;2002-03-28;1130;0.00;11.56;46.92;817.00;7.62;162.20
AV01;Nava de Arevalo;2002-03-28;1200;0.00;12.20;45.93;833.00;7.21;160.00
AV01;Nava de Arevalo;2002-03-28;1230;0.00;12.24;45.47;835.00;7.11;162.40
AV01;Nava de Arevalo;2002-03-28;1300;0.00;12.60;44.98;828.00;7.10;167.80
AV01;Nava de Arevalo;2002-03-28;1330;0.00;13.11;42.42;818.00;7.23;168.70
AV01;Nava de Arevalo;2002-03-28;1400;0.00;13.07;41.77;771.00;7.11;172.80
AV01;Nava de Arevalo;2002-03-28;1430;0.00;13.35;43.27;705.00;7.29;170.50
AV01;Nava de Arevalo;2002-03-28;1500;0.00;13.04;44.79;611.10;6.36;165.00
AV01;Nava de Arevalo;2002-03-28;1530;0.00;13.15;41.21;528.20;6.53;167.10
AV01;Nava de Arevalo;2002-03-28;1600;0.00;12.95;42.65;422.20;6.38;168.00
AV01;Nava de Arevalo;2002-03-28;1630;0.00;12.26;44.57;334.50;6.68;167.00
AV01;Nava de Arevalo;2002-03-28;1700;0.00;11.77;44.76;245.90;6.79;173.10
AV01;Nava de Arevalo;2002-03-28;1730;0.00;11.21;44.09;150.80;6.29;170.00
AV01;Nava de Arevalo;2002-03-28;1800;0.00;10.28;49.40;62.75;6.18;172.40
AV01;Nava de Arevalo;2002-03-28;1830;0.00;9.17;54.00;9.17;5.95;171.60
AV01;Nava de Arevalo;2002-03-28;1900;0.00;8.31;56.52;0.22;6.18;176.70
AV01;Nava de Arevalo;2002-03-28;1930;0.00;7.71;58.85;0.00;6.83;179.20
AV01;Nava de Arevalo;2002-03-28;2000;0.00;7.09;62.33;0.00;7.19;177.90
AV01;Nava de Arevalo;2002-03-28;2030;0.00;6.58;66.92;0.00;7.33;175.10
AV01;Nava de Arevalo;2002-03-28;2100;0.00;5.98;69.26;0.00;6.60;177.30
AV01;Nava de Arevalo;2002-03-28;2130;0.00;5.58;73.40;0.00;6.75;176.30
AV01;Nava de Arevalo;2002-03-28;2200;0.00;5.30;74.60;0.00;7.00;175.90
AV01;Nava de Arevalo;2002-03-28;2230;0.00;5.12;75.90;0.00;6.73;178.60
AV01;Nava de Arevalo;2002-03-28;2300;0.00;5.10;75.80;0.00;6.40;172.60
AV01;Nava de Arevalo;2002-03-28;2330;0.00;4.97;75.90;0.00;6.34;173.80
AV01;Nava de Arevalo;2002-03-28;2400;0.00;5.03;74.60;0.00;6.00;170.80
BU01;Miranda de Ebro;2002-03-28;0030;0.00;0.98;79.70;0.00;0.83;272.50
BU01;Miranda de Ebro;2002-03-28;0100;0.00;-0.07;81.60;0.00;0.33;227.70
BU01;Miranda de Ebro;2002-03-28;0130;0.00;-0.13;84.60;0.00;0.71;254.70
BU01;Miranda de Ebro;2002-03-28;0200;0.00;-0.35;82.20;0.00;0.43;285.10
BU01;Miranda de Ebro;2002-03-28;0230;0.00;-1.63;86.00;0.00;0.63;225.00
BU01;Miranda de Ebro;2002-03-28;0300;0.00;-1.45;85.60;0.00;0.79;235.00
BU01;Miranda de Ebro;2002-03-28;0330;0.00;-0.87;85.10;0.00;0.55;252.10
BU01;Miranda de Ebro;2002-03-28;0400;0.00;-1.78;85.80;0.00;0.58;238.90
BU01;Miranda de Ebro;2002-03-28;0430;0.00;-1.22;85.40;0.00;0.56;289.60
BU01;Miranda de Ebro;2002-03-28;0500;0.00;-1.41;85.70;0.00;0.57;216.30
BU01;Miranda de Ebro;2002-03-28;0530;0.00;-1.76;87.30;0.07;0.69;218.60
BU01;Miranda de Ebro;2002-03-28;0600;0.00;-1.20;86.10;3.68;0.88;226.40
BU01;Miranda de Ebro;2002-03-28;0630;0.00;-0.88;85.90;31.50;0.99;194.80
BU01;Miranda de Ebro;2002-03-28;0700;0.00;0.71;83.30;87.20;0.44;199.50
BU01;Miranda de Ebro;2002-03-28;0730;0.00;2.58;82.30;163.30;0.84;357.50
BU01;Miranda de Ebro;2002-03-28;0800;0.00;7.57;73.90;286.40;2.74;81.50
BU01;Miranda de Ebro;2002-03-28;0830;0.00;10.25;65.83;383.70;4.68;100.20
BU01;Miranda de Ebro;2002-03-28;0900;0.00;10.64;62.50;444.90;5.58;103.50
BU01;Miranda de Ebro;2002-03-28;0930;0.00;11.16;58.81;558.00;5.72;102.80
BU01;Miranda de Ebro;2002-03-28;1000;0.00;11.58;55.61;627.50;6.59;110.80
BU01;Miranda de Ebro;2002-03-28;1030;0.00;11.76;54.22;672.40;5.55;105.90
BU01;Miranda de Ebro;2002-03-28;1100;0.00;12.15;52.77;557.90;5.82;107.70
BU01;Miranda de Ebro;2002-03-28;1130;0.00;11.80;53.44;384.80;5.39;110.00
BU01;Miranda de Ebro;2002-03-28;1200;0.00;12.47;51.35;514.60;4.62;101.30
BU01;Miranda de Ebro;2002-03-28;1230;0.00;13.39;47.05;750.00;5.40;105.30
BU01;Miranda de Ebro;2002-03-28;1300;0.00;13.96;44.07;738.00;5.52;105.70
BU01;Miranda de Ebro;2002-03-28;1330;0.00;14.25;44.28;729.00;5.77;103.30
BU01;Miranda de Ebro;2002-03-28;1400;0.00;14.18;43.82;705.00;5.92;95.80
BU01;Miranda de Ebro;2002-03-28;1430;0.00;14.31;40.27;671.30;5.48;101.10
BU01;Miranda de Ebro;2002-03-28;1500;0.00;14.24;42.21;644.90;5.78;98.30
BU01;Miranda de Ebro;2002-03-28;1530;0.00;13.72;44.42;520.20;6.05;97.10
BU01;Miranda de Ebro;2002-03-28;1600;0.00;13.19;46.81;422.60;5.59;96.90
BU01;Miranda de Ebro;2002-03-28;1630;0.00;12.65;48.94;322.50;6.32;104.80
BU01;Miranda de Ebro;2002-03-28;1700;0.00;12.01;52.18;191.10;5.78;103.20
BU01;Miranda de Ebro;2002-03-28;1730;0.00;11.39;53.00;102.60;5.21;100.70
BU01;Miranda de Ebro;2002-03-28;1800;0.00;11.15;53.25;31.92;4.77;96.00
BU01;Miranda de Ebro;2002-03-28;1830;0.00;10.83;52.86;6.37;4.20;100.20
BU01;Miranda de Ebro;2002-03-28;1900;0.00;10.48;50.14;0.18;4.88;100.30
BU01;Miranda de Ebro;2002-03-28;1930;0.00;10.31;49.62;0.00;4.26;90.60
BU01;Miranda de Ebro;2002-03-28;2000;0.00;10.17;50.87;0.00;2.69;73.40
BU01;Miranda de Ebro;2002-03-28;2030;0.00;10.06;50.58;0.00;2.01;14.87
BU01;Miranda de Ebro;2002-03-28;2100;0.00;10.17;50.76;0.00;3.62;97.90
BU01;Miranda de Ebro;2002-03-28;2130;0.00;10.11;51.30;0.00;3.94;108.50
BU01;Miranda de Ebro;2002-03-28;2200;0.00;10.17;48.78;0.00;4.19;107.50
BU01;Miranda de Ebro;2002-03-28;2230;0.00;10.06;48.88;0.00;3.72;104.10
BU01;Miranda de Ebro;2002-03-28;2300;0.00;9.88;49.35;0.00;2.97;106.70
BU01;Miranda de Ebro;2002-03-28;2330;0.00;9.59;50.09;0.00;3.10;103.00
BU01;Miranda de Ebro;2002-03-28;2400;0.00;9.55;50.56;0.00;3.33;102.10
BU02;Valle de Valdelucio;2002-03-28;0030;0.00;2.83;42.64;0.00;1.24;93.30
BU02;Valle de Valdelucio;2002-03-28;0100;0.00;1.72;52.09;0.00;0.48;347.70
BU02;Valle de Valdelucio;2002-03-28;0130;0.00;1.19;54.49;0.00;0.91;350.30
BU02;Valle de Valdelucio;2002-03-28;0200;0.00;1.17;52.01;0.00;1.00;12.93
BU02;Valle de Valdelucio;2002-03-28;0230;0.00;0.85;53.98;0.00;0.71;334.30
BU02;Valle de Valdelucio;2002-03-28;0300;0.00;0.19;58.04;0.00;0.45;343.20
BU02;Valle de Valdelucio;2002-03-28;0330;0.00;-0.68;65.31;0.00;0.57;40.40
BU02;Valle de Valdelucio;2002-03-28;0400;0.00;-1.07;69.22;0.00;0.83;81.60
BU02;Valle de Valdelucio;2002-03-28;0430;0.00;0.65;68.32;0.00;1.94;73.40
BU02;Valle de Valdelucio;2002-03-28;0500;0.00;1.50;67.38;0.00;2.46;70.50
BU02;Valle de Valdelucio;2002-03-28;0530;0.00;1.22;70.40;0.00;2.69;71.30
BU02;Valle de Valdelucio;2002-03-28;0600;0.00;1.04;73.70;3.80;2.63;67.60
BU02;Valle de Valdelucio;2002-03-28;0630;0.00;0.93;79.20;32.08;2.79;74.10
BU02;Valle de Valdelucio;2002-03-28;0700;0.00;0.81;85.40;63.26;2.99;75.60
BU02;Valle de Valdelucio;2002-03-28;0730;0.00;1.13;90.30;97.50;3.23;81.40
BU02;Valle de Valdelucio;2002-03-28;0800;0.00;1.99;89.90;154.30;3.03;76.50
BU02;Valle de Valdelucio;2002-03-28;0830;0.00;3.62;85.50;351.50;3.01;76.40
BU02;Valle de Valdelucio;2002-03-28;0900;0.00;5.90;77.40;476.70;3.72;86.60
BU02;Valle de Valdelucio;2002-03-28;0930;0.00;7.38;72.40;561.50;3.98;96.10
BU02;Valle de Valdelucio;2002-03-28;1000;0.00;8.33;64.32;352.00;3.64;115.50
BU02;Valle de Valdelucio;2002-03-28;1030;0.00;8.66;60.06;361.60;3.96;129.90
BU02;Valle de Valdelucio;2002-03-28;1100;0.00;9.45;56.37;436.90;4.14;129.10
