Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-01-28;0030;0.00;-2.12;100.00;0.00;0.77;187.90
AV01;Nava de Arevalo;2015-01-28;0100;0.00;-2.26;100.00;0.00;0.96;191.00
AV01;Nava de Arevalo;2015-01-28;0130;0.00;-2.24;100.00;0.00;1.39;186.30
AV01;Nava de Arevalo;2015-01-28;0200;0.00;-2.17;100.00;0.00;1.35;182.90
AV01;Nava de Arevalo;2015-01-28;0230;0.00;-2.26;100.00;0.00;1.49;184.90
AV01;Nava de Arevalo;2015-01-28;0300;0.00;-2.26;100.00;0.00;1.83;179.60
AV01;Nava de Arevalo;2015-01-28;0330;0.00;-2.64;100.00;0.00;1.29;183.90
AV01;Nava de Arevalo;2015-01-28;0400;0.00;-2.88;100.00;0.00;0.66;184.20
AV01;Nava de Arevalo;2015-01-28;0430;0.00;-2.84;100.00;0.00;0.44;102.70
AV01;Nava de Arevalo;2015-01-28;0500;0.00;-3.24;100.00;0.00;1.44;169.00
AV01;Nava de Arevalo;2015-01-28;0530;0.00;-2.43;100.00;0.00;1.65;181.50
AV01;Nava de Arevalo;2015-01-28;0600;0.00;-2.70;100.00;0.00;1.74;180.20
AV01;Nava de Arevalo;2015-01-28;0630;0.00;-2.75;100.00;0.00;1.02;195.00
AV01;Nava de Arevalo;2015-01-28;0700;0.00;-3.55;99.90;0.00;0.95;189.20
AV01;Nava de Arevalo;2015-01-28;0730;0.00;-3.82;100.00;0.87;0.84;99.40
AV01;Nava de Arevalo;2015-01-28;0800;0.00;-4.33;100.00;14.86;0.83;55.53
AV01;Nava de Arevalo;2015-01-28;0830;0.00;-3.79;99.90;70.20;0.10;104.90
AV01;Nava de Arevalo;2015-01-28;0900;0.00;-1.65;100.00;147.80;0.33;192.60
AV01;Nava de Arevalo;2015-01-28;0930;0.00;1.87;93.00;259.80;0.33;60.71
AV01;Nava de Arevalo;2015-01-28;1000;0.20;2.06;96.10;273.00;0.97;102.60
AV01;Nava de Arevalo;2015-01-28;1030;0.00;3.32;91.30;384.10;0.65;167.30
AV01;Nava de Arevalo;2015-01-28;1100;0.00;5.05;80.60;437.20;0.77;145.40
AV01;Nava de Arevalo;2015-01-28;1130;0.00;5.69;79.50;479.30;0.93;102.00
AV01;Nava de Arevalo;2015-01-28;1200;0.00;6.76;73.00;507.00;0.89;81.20
AV01;Nava de Arevalo;2015-01-28;1230;0.00;6.93;72.30;528.40;0.95;39.33
AV01;Nava de Arevalo;2015-01-28;1300;0.00;7.44;69.47;512.70;1.69;0.87
AV01;Nava de Arevalo;2015-01-28;1330;0.00;7.33;68.68;512.90;1.49;9.59
AV01;Nava de Arevalo;2015-01-28;1400;0.00;7.93;67.28;494.60;1.23;332.30
AV01;Nava de Arevalo;2015-01-28;1430;0.00;8.38;61.84;443.20;1.39;296.70
AV01;Nava de Arevalo;2015-01-28;1500;0.00;8.33;60.97;376.10;1.44;315.80
AV01;Nava de Arevalo;2015-01-28;1530;0.00;8.24;61.15;295.10;2.17;307.50
AV01;Nava de Arevalo;2015-01-28;1600;0.00;7.91;63.69;236.00;2.32;314.40
AV01;Nava de Arevalo;2015-01-28;1630;0.00;7.82;59.02;164.00;1.44;312.70
AV01;Nava de Arevalo;2015-01-28;1700;0.00;6.71;65.33;64.37;1.11;294.60
AV01;Nava de Arevalo;2015-01-28;1730;0.00;4.91;81.50;19.67;1.04;206.50
AV01;Nava de Arevalo;2015-01-28;1800;0.00;2.91;91.10;1.42;1.39;210.60
AV01;Nava de Arevalo;2015-01-28;1830;0.00;1.73;94.50;0.00;0.85;239.70
AV01;Nava de Arevalo;2015-01-28;1900;0.00;0.36;98.10;0.00;0.26;185.50
AV01;Nava de Arevalo;2015-01-28;1930;0.00;0.43;100.00;0.00;1.00;213.70
AV01;Nava de Arevalo;2015-01-28;2000;0.00;0.41;99.30;0.00;1.33;210.80
AV01;Nava de Arevalo;2015-01-28;2030;0.00;0.17;99.90;0.00;1.60;222.50
AV01;Nava de Arevalo;2015-01-28;2100;0.00;-0.46;99.90;0.00;1.65;209.90
AV01;Nava de Arevalo;2015-01-28;2130;0.00;-0.39;98.70;0.00;1.74;217.00
AV01;Nava de Arevalo;2015-01-28;2200;0.00;0.59;93.70;0.00;1.82;215.70
AV01;Nava de Arevalo;2015-01-28;2230;0.00;0.03;96.00;0.00;1.90;214.80
AV01;Nava de Arevalo;2015-01-28;2300;0.00;0.61;96.60;0.00;2.11;219.30
AV01;Nava de Arevalo;2015-01-28;2330;0.00;1.31;98.00;0.00;2.25;215.10
AV01;Nava de Arevalo;2015-01-28;2400;0.00;1.24;99.00;0.00;2.06;225.60
AV101;Muñogalindo;2015-01-28;0800;0.00;-3.35;69.99;118.90;2.22;309.90
AV101;Muñogalindo;2015-01-28;0900;0.00;-1.23;90.80;295.50;1.68;312.00
AV101;Muñogalindo;2015-01-28;0930;0.00;-0.15;87.50;352.20;1.37;347.50
AV101;Muñogalindo;2015-01-28;1000;0.10;1.77;85.70;474.20;1.80;328.30
AV101;Muñogalindo;2015-01-28;1030;0.00;4.62;72.11;482.90;1.75;227.60
AV101;Muñogalindo;2015-01-28;1100;0.00;5.72;71.53;522.10;1.84;205.50
AV101;Muñogalindo;2015-01-28;1130;0.00;8.35;51.27;575.30;2.00;275.00
AV101;Muñogalindo;2015-01-28;1200;0.00;9.45;39.20;611.80;2.45;264.70
AV101;Muñogalindo;2015-01-28;1230;0.00;10.49;31.15;627.10;2.35;323.90
AV101;Muñogalindo;2015-01-28;1300;0.00;10.94;35.39;620.00;4.26;357.90
AV101;Muñogalindo;2015-01-28;1330;0.00;10.31;37.76;604.70;4.18;341.90
AV101;Muñogalindo;2015-01-28;1400;0.00;9.48;47.82;558.20;5.68;1.91
AV101;Muñogalindo;2015-01-28;1430;0.00;8.88;48.46;505.20;3.12;354.40
AV101;Muñogalindo;2015-01-28;1500;0.00;9.19;43.35;436.60;2.76;320.30
AV101;Muñogalindo;2015-01-28;1530;0.00;9.23;46.26;360.10;2.43;235.90
AV101;Muñogalindo;2015-01-28;1600;0.00;9.03;48.51;263.70;2.14;273.00
AV101;Muñogalindo;2015-01-28;1630;0.00;9.21;49.03;194.20;2.48;260.30
AV101;Muñogalindo;2015-01-28;1700;0.00;7.91;60.44;68.94;2.89;313.40
AV101;Muñogalindo;2015-01-28;1730;0.00;5.30;72.80;17.20;2.96;288.10
AV101;Muñogalindo;2015-01-28;1800;0.00;3.77;77.25;1.07;2.76;294.40
AV101;Muñogalindo;2015-01-28;1830;0.00;2.76;79.29;0.00;2.62;273.10
AV101;Muñogalindo;2015-01-28;1900;0.00;1.99;82.10;0.00;1.82;278.90
AV101;Muñogalindo;2015-01-28;1930;0.00;1.50;81.20;0.00;2.43;269.40
AV101;Muñogalindo;2015-01-28;2000;0.00;0.11;87.60;0.00;2.83;277.40
AV101;Muñogalindo;2015-01-28;2030;0.00;1.04;85.50;0.00;3.05;265.60
AV101;Muñogalindo;2015-01-28;2100;0.00;0.94;86.10;0.00;2.73;269.40
AV101;Muñogalindo;2015-01-28;2130;0.00;2.81;81.50;0.00;2.80;245.00
AV101;Muñogalindo;2015-01-28;2200;0.00;2.22;83.20;0.00;2.01;256.20
AV101;Muñogalindo;2015-01-28;2230;0.00;1.45;85.40;0.00;2.09;297.60
BU02;Valle de Valdelucio;2015-01-28;0030;0.00;3.12;81.30;0.00;4.16;33.38
BU02;Valle de Valdelucio;2015-01-28;0100;0.00;2.76;83.30;0.00;1.31;108.70
BU02;Valle de Valdelucio;2015-01-28;0130;0.00;2.12;85.70;0.00;0.99;343.50
BU02;Valle de Valdelucio;2015-01-28;0200;0.00;2.07;85.40;0.00;0.81;232.30
BU02;Valle de Valdelucio;2015-01-28;0230;0.00;1.43;90.10;0.00;0.79;39.61
BU02;Valle de Valdelucio;2015-01-28;0300;0.00;1.99;88.10;0.00;2.48;8.06
BU02;Valle de Valdelucio;2015-01-28;0330;0.00;0.85;88.80;0.00;1.76;282.30
BU02;Valle de Valdelucio;2015-01-28;0400;0.00;0.72;93.00;0.00;0.66;322.50
