Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2014-06-28;0030;0.00;12.80;79.90;0.00;1.40;232.30
AV01;Nava de Arevalo;2014-06-28;0100;0.00;11.97;84.80;0.00;1.22;217.90
AV01;Nava de Arevalo;2014-06-28;0130;0.00;11.48;85.40;0.00;1.39;210.50
AV01;Nava de Arevalo;2014-06-28;0200;0.00;11.73;82.50;0.00;1.28;203.50
AV01;Nava de Arevalo;2014-06-28;0230;0.00;11.88;80.40;0.00;1.47;180.30
AV01;Nava de Arevalo;2014-06-28;0300;0.00;10.97;85.30;0.00;1.17;200.80
AV01;Nava de Arevalo;2014-06-28;0330;0.00;9.95;89.90;0.00;0.66;209.50
AV01;Nava de Arevalo;2014-06-28;0400;0.00;9.88;91.10;0.00;0.77;199.40
AV01;Nava de Arevalo;2014-06-28;0430;0.00;9.15;92.90;0.07;0.18;325.30
AV01;Nava de Arevalo;2014-06-28;0500;0.00;9.33;93.80;4.17;0.71;208.60
AV01;Nava de Arevalo;2014-06-28;0530;0.00;9.89;92.70;38.73;0.80;248.60
AV01;Nava de Arevalo;2014-06-28;0600;0.00;12.36;90.40;108.10;1.71;266.00
AV01;Nava de Arevalo;2014-06-28;0630;0.00;13.63;87.70;193.90;2.28;264.20
AV01;Nava de Arevalo;2014-06-28;0700;0.00;14.54;82.20;290.70;2.25;264.80
AV01;Nava de Arevalo;2014-06-28;0730;0.00;15.66;75.90;389.50;3.12;265.90
AV01;Nava de Arevalo;2014-06-28;0800;0.00;16.84;70.10;490.90;3.13;266.40
AV01;Nava de Arevalo;2014-06-28;0830;0.00;17.82;63.79;537.80;3.39;263.60
AV01;Nava de Arevalo;2014-06-28;0900;0.00;18.86;60.15;651.20;2.11;264.90
AV01;Nava de Arevalo;2014-06-28;0930;0.00;20.21;53.81;717.00;2.69;275.00
AV01;Nava de Arevalo;2014-06-28;1000;0.00;22.10;46.66;809.00;3.66;272.90
AV01;Nava de Arevalo;2014-06-28;1030;0.00;23.17;42.29;844.00;4.79;272.50
AV01;Nava de Arevalo;2014-06-28;1100;0.00;22.79;39.73;624.90;4.70;265.40
AV01;Nava de Arevalo;2014-06-28;1130;0.00;23.50;39.06;842.00;4.52;261.80
AV01;Nava de Arevalo;2014-06-28;1200;0.00;25.11;33.71;994.00;5.02;265.00
AV01;Nava de Arevalo;2014-06-28;1230;0.00;24.99;34.07;906.00;5.05;251.50
AV01;Nava de Arevalo;2014-06-28;1300;0.00;23.74;39.57;398.10;4.68;292.80
AV01;Nava de Arevalo;2014-06-28;1330;0.00;25.14;37.09;889.00;4.53;288.10
AV01;Nava de Arevalo;2014-06-28;1400;0.00;24.03;40.70;475.30;4.71;296.30
AV01;Nava de Arevalo;2014-06-28;1430;0.00;22.71;47.94;647.30;5.63;306.10
AV01;Nava de Arevalo;2014-06-28;1500;0.00;22.05;49.91;454.30;5.00;301.90
AV01;Nava de Arevalo;2014-06-28;1530;0.00;23.39;45.88;721.00;4.79;299.00
AV01;Nava de Arevalo;2014-06-28;1600;0.00;22.92;46.52;415.20;4.56;290.80
AV01;Nava de Arevalo;2014-06-28;1630;0.00;22.30;46.39;208.40;4.63;281.40
AV01;Nava de Arevalo;2014-06-28;1700;0.00;21.23;47.13;294.20;6.18;289.70
AV01;Nava de Arevalo;2014-06-28;1730;0.00;20.47;50.16;357.50;5.79;298.20
AV01;Nava de Arevalo;2014-06-28;1800;0.00;19.76;53.10;206.10;4.93;285.00
AV01;Nava de Arevalo;2014-06-28;1830;0.00;19.76;54.84;145.40;4.79;277.30
AV01;Nava de Arevalo;2014-06-28;1900;0.00;19.39;55.22;52.05;5.23;280.60
AV01;Nava de Arevalo;2014-06-28;1930;0.00;17.61;66.17;10.14;3.47;262.60
AV01;Nava de Arevalo;2014-06-28;2000;0.00;16.41;83.20;14.65;3.23;242.90
AV01;Nava de Arevalo;2014-06-28;2030;0.00;16.03;85.90;1.10;2.58;238.30
AV01;Nava de Arevalo;2014-06-28;2100;0.00;15.72;88.60;0.00;2.17;234.40
AV01;Nava de Arevalo;2014-06-28;2130;0.00;15.30;86.90;0.00;2.24;240.00
AV01;Nava de Arevalo;2014-06-28;2200;0.00;14.88;86.40;0.00;2.69;256.00
AV01;Nava de Arevalo;2014-06-28;2230;0.00;15.55;78.20;0.00;3.33;275.70
AV01;Nava de Arevalo;2014-06-28;2300;0.00;15.55;67.30;0.00;3.41;299.00
AV01;Nava de Arevalo;2014-06-28;2330;0.00;14.68;62.31;0.00;2.51;318.30
