Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2016-01-07;0030;0.00;8.76;83.30;0.00;6.98;241.20
AV01;Nava de Arevalo;2016-01-07;0100;0.00;9.14;82.60;0.00;7.60;252.90
AV01;Nava de Arevalo;2016-01-07;0130;0.00;8.96;84.50;0.00;7.57;246.80
AV01;Nava de Arevalo;2016-01-07;0200;0.00;8.95;86.80;0.00;6.12;244.00
AV01;Nava de Arevalo;2016-01-07;0230;0.00;9.27;85.20;0.00;7.64;242.90
AV01;Nava de Arevalo;2016-01-07;0300;0.00;9.21;86.40;0.00;7.87;245.40
AV01;Nava de Arevalo;2016-01-07;0330;0.00;9.37;87.80;0.00;6.96;248.10
AV01;Nava de Arevalo;2016-01-07;0400;0.00;9.63;88.10;0.00;6.74;247.80
AV01;Nava de Arevalo;2016-01-07;0430;0.00;9.98;87.20;0.00;7.24;248.50
AV01;Nava de Arevalo;2016-01-07;0500;0.00;9.86;89.40;0.00;7.03;246.40
AV01;Nava de Arevalo;2016-01-07;0530;0.00;9.85;88.90;0.00;7.01;246.50
AV01;Nava de Arevalo;2016-01-07;0600;0.00;9.87;89.50;0.00;6.73;248.50
AV01;Nava de Arevalo;2016-01-07;0630;0.00;9.94;89.60;0.00;6.86;244.30
AV01;Nava de Arevalo;2016-01-07;0700;0.00;9.95;88.70;0.00;7.12;238.60
AV01;Nava de Arevalo;2016-01-07;0730;0.00;9.96;86.30;0.06;6.47;239.30
AV01;Nava de Arevalo;2016-01-07;0800;0.00;10.00;86.50;3.55;6.42;246.40
AV01;Nava de Arevalo;2016-01-07;0830;0.00;10.26;88.70;16.82;6.99;250.80
AV01;Nava de Arevalo;2016-01-07;0900;0.00;10.40;89.40;25.77;6.07;244.80
AV01;Nava de Arevalo;2016-01-07;0930;0.00;10.51;87.80;51.43;5.97;245.50
AV01;Nava de Arevalo;2016-01-07;1000;0.00;10.89;85.50;73.00;6.92;243.40
AV01;Nava de Arevalo;2016-01-07;1030;0.00;11.10;84.80;97.80;7.28;245.50
AV01;Nava de Arevalo;2016-01-07;1100;0.00;11.49;81.30;227.10;8.42;245.60
AV01;Nava de Arevalo;2016-01-07;1130;0.00;12.13;80.10;361.70;8.74;245.40
AV01;Nava de Arevalo;2016-01-07;1200;0.00;11.90;80.30;252.10;8.55;244.10
AV01;Nava de Arevalo;2016-01-07;1230;0.00;12.24;79.29;205.80;8.30;245.10
AV01;Nava de Arevalo;2016-01-07;1300;0.00;12.66;77.24;327.60;8.53;250.10
AV01;Nava de Arevalo;2016-01-07;1330;0.00;13.42;76.84;424.80;8.94;242.30
AV01;Nava de Arevalo;2016-01-07;1400;0.00;13.65;75.77;417.70;8.90;246.00
AV01;Nava de Arevalo;2016-01-07;1430;0.00;13.63;72.84;269.40;8.83;245.00
AV01;Nava de Arevalo;2016-01-07;1500;0.00;12.90;71.82;141.70;7.85;245.20
AV01;Nava de Arevalo;2016-01-07;1530;0.00;12.56;71.39;124.40;6.87;246.00
AV01;Nava de Arevalo;2016-01-07;1600;0.00;12.10;75.11;77.22;7.49;244.30
AV01;Nava de Arevalo;2016-01-07;1630;0.00;11.86;77.77;46.78;7.49;244.30
AV01;Nava de Arevalo;2016-01-07;1700;0.00;11.42;79.87;15.90;5.80;245.90
AV01;Nava de Arevalo;2016-01-07;1730;0.00;11.17;79.89;2.49;5.63;245.40
AV01;Nava de Arevalo;2016-01-07;1800;0.00;11.00;80.90;0.01;5.03;240.70
AV01;Nava de Arevalo;2016-01-07;1830;0.00;10.76;83.20;0.00;4.74;240.50
AV01;Nava de Arevalo;2016-01-07;1900;0.00;10.84;84.20;0.00;5.03;241.10
AV01;Nava de Arevalo;2016-01-07;1930;0.00;10.93;83.90;0.00;5.01;237.50
AV01;Nava de Arevalo;2016-01-07;2000;0.00;10.68;84.50;0.00;4.59;236.70
AV01;Nava de Arevalo;2016-01-07;2030;0.00;10.41;85.60;0.00;4.73;237.30
AV01;Nava de Arevalo;2016-01-07;2100;0.00;10.50;85.50;0.00;4.76;238.50
AV01;Nava de Arevalo;2016-01-07;2130;0.00;10.40;85.00;0.00;5.24;237.60
AV01;Nava de Arevalo;2016-01-07;2200;0.00;10.56;84.80;0.00;5.66;226.70
AV01;Nava de Arevalo;2016-01-07;2230;0.00;10.80;83.90;0.00;6.01;224.30
AV01;Nava de Arevalo;2016-01-07;2300;0.00;11.03;83.10;0.00;5.63;228.30
AV01;Nava de Arevalo;2016-01-07;2330;0.00;11.43;80.40;0.00;6.19;227.00
AV01;Nava de Arevalo;2016-01-07;2400;0.00;11.44;79.85;0.00;5.46;233.60
AV101;Muñogalindo;2016-01-07;0030;0.00;8.76;83.30;0.00;6.98;241.20
AV101;Muñogalindo;2016-01-07;0100;0.00;9.14;82.60;0.00;7.60;252.90
AV101;Muñogalindo;2016-01-07;0130;0.00;8.96;84.50;0.00;7.57;246.80
AV101;Muñogalindo;2016-01-07;0200;0.00;8.95;86.80;0.00;6.12;244.00
AV101;Muñogalindo;2016-01-07;0230;0.00;9.27;85.20;0.00;7.64;242.90
AV101;Muñogalindo;2016-01-07;0300;0.00;9.21;86.40;0.00;7.87;245.40
AV101;Muñogalindo;2016-01-07;0330;0.00;9.37;87.80;0.00;6.96;248.10
AV101;Muñogalindo;2016-01-07;0400;0.00;9.63;88.10;0.00;6.74;247.80
AV101;Muñogalindo;2016-01-07;0430;0.00;9.98;87.20;0.00;7.24;248.50
AV101;Muñogalindo;2016-01-07;0500;0.00;9.86;89.40;0.00;7.03;246.40
AV101;Muñogalindo;2016-01-07;0530;0.00;9.85;88.90;0.00;7.01;246.50
AV101;Muñogalindo;2016-01-07;0600;0.00;9.87;89.50;0.00;6.73;248.50
