Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-04-02;0030;0.00;0.71;84.80;0.00;0.80;206.80
AV01;Nava de Arevalo;2015-04-02;0100;0.00;-0.09;92.40;0.00;0.25;228.10
AV01;Nava de Arevalo;2015-04-02;0130;0.00;-0.96;93.10;0.00;0.77;214.60
AV01;Nava de Arevalo;2015-04-02;0200;0.00;-0.94;93.00;0.00;1.12;193.30
AV01;Nava de Arevalo;2015-04-02;0230;0.00;-1.14;91.20;0.00;1.14;189.20
AV01;Nava de Arevalo;2015-04-02;0300;0.00;-1.36;91.90;0.00;1.07;185.60
AV01;Nava de Arevalo;2015-04-02;0330;0.00;-1.67;93.00;0.00;0.96;194.60
AV01;Nava de Arevalo;2015-04-02;0400;0.00;-1.74;94.00;0.00;1.11;185.20
AV01;Nava de Arevalo;2015-04-02;0430;0.00;-1.81;93.40;0.00;0.74;185.90
AV01;Nava de Arevalo;2015-04-02;0500;0.00;-1.90;93.60;0.00;1.36;180.10
AV01;Nava de Arevalo;2015-04-02;0530;0.00;-2.28;93.60;0.00;1.17;194.00
AV01;Nava de Arevalo;2015-04-02;0600;0.00;-2.43;94.60;1.56;0.82;192.00
AV01;Nava de Arevalo;2015-04-02;0630;0.00;-2.86;95.20;28.94;0.60;226.20
AV01;Nava de Arevalo;2015-04-02;0700;0.00;-1.29;92.30;124.20;0.89;186.40
AV01;Nava de Arevalo;2015-04-02;0730;0.00;1.38;86.40;190.80;0.53;179.10
AV01;Nava de Arevalo;2015-04-02;0800;0.00;4.59;70.70;299.20;0.80;122.90
AV01;Nava de Arevalo;2015-04-02;0830;0.00;6.90;66.62;389.50;0.58;81.40
AV01;Nava de Arevalo;2015-04-02;0900;0.00;7.89;60.54;485.30;0.74;51.21
AV01;Nava de Arevalo;2015-04-02;0930;0.00;9.17;56.93;539.60;0.99;10.48
AV01;Nava de Arevalo;2015-04-02;1000;0.00;10.19;54.18;651.70;1.86;15.15
AV01;Nava de Arevalo;2015-04-02;1030;0.00;11.50;48.47;713.00;1.86;25.01
AV01;Nava de Arevalo;2015-04-02;1100;0.00;13.43;40.39;791.00;1.85;33.91
AV01;Nava de Arevalo;2015-04-02;1130;0.00;15.01;34.95;824.00;2.16;34.76
AV01;Nava de Arevalo;2015-04-02;1200;0.00;16.01;36.02;864.00;2.41;33.63
AV01;Nava de Arevalo;2015-04-02;1230;0.00;17.34;34.77;866.00;2.64;43.50
AV01;Nava de Arevalo;2015-04-02;1300;0.00;17.88;34.68;796.00;2.79;34.03
AV01;Nava de Arevalo;2015-04-02;1330;0.00;18.54;32.98;842.00;2.60;40.00
AV01;Nava de Arevalo;2015-04-02;1400;0.00;19.27;30.37;775.00;2.16;12.25
AV01;Nava de Arevalo;2015-04-02;1430;0.00;20.16;27.47;763.00;2.48;25.68
AV01;Nava de Arevalo;2015-04-02;1500;0.00;20.54;24.13;695.40;2.44;27.07
AV01;Nava de Arevalo;2015-04-02;1530;0.00;20.78;24.29;619.00;2.41;27.39
AV01;Nava de Arevalo;2015-04-02;1600;0.00;20.76;22.39;554.60;2.27;20.58
AV01;Nava de Arevalo;2015-04-02;1630;0.00;20.76;24.53;454.10;1.96;33.03
AV01;Nava de Arevalo;2015-04-02;1700;0.00;20.54;24.47;355.90;2.17;38.17
AV01;Nava de Arevalo;2015-04-02;1730;0.00;19.83;24.49;230.30;2.43;26.46
AV01;Nava de Arevalo;2015-04-02;1800;0.00;18.34;27.83;125.30;2.28;25.40
AV01;Nava de Arevalo;2015-04-02;1830;0.00;15.00;38.93;33.40;1.37;23.02
AV01;Nava de Arevalo;2015-04-02;1900;0.00;12.45;47.97;3.97;0.16;2.68
AV01;Nava de Arevalo;2015-04-02;1930;0.00;10.39;61.06;0.00;0.00;0.00
AV01;Nava de Arevalo;2015-04-02;2000;0.00;9.39;56.62;0.00;0.09;20.21
AV01;Nava de Arevalo;2015-04-02;2030;0.00;8.75;55.38;0.00;0.19;350.60
AV01;Nava de Arevalo;2015-04-02;2100;0.00;7.53;68.63;0.00;0.06;238.40
AV01;Nava de Arevalo;2015-04-02;2130;0.00;6.33;70.00;0.00;0.55;168.60
