Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2016-01-23;0030;0.00;8.45;100.00;0.00;0.41;154.80
AV01;Nava de Arevalo;2016-01-23;0100;0.00;8.21;100.00;0.00;0.51;180.10
AV01;Nava de Arevalo;2016-01-23;0130;0.00;7.48;100.00;0.00;0.14;311.10
AV01;Nava de Arevalo;2016-01-23;0200;0.00;7.46;100.00;0.00;0.13;311.80
AV01;Nava de Arevalo;2016-01-23;0230;0.00;7.14;100.00;0.00;0.15;316.50
AV01;Nava de Arevalo;2016-01-23;0300;0.00;7.41;100.00;0.00;0.39;96.10
AV01;Nava de Arevalo;2016-01-23;0330;0.00;7.65;100.00;0.00;0.72;151.90
AV01;Nava de Arevalo;2016-01-23;0400;0.00;7.34;100.00;0.00;0.56;260.90
AV01;Nava de Arevalo;2016-01-23;0430;0.00;6.82;100.00;0.00;0.84;301.50
AV01;Nava de Arevalo;2016-01-23;0500;0.00;6.73;100.00;0.00;0.75;247.80
AV01;Nava de Arevalo;2016-01-23;0530;0.00;6.56;100.00;0.00;0.22;277.70
AV01;Nava de Arevalo;2016-01-23;0600;0.00;6.85;100.00;0.00;0.17;244.60
AV01;Nava de Arevalo;2016-01-23;0630;0.00;7.17;100.00;0.00;0.29;207.70
AV01;Nava de Arevalo;2016-01-23;0700;0.00;7.72;100.00;0.00;0.46;183.00
AV101;Muñogalindo;2016-01-23;0030;0.00;7.89;100.00;0.00;0.37;32.53
AV101;Muñogalindo;2016-01-23;0100;0.00;7.97;100.00;0.00;0.86;207.10
AV101;Muñogalindo;2016-01-23;0130;0.00;7.75;100.00;0.00;0.87;70.00
AV101;Muñogalindo;2016-01-23;0200;0.00;7.53;100.00;0.00;0.33;45.41
AV101;Muñogalindo;2016-01-23;0230;0.00;7.64;100.00;0.00;0.46;61.73
AV101;Muñogalindo;2016-01-23;0300;0.00;7.61;100.00;0.00;0.91;63.24
AV101;Muñogalindo;2016-01-23;0330;0.00;7.52;100.00;0.00;1.49;37.54
AV101;Muñogalindo;2016-01-23;0400;0.00;7.14;100.00;0.00;1.36;224.80
BU02;Valle de Valdelucio;2016-01-23;0030;0.00;7.66;100.00;0.00;0.44;289.10
BU02;Valle de Valdelucio;2016-01-23;0100;0.00;7.48;100.00;0.00;0.98;291.80
BU02;Valle de Valdelucio;2016-01-23;0130;0.00;7.35;100.00;0.00;0.91;284.10
BU02;Valle de Valdelucio;2016-01-23;0200;0.00;7.26;100.00;0.00;0.21;299.00
BU02;Valle de Valdelucio;2016-01-23;0230;0.00;7.19;100.00;0.00;0.00;0.00
BU02;Valle de Valdelucio;2016-01-23;0300;0.20;7.17;100.00;0.00;0.00;0.00
BU02;Valle de Valdelucio;2016-01-23;0330;0.00;7.15;100.00;0.00;0.00;0.00
BU02;Valle de Valdelucio;2016-01-23;0400;0.00;6.88;100.00;0.00;1.23;287.00
BU02;Valle de Valdelucio;2016-01-23;0430;0.00;7.24;100.00;0.00;1.32;304.60
BU02;Valle de Valdelucio;2016-01-23;0500;0.00;7.41;100.00;0.00;0.53;307.70
BU02;Valle de Valdelucio;2016-01-23;0530;0.00;7.68;100.00;0.00;1.50;303.50
BU02;Valle de Valdelucio;2016-01-23;0600;0.00;8.04;100.00;0.00;0.62;299.60
BU02;Valle de Valdelucio;2016-01-23;0630;0.00;7.61;100.00;0.00;0.00;0.00
BU02;Valle de Valdelucio;2016-01-23;0700;0.00;7.48;100.00;0.00;0.06;254.60
BU03;Lerma;2016-01-23;0030;0.00;9.33;100.00;0.00;0.51;121.20
BU03;Lerma;2016-01-23;0100;0.00;9.22;100.00;0.00;0.06;181.90
BU03;Lerma;2016-01-23;0130;0.00;9.17;100.00;0.00;0.07;347.80
BU03;Lerma;2016-01-23;0200;0.00;9.13;100.00;0.00;0.31;114.80
BU03;Lerma;2016-01-23;0230;0.00;9.13;100.00;0.00;0.31;127.50
BU03;Lerma;2016-01-23;0300;0.00;9.09;100.00;0.00;0.28;115.60
BU03;Lerma;2016-01-23;0330;0.00;9.11;100.00;0.00;0.07;136.60
BU03;Lerma;2016-01-23;0400;0.00;9.02;100.00;0.00;0.37;116.40
BU03;Lerma;2016-01-23;0430;0.00;8.91;100.00;0.00;0.00;0.00
BU03;Lerma;2016-01-23;0500;0.20;8.87;100.00;0.00;0.15;117.50
BU03;Lerma;2016-01-23;0530;0.00;8.84;100.00;0.00;0.24;119.80
