Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-03-14;0030;0.00;-1.01;86.30;0.00;0.37;6.40
AV01;Nava de Arevalo;2015-03-14;0100;0.00;-1.12;88.00;0.00;0.33;259.50
AV01;Nava de Arevalo;2015-03-14;0130;0.00;-1.57;87.60;0.00;0.60;284.00
AV01;Nava de Arevalo;2015-03-14;0200;0.00;-1.61;89.60;0.00;0.30;8.90
AV01;Nava de Arevalo;2015-03-14;0230;0.00;-1.79;86.90;0.00;1.01;20.37
AV01;Nava de Arevalo;2015-03-14;0300;0.00;-2.05;88.40;0.00;1.45;43.77
AV01;Nava de Arevalo;2015-03-14;0330;0.00;-2.03;88.50;0.00;1.14;63.75
AV01;Nava de Arevalo;2015-03-14;0400;0.00;-2.97;90.10;0.00;1.05;71.10
AV01;Nava de Arevalo;2015-03-14;0430;0.00;-3.50;90.70;0.00;0.50;58.83
AV01;Nava de Arevalo;2015-03-14;0500;0.00;-4.22;92.40;0.00;0.60;207.80
AV01;Nava de Arevalo;2015-03-14;0530;0.00;-5.38;90.50;0.00;0.31;253.90
AV01;Nava de Arevalo;2015-03-14;0600;0.00;-6.24;92.60;0.00;0.55;237.30
AV01;Nava de Arevalo;2015-03-14;0630;0.00;-5.86;93.20;0.92;0.94;198.80
AV01;Nava de Arevalo;2015-03-14;0700;0.00;-6.04;92.50;23.26;0.82;202.20
AV01;Nava de Arevalo;2015-03-14;0730;0.00;-4.01;91.50;113.40;0.91;177.80
AV01;Nava de Arevalo;2015-03-14;0800;0.00;-1.60;87.40;207.50;1.01;180.90
AV01;Nava de Arevalo;2015-03-14;0830;0.00;0.60;78.10;277.80;1.32;112.70
AV01;Nava de Arevalo;2015-03-14;0900;0.00;1.82;73.30;381.30;2.34;84.60
AV01;Nava de Arevalo;2015-03-14;0930;0.00;3.33;67.74;476.10;2.43;69.60
AV01;Nava de Arevalo;2015-03-14;1000;0.00;3.92;61.21;560.60;2.67;43.65
AV01;Nava de Arevalo;2015-03-14;1030;0.00;4.54;58.88;631.00;2.50;49.52
AV01;Nava de Arevalo;2015-03-14;1100;0.00;5.18;53.61;688.30;2.89;53.05
AV01;Nava de Arevalo;2015-03-14;1130;0.00;5.83;49.37;731.00;3.11;47.77
AV01;Nava de Arevalo;2015-03-14;1200;0.00;6.60;50.08;762.00;3.31;32.55
AV01;Nava de Arevalo;2015-03-14;1230;0.00;7.34;48.36;765.00;3.32;47.81
AV01;Nava de Arevalo;2015-03-14;1300;0.00;7.40;46.96;759.00;3.01;24.64
AV01;Nava de Arevalo;2015-03-14;1330;0.00;7.94;48.00;736.00;2.99;6.84
AV01;Nava de Arevalo;2015-03-14;1400;0.00;7.89;48.13;724.00;2.16;2.07
AV01;Nava de Arevalo;2015-03-14;1430;0.00;8.42;44.23;677.30;2.35;22.67
AV01;Nava de Arevalo;2015-03-14;1500;0.00;8.71;43.85;617.70;2.66;17.62
AV01;Nava de Arevalo;2015-03-14;1530;0.00;9.31;41.78;545.10;2.78;19.00
AV01;Nava de Arevalo;2015-03-14;1600;0.00;9.42;40.84;463.10;2.83;8.61
AV01;Nava de Arevalo;2015-03-14;1630;0.00;9.60;39.64;371.90;2.96;17.31
AV01;Nava de Arevalo;2015-03-14;1700;0.00;9.25;40.06;278.80;3.33;6.37
AV01;Nava de Arevalo;2015-03-14;1730;0.00;8.80;42.25;167.60;4.14;11.72
AV01;Nava de Arevalo;2015-03-14;1800;0.00;8.16;44.10;84.30;3.21;13.04
AV01;Nava de Arevalo;2015-03-14;1830;0.00;6.22;51.53;14.56;1.87;354.70
AV01;Nava de Arevalo;2015-03-14;1900;0.00;5.85;55.51;0.42;1.35;19.36
AV01;Nava de Arevalo;2015-03-14;1930;0.00;6.48;53.71;0.00;2.08;39.58
AV01;Nava de Arevalo;2015-03-14;2000;0.00;6.28;57.88;0.00;2.45;71.00
AV01;Nava de Arevalo;2015-03-14;2030;0.00;4.95;65.62;0.00;1.53;76.30
AV01;Nava de Arevalo;2015-03-14;2100;0.00;4.75;66.43;0.00;2.58;67.88
AV01;Nava de Arevalo;2015-03-14;2130;0.00;4.44;65.09;0.00;4.09;56.52
AV01;Nava de Arevalo;2015-03-14;2200;0.00;2.76;71.40;0.00;2.20;62.36
AV01;Nava de Arevalo;2015-03-14;2230;0.00;1.21;78.50;0.00;0.89;39.97
AV01;Nava de Arevalo;2015-03-14;2300;0.00;0.74;80.10;0.00;0.88;57.30
AV01;Nava de Arevalo;2015-03-14;2330;0.00;1.51;79.80;0.00;1.39;77.10
AV01;Nava de Arevalo;2015-03-14;2400;0.00;0.90;81.30;0.00;1.12;66.37
AV101;Muñogalindo;2015-03-14;0030;0.00;0.57;82.30;0.00;2.16;258.70
AV101;Muñogalindo;2015-03-14;0100;0.00;0.91;82.40;0.00;2.70;276.20
AV101;Muñogalindo;2015-03-14;0130;0.00;1.55;78.15;0.00;2.44;279.60
AV101;Muñogalindo;2015-03-14;0200;0.00;1.38;80.40;0.00;2.61;276.10
AV101;Muñogalindo;2015-03-14;0230;0.00;1.38;79.54;0.00;2.43;278.60
AV101;Muñogalindo;2015-03-14;0300;0.00;2.24;68.41;0.00;2.86;46.02
AV101;Muñogalindo;2015-03-14;0330;0.00;1.67;69.76;0.00;4.36;48.16
AV101;Muñogalindo;2015-03-14;0400;0.00;0.59;73.30;0.00;3.75;60.92
AV101;Muñogalindo;2015-03-14;0430;0.00;-0.65;78.08;0.00;1.27;216.50
AV101;Muñogalindo;2015-03-14;0500;0.00;-1.88;85.00;0.00;1.37;0.94
AV101;Muñogalindo;2015-03-14;0530;0.00;-2.18;85.40;0.00;1.85;68.11
AV101;Muñogalindo;2015-03-14;0600;0.00;-2.39;84.30;0.00;1.55;158.70
AV101;Muñogalindo;2015-03-14;0630;0.00;-3.44;86.80;0.23;1.80;295.80
AV101;Muñogalindo;2015-03-14;0700;0.00;-4.19;91.60;33.98;2.24;280.90
AV101;Muñogalindo;2015-03-14;0730;0.00;-2.59;85.40;135.00;1.01;276.60
AV101;Muñogalindo;2015-03-14;0800;0.00;-0.73;77.75;245.50;1.06;178.10
AV101;Muñogalindo;2015-03-14;0830;0.00;0.46;69.20;357.00;2.70;132.30
AV101;Muñogalindo;2015-03-14;0900;0.00;1.00;69.25;462.30;3.38;123.60
AV101;Muñogalindo;2015-03-14;0930;0.00;1.62;67.60;556.40;3.36;125.20
AV101;Muñogalindo;2015-03-14;1000;0.00;2.27;64.58;637.90;3.62;109.10
AV101;Muñogalindo;2015-03-14;1030;0.00;3.25;57.32;712.40;4.65;93.60
AV101;Muñogalindo;2015-03-14;1100;0.00;3.71;55.40;765.00;4.15;90.50
AV101;Muñogalindo;2015-03-14;1130;0.00;4.34;52.61;799.70;3.90;93.20
AV101;Muñogalindo;2015-03-14;1200;0.00;4.93;47.33;825.00;4.69;82.60
AV101;Muñogalindo;2015-03-14;1230;0.00;5.36;48.39;838.00;3.95;81.30
AV101;Muñogalindo;2015-03-14;1300;0.00;5.72;45.63;838.00;4.84;78.84
AV101;Muñogalindo;2015-03-14;1330;0.00;6.46;41.63;813.00;5.27;79.22
AV101;Muñogalindo;2015-03-14;1400;0.00;6.84;40.19;767.90;4.20;93.70
AV101;Muñogalindo;2015-03-14;1430;0.00;7.39;42.00;708.00;4.12;58.49
AV101;Muñogalindo;2015-03-14;1500;0.00;7.45;38.49;643.40;4.24;69.34
AV101;Muñogalindo;2015-03-14;1530;0.00;7.71;38.16;559.00;4.04;45.00
AV101;Muñogalindo;2015-03-14;1600;0.00;7.74;39.74;474.80;3.96;39.54
AV101;Muñogalindo;2015-03-14;1630;0.00;7.73;41.51;379.80;4.03;30.75
AV101;Muñogalindo;2015-03-14;1700;0.00;7.58;40.96;278.00;4.34;6.66
AV101;Muñogalindo;2015-03-14;1730;0.00;7.18;41.84;175.50;4.24;9.51
AV101;Muñogalindo;2015-03-14;1800;0.00;6.64;43.00;83.10;3.67;22.50
AV101;Muñogalindo;2015-03-14;1830;0.00;5.53;48.35;15.57;2.85;5.00
AV101;Muñogalindo;2015-03-14;1900;0.00;3.91;54.23;0.11;2.50;2.19
AV101;Muñogalindo;2015-03-14;1930;0.00;3.10;57.40;0.00;2.44;354.60
AV101;Muñogalindo;2015-03-14;2000;0.00;2.48;59.40;0.00;2.71;333.70
AV101;Muñogalindo;2015-03-14;2030;0.00;1.04;72.74;0.00;2.19;279.20
AV101;Muñogalindo;2015-03-14;2100;0.00;0.31;75.79;0.00;0.52;302.20
AV101;Muñogalindo;2015-03-14;2130;0.00;0.70;74.42;0.00;1.50;68.05
AV101;Muñogalindo;2015-03-14;2200;0.00;0.18;77.53;0.00;0.69;20.86
AV101;Muñogalindo;2015-03-14;2230;0.00;-0.06;80.50;0.00;1.29;65.54
AV101;Muñogalindo;2015-03-14;2300;0.00;0.25;83.90;0.00;1.60;53.59
AV101;Muñogalindo;2015-03-14;2330;0.00;0.95;83.60;0.00;2.47;79.80
AV101;Muñogalindo;2015-03-14;2400;0.00;1.26;75.84;0.00;2.91;91.80
BU02;Valle de Valdelucio;2015-03-14;0030;0.00;0.68;65.75;0.00;3.14;325.10
BU02;Valle de Valdelucio;2015-03-14;0100;0.00;0.83;61.79;0.00;3.35;328.40
BU02;Valle de Valdelucio;2015-03-14;0130;0.00;0.28;71.40;0.00;2.08;27.41
BU02;Valle de Valdelucio;2015-03-14;0200;0.00;0.06;80.20;0.00;2.95;353.70
BU02;Valle de Valdelucio;2015-03-14;0230;0.00;0.14;77.70;0.00;2.30;345.50
BU02;Valle de Valdelucio;2015-03-14;0300;0.00;-0.21;82.90;0.00;2.83;355.20
BU02;Valle de Valdelucio;2015-03-14;0330;0.00;-0.10;83.60;0.00;2.30;337.20
BU02;Valle de Valdelucio;2015-03-14;0400;0.00;-0.48;86.60;0.00;2.56;301.00
BU02;Valle de Valdelucio;2015-03-14;0430;0.00;-0.34;81.10;0.00;1.89;335.20
BU02;Valle de Valdelucio;2015-03-14;0500;0.00;-0.36;74.90;0.00;2.19;333.80
BU02;Valle de Valdelucio;2015-03-14;0530;0.00;-1.14;75.90;0.00;0.89;3.63
BU02;Valle de Valdelucio;2015-03-14;0600;0.00;-0.85;71.70;0.00;1.51;307.70
BU02;Valle de Valdelucio;2015-03-14;0630;0.00;-1.63;76.60;0.81;2.15;331.60
BU02;Valle de Valdelucio;2015-03-14;0700;0.00;-0.78;74.20;15.38;2.70;3.16
BU02;Valle de Valdelucio;2015-03-14;0730;0.00;0.18;74.00;100.60;3.34;350.90
BU02;Valle de Valdelucio;2015-03-14;0800;0.00;1.02;62.01;198.80;2.59;311.60
BU02;Valle de Valdelucio;2015-03-14;0830;0.00;1.61;67.44;193.80;1.17;187.40
BU02;Valle de Valdelucio;2015-03-14;0900;0.00;1.50;66.17;131.20;0.53;103.90
BU02;Valle de Valdelucio;2015-03-14;0930;0.00;2.27;63.01;198.40;0.72;99.00
BU02;Valle de Valdelucio;2015-03-14;1000;0.00;2.96;54.50;207.90;2.12;175.30
BU02;Valle de Valdelucio;2015-03-14;1030;0.00;3.27;51.20;171.40;1.19;145.60
BU02;Valle de Valdelucio;2015-03-14;1100;0.00;3.78;50.00;244.10;0.94;174.50
BU02;Valle de Valdelucio;2015-03-14;1130;0.00;4.57;57.79;254.00;3.09;265.00
BU02;Valle de Valdelucio;2015-03-14;1200;0.00;4.88;63.59;341.50;3.85;321.80
BU02;Valle de Valdelucio;2015-03-14;1230;0.00;5.62;63.99;554.30;3.87;327.80
BU02;Valle de Valdelucio;2015-03-14;1300;0.00;5.22;65.83;388.50;4.11;326.70
BU02;Valle de Valdelucio;2015-03-14;1330;0.00;4.77;67.23;217.10;4.37;315.00
BU02;Valle de Valdelucio;2015-03-14;1400;0.00;4.62;68.54;229.80;3.86;304.00
BU02;Valle de Valdelucio;2015-03-14;1430;0.00;4.70;68.54;281.00;3.30;345.80
BU02;Valle de Valdelucio;2015-03-14;1500;0.00;4.50;68.48;246.50;3.54;346.00
BU02;Valle de Valdelucio;2015-03-14;1530;0.00;4.90;68.12;331.90;4.17;346.80
BU02;Valle de Valdelucio;2015-03-14;1600;0.00;4.68;68.90;449.30;5.11;349.60
BU02;Valle de Valdelucio;2015-03-14;1630;0.00;4.50;69.32;326.60;4.73;344.70
BU02;Valle de Valdelucio;2015-03-14;1700;0.00;3.39;75.60;143.00;3.58;9.26
BU02;Valle de Valdelucio;2015-03-14;1730;0.00;2.93;78.80;76.70;2.44;6.98
BU02;Valle de Valdelucio;2015-03-14;1800;0.00;2.62;77.20;50.48;2.72;351.80
BU02;Valle de Valdelucio;2015-03-14;1830;0.00;2.55;77.60;12.57;2.12;359.10
BU02;Valle de Valdelucio;2015-03-14;1900;0.00;2.24;76.90;0.24;2.32;260.90
BU02;Valle de Valdelucio;2015-03-14;1930;0.00;2.18;77.30;0.00;2.07;158.30
BU02;Valle de Valdelucio;2015-03-14;2000;0.00;2.03;79.50;0.00;2.68;64.04
BU02;Valle de Valdelucio;2015-03-14;2030;0.00;2.03;79.70;0.00;4.19;32.36
BU02;Valle de Valdelucio;2015-03-14;2100;0.00;1.87;83.10;0.00;2.05;26.91
BU02;Valle de Valdelucio;2015-03-14;2130;0.00;1.67;82.60;0.00;2.38;326.00
BU02;Valle de Valdelucio;2015-03-14;2200;0.00;1.72;75.50;0.00;3.96;350.70
BU02;Valle de Valdelucio;2015-03-14;2230;0.00;1.74;75.00;0.00;4.08;350.20
BU02;Valle de Valdelucio;2015-03-14;2300;0.00;1.54;78.50;0.00;2.75;20.06
BU02;Valle de Valdelucio;2015-03-14;2330;0.00;1.45;79.90;0.00;2.40;241.80
BU02;Valle de Valdelucio;2015-03-14;2400;0.00;1.54;79.50;0.00;1.92;264.80
BU03;Lerma;2015-03-14;0030;0.00;1.12;74.80;0.00;0.99;14.33
BU03;Lerma;2015-03-14;0100;0.00;1.21;75.90;0.00;1.03;9.97
BU03;Lerma;2015-03-14;0130;0.00;1.23;74.50;0.00;0.66;13.52
BU03;Lerma;2015-03-14;0200;0.00;0.03;78.70;0.00;0.03;134.60
BU03;Lerma;2015-03-14;0230;0.00;-1.31;83.00;0.00;0.02;61.83
BU03;Lerma;2015-03-14;0300;0.00;-1.50;84.70;0.00;0.15;338.90
BU03;Lerma;2015-03-14;0330;0.00;-1.68;82.80;0.00;0.35;345.50
BU03;Lerma;2015-03-14;0400;0.00;-2.57;86.00;0.00;0.08;104.30
BU03;Lerma;2015-03-14;0430;0.00;-2.28;88.60;0.00;0.30;2.71
BU03;Lerma;2015-03-14;0500;0.00;-0.96;87.20;0.00;0.26;17.92
BU03;Lerma;2015-03-14;0530;0.00;-1.50;88.50;0.00;0.07;16.35
BU03;Lerma;2015-03-14;0600;0.00;-1.61;87.80;0.00;0.10;350.90
BU03;Lerma;2015-03-14;0630;0.00;-2.59;90.90;1.22;0.12;329.30
BU03;Lerma;2015-03-14;0700;0.00;-2.68;90.20;14.02;0.07;132.80
BU03;Lerma;2015-03-14;0730;0.00;-1.79;88.50;97.90;0.51;357.10
BU03;Lerma;2015-03-14;0800;0.00;0.48;77.10;207.90;1.80;347.70
