Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-02-03;0030;0.00;3.97;94.70;0.00;7.61;281.90
AV01;Nava de Arevalo;2015-02-03;0100;0.00;3.92;95.20;0.00;7.41;281.20
AV01;Nava de Arevalo;2015-02-03;0130;0.00;4.08;95.00;0.00;7.49;286.10
AV01;Nava de Arevalo;2015-02-03;0200;0.00;3.90;95.60;0.00;6.92;285.70
AV01;Nava de Arevalo;2015-02-03;0230;0.00;3.34;97.00;0.00;5.93;290.00
AV01;Nava de Arevalo;2015-02-03;0300;0.00;2.94;98.50;0.00;5.85;288.30
AV01;Nava de Arevalo;2015-02-03;0330;0.00;2.65;98.40;0.00;5.76;287.90
AV01;Nava de Arevalo;2015-02-03;0400;0.00;2.41;97.90;0.00;5.19;293.20
AV01;Nava de Arevalo;2015-02-03;0430;0.00;2.12;99.20;0.00;4.98;296.00
AV01;Nava de Arevalo;2015-02-03;0500;0.00;1.88;99.20;0.00;4.49;288.60
AV01;Nava de Arevalo;2015-02-03;0530;0.00;1.43;99.70;0.00;3.54;286.50
AV01;Nava de Arevalo;2015-02-03;0600;0.00;1.48;100.00;0.00;3.97;290.70
AV01;Nava de Arevalo;2015-02-03;0630;0.00;1.61;99.60;0.00;3.74;288.80
AV01;Nava de Arevalo;2015-02-03;0700;0.00;0.90;99.90;0.00;2.92;275.70
AV01;Nava de Arevalo;2015-02-03;0730;0.00;0.81;99.90;1.43;2.97;274.50
AV01;Nava de Arevalo;2015-02-03;0800;0.00;0.77;100.00;8.76;2.65;279.40
AV01;Nava de Arevalo;2015-02-03;0830;0.00;1.12;100.00;19.38;2.40;254.90
AV01;Nava de Arevalo;2015-02-03;0900;0.00;1.84;99.80;44.34;3.77;258.10
AV01;Nava de Arevalo;2015-02-03;0930;0.00;2.73;97.70;140.30;5.21;264.40
AV01;Nava de Arevalo;2015-02-03;1000;0.00;3.17;94.20;126.10;5.19;264.40
AV01;Nava de Arevalo;2015-02-03;1030;0.00;3.55;92.50;148.30;5.10;270.40
AV01;Nava de Arevalo;2015-02-03;1100;0.00;3.59;92.90;98.30;4.86;264.00
AV01;Nava de Arevalo;2015-02-03;1130;0.59;3.28;95.40;77.30;4.25;262.80
AV01;Nava de Arevalo;2015-02-03;1200;0.00;3.77;96.10;138.00;4.90;260.90
AV01;Nava de Arevalo;2015-02-03;1230;0.00;4.73;91.10;179.40;6.86;269.50
AV01;Nava de Arevalo;2015-02-03;1300;0.00;5.02;88.10;199.00;6.69;269.20
AV01;Nava de Arevalo;2015-02-03;1330;0.00;5.68;83.70;312.70;6.59;270.20
AV01;Nava de Arevalo;2015-02-03;1400;0.00;6.35;78.00;331.10;7.33;263.30
AV01;Nava de Arevalo;2015-02-03;1430;0.00;5.39;85.60;171.90;7.07;259.50
AV01;Nava de Arevalo;2015-02-03;1500;0.20;5.17;88.90;183.40;7.58;272.00
AV01;Nava de Arevalo;2015-02-03;1530;0.39;3.47;90.90;66.92;7.70;274.70
AV01;Nava de Arevalo;2015-02-03;1600;0.00;2.81;96.80;79.40;6.97;272.10
AV01;Nava de Arevalo;2015-02-03;1630;0.00;3.12;94.50;53.36;5.97;277.50
AV01;Nava de Arevalo;2015-02-03;1700;0.20;3.23;93.70;56.89;6.49;270.30
AV01;Nava de Arevalo;2015-02-03;1730;0.00;3.37;92.60;6.21;5.78;285.70
AV01;Nava de Arevalo;2015-02-03;1800;0.00;2.41;95.10;0.86;6.23;281.80
AV01;Nava de Arevalo;2015-02-03;1830;0.00;2.01;97.20;0.00;5.97;281.00
AV01;Nava de Arevalo;2015-02-03;1900;0.00;2.03;94.40;0.00;6.37;287.30
AV01;Nava de Arevalo;2015-02-03;1930;0.00;1.68;95.20;0.00;6.89;286.40
AV01;Nava de Arevalo;2015-02-03;2000;0.00;1.68;94.90;0.00;6.97;283.60
AV01;Nava de Arevalo;2015-02-03;2030;0.00;1.63;94.00;0.00;6.98;285.50
AV01;Nava de Arevalo;2015-02-03;2100;0.00;1.52;93.60;0.00;7.31;291.50
AV01;Nava de Arevalo;2015-02-03;2130;0.00;1.39;93.80;0.00;7.25;292.20
AV01;Nava de Arevalo;2015-02-03;2200;0.00;1.25;93.60;0.00;6.97;298.10
AV01;Nava de Arevalo;2015-02-03;2230;0.00;1.12;89.40;0.00;7.59;311.20
AV01;Nava de Arevalo;2015-02-03;2300;0.00;0.72;86.40;0.00;8.61;323.20
AV01;Nava de Arevalo;2015-02-03;2330;0.00;-0.44;96.00;0.00;8.05;327.50
AV01;Nava de Arevalo;2015-02-03;2400;0.00;-0.71;99.60;0.00;7.30;342.60
BU02;Valle de Valdelucio;2015-02-03;0030;0.40;1.07;96.20;0.00;2.87;299.00
BU02;Valle de Valdelucio;2015-02-03;0100;0.20;0.81;95.60;0.00;4.18;281.10
BU02;Valle de Valdelucio;2015-02-03;0130;0.00;-0.06;98.40;0.00;2.95;278.80
BU02;Valle de Valdelucio;2015-02-03;0200;0.00;-0.04;99.60;0.00;3.63;281.70
BU02;Valle de Valdelucio;2015-02-03;0230;0.00;0.01;99.90;0.00;3.60;282.60
BU02;Valle de Valdelucio;2015-02-03;0300;0.20;-0.06;100.00;0.00;3.02;294.80
BU02;Valle de Valdelucio;2015-02-03;0330;0.00;-0.06;100.00;0.00;3.98;310.60
BU02;Valle de Valdelucio;2015-02-03;0400;0.00;-0.17;100.00;0.00;0.99;323.30
BU02;Valle de Valdelucio;2015-02-03;0430;0.00;-0.28;100.00;0.00;0.04;292.10
BU02;Valle de Valdelucio;2015-02-03;0500;0.00;-0.37;100.00;0.00;0.04;300.80
BU02;Valle de Valdelucio;2015-02-03;0530;0.00;-0.55;100.00;0.00;0.03;315.00
BU02;Valle de Valdelucio;2015-02-03;0600;0.00;-0.62;100.00;0.00;0.03;322.40
BU02;Valle de Valdelucio;2015-02-03;0630;0.00;-0.75;99.90;0.00;0.03;333.50
BU02;Valle de Valdelucio;2015-02-03;0700;0.00;-0.99;99.60;0.00;0.03;350.80
BU02;Valle de Valdelucio;2015-02-03;0730;0.00;-1.35;99.40;0.42;0.03;358.70
BU02;Valle de Valdelucio;2015-02-03;0800;0.00;-1.57;98.90;6.11;0.03;3.13
BU02;Valle de Valdelucio;2015-02-03;0830;0.00;-1.84;97.90;14.50;0.03;355.30
BU02;Valle de Valdelucio;2015-02-03;0900;0.00;-1.95;97.20;71.80;0.03;18.17
BU02;Valle de Valdelucio;2015-02-03;0930;0.00;-0.12;96.00;177.80;0.03;3.66
BU02;Valle de Valdelucio;2015-02-03;1000;0.00;4.01;94.10;344.90;0.03;345.40
BU02;Valle de Valdelucio;2015-02-03;1030;0.40;7.21;80.80;458.40;0.33;277.50
BU02;Valle de Valdelucio;2015-02-03;1100;0.20;4.82;69.26;290.40;0.65;270.10
BU02;Valle de Valdelucio;2015-02-03;1130;0.40;1.97;76.90;367.30;0.61;101.80
BU02;Valle de Valdelucio;2015-02-03;1200;0.40;0.93;82.40;291.80;1.08;165.10
BU02;Valle de Valdelucio;2015-02-03;1230;0.40;0.42;87.90;194.20;2.24;215.50
BU02;Valle de Valdelucio;2015-02-03;1300;0.20;0.07;95.10;230.50;1.38;244.60
BU02;Valle de Valdelucio;2015-02-03;1330;0.40;0.82;95.20;234.50;1.54;271.10
BU02;Valle de Valdelucio;2015-02-03;1400;0.20;0.36;96.00;188.00;1.85;261.50
BU02;Valle de Valdelucio;2015-02-03;1430;0.40;0.78;97.10;216.70;1.87;259.90
BU02;Valle de Valdelucio;2015-02-03;1500;0.40;0.76;97.10;165.80;3.03;274.00
BU02;Valle de Valdelucio;2015-02-03;1530;0.20;0.94;96.90;104.30;3.40;280.40
BU02;Valle de Valdelucio;2015-02-03;1600;0.60;1.12;95.10;95.70;4.47;292.70
BU02;Valle de Valdelucio;2015-02-03;1630;0.60;0.85;94.30;62.71;4.12;294.30
BU02;Valle de Valdelucio;2015-02-03;1700;0.40;1.07;92.60;32.26;3.80;286.80
BU02;Valle de Valdelucio;2015-02-03;1730;0.20;0.99;92.90;6.95;3.30;300.90
BU02;Valle de Valdelucio;2015-02-03;1800;0.20;0.36;95.70;0.49;3.31;280.90
