Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-06-02;0030;0.00;12.56;78.30;0.00;1.14;215.50
AV01;Nava de Arevalo;2015-06-02;0100;0.00;11.98;75.50;0.00;1.30;224.20
AV01;Nava de Arevalo;2015-06-02;0130;0.00;11.47;81.70;0.00;1.17;200.80
AV01;Nava de Arevalo;2015-06-02;0200;0.00;11.36;79.30;0.00;1.24;212.40
AV01;Nava de Arevalo;2015-06-02;0230;0.00;10.84;82.20;0.00;1.06;234.00
AV01;Nava de Arevalo;2015-06-02;0300;0.00;10.51;83.50;0.00;1.21;205.30
AV01;Nava de Arevalo;2015-06-02;0330;0.00;11.09;81.50;0.00;1.04;191.60
AV01;Nava de Arevalo;2015-06-02;0400;0.00;10.23;85.80;0.00;0.66;187.90
AV01;Nava de Arevalo;2015-06-02;0430;0.00;10.36;83.60;0.10;0.60;168.30
AV01;Nava de Arevalo;2015-06-02;0500;0.00;10.47;81.80;4.10;0.79;182.10
AV01;Nava de Arevalo;2015-06-02;0530;0.00;9.74;85.10;36.63;0.87;193.60
AV01;Nava de Arevalo;2015-06-02;0600;0.00;11.39;80.90;110.20;1.50;182.50
AV01;Nava de Arevalo;2015-06-02;0630;0.00;13.57;72.60;193.40;1.04;193.20
AV01;Nava de Arevalo;2015-06-02;0700;0.00;16.28;61.70;286.10;0.44;228.60
AV01;Nava de Arevalo;2015-06-02;0730;0.00;19.12;51.54;384.80;0.61;48.68
AV01;Nava de Arevalo;2015-06-02;0800;0.00;20.69;45.18;479.10;0.74;57.07
AV01;Nava de Arevalo;2015-06-02;0830;0.00;21.69;42.72;569.90;1.07;37.38
AV01;Nava de Arevalo;2015-06-02;0900;0.00;22.84;40.93;653.10;1.40;36.19
AV01;Nava de Arevalo;2015-06-02;0930;0.00;23.70;39.19;731.00;1.45;24.50
AV01;Nava de Arevalo;2015-06-02;1000;0.00;25.04;35.32;797.00;2.07;327.00
AV01;Nava de Arevalo;2015-06-02;1030;0.00;25.79;33.20;856.00;2.12;317.20
AV01;Nava de Arevalo;2015-06-02;1100;0.00;26.88;29.79;901.00;2.09;335.50
AV01;Nava de Arevalo;2015-06-02;1130;0.00;27.06;28.76;932.00;2.18;353.30
AV01;Nava de Arevalo;2015-06-02;1200;0.00;27.46;27.67;788.00;2.33;20.97
AV01;Nava de Arevalo;2015-06-02;1230;0.00;27.74;26.49;757.00;1.74;332.50
AV01;Nava de Arevalo;2015-06-02;1300;0.00;29.19;23.97;855.00;2.29;282.80
AV01;Nava de Arevalo;2015-06-02;1330;0.00;29.92;21.76;877.00;3.34;299.70
AV01;Nava de Arevalo;2015-06-02;1400;0.00;30.39;20.49;857.00;2.20;280.30
AV01;Nava de Arevalo;2015-06-02;1430;0.00;29.74;20.56;725.00;2.52;303.00
AV01;Nava de Arevalo;2015-06-02;1500;0.00;29.85;19.07;765.00;2.86;283.90
AV01;Nava de Arevalo;2015-06-02;1530;0.00;30.70;18.04;741.00;2.47;264.50
AV01;Nava de Arevalo;2015-06-02;1600;0.00;30.56;17.46;760.00;3.75;283.70
AV01;Nava de Arevalo;2015-06-02;1630;0.00;31.14;14.81;768.00;3.69;294.60
AV01;Nava de Arevalo;2015-06-02;1700;0.00;30.25;14.83;518.50;3.39;276.00
AV01;Nava de Arevalo;2015-06-02;1730;0.00;29.52;15.32;397.60;3.26;264.90
AV01;Nava de Arevalo;2015-06-02;1800;0.00;28.86;15.71;301.00;3.20;271.30
AV01;Nava de Arevalo;2015-06-02;1830;0.00;28.44;16.91;207.40;2.66;267.60
AV01;Nava de Arevalo;2015-06-02;1900;0.00;27.31;16.67;121.30;2.39;272.50
AV01;Nava de Arevalo;2015-06-02;1930;0.00;25.33;20.41;46.22;1.73;264.80
AV01;Nava de Arevalo;2015-06-02;2000;0.00;21.08;33.78;5.81;1.30;252.20
AV01;Nava de Arevalo;2015-06-02;2030;0.00;19.12;36.15;0.16;1.52;240.30
AV01;Nava de Arevalo;2015-06-02;2100;0.00;17.06;44.40;0.00;1.64;227.20
AV01;Nava de Arevalo;2015-06-02;2130;0.00;16.87;43.20;0.00;1.59;227.50
AV01;Nava de Arevalo;2015-06-02;2200;0.00;15.98;45.97;0.00;1.46;225.70
AV01;Nava de Arevalo;2015-06-02;2230;0.00;14.05;54.47;0.00;1.36;216.60
AV01;Nava de Arevalo;2015-06-02;2300;0.00;14.29;53.98;0.00;1.38;216.00
AV01;Nava de Arevalo;2015-06-02;2330;0.00;14.38;53.09;0.00;1.21;230.60
AV01;Nava de Arevalo;2015-06-02;2400;0.00;12.78;66.60;0.00;0.72;184.50
AV101;Muñogalindo;2015-06-02;0030;0.00;12.43;71.18;0.00;1.66;265.60
AV101;Muñogalindo;2015-06-02;0100;0.00;11.47;74.39;0.00;1.43;286.40
AV101;Muñogalindo;2015-06-02;0130;0.00;10.31;78.92;0.00;1.97;311.80
AV101;Muñogalindo;2015-06-02;0200;0.00;10.27;79.93;0.00;1.99;288.70
AV101;Muñogalindo;2015-06-02;0230;0.00;9.78;81.80;0.00;1.38;288.90
AV101;Muñogalindo;2015-06-02;0300;0.00;9.42;83.20;0.00;1.04;177.30
AV101;Muñogalindo;2015-06-02;0330;0.00;9.02;84.90;0.00;1.11;259.60
AV101;Muñogalindo;2015-06-02;0400;0.00;8.19;87.20;0.00;2.02;301.30
AV101;Muñogalindo;2015-06-02;0430;0.00;8.17;88.60;0.00;2.32;282.20
AV101;Muñogalindo;2015-06-02;0500;0.00;8.32;88.00;2.61;1.97;288.90
AV101;Muñogalindo;2015-06-02;0530;0.00;8.61;86.50;42.97;1.63;218.40
AV101;Muñogalindo;2015-06-02;0600;0.00;9.38;84.10;123.10;1.50;307.10
AV101;Muñogalindo;2015-06-02;0630;0.00;10.99;78.07;219.40;2.02;260.80
AV101;Muñogalindo;2015-06-02;0700;0.00;14.10;65.36;322.60;1.01;213.60
AV101;Muñogalindo;2015-06-02;0730;0.00;17.44;53.18;425.90;0.41;129.80
AV101;Muñogalindo;2015-06-02;0800;0.00;19.25;46.90;518.50;0.29;209.80
AV101;Muñogalindo;2015-06-02;0830;0.00;20.99;43.05;607.80;1.17;83.60
AV101;Muñogalindo;2015-06-02;0900;0.00;22.55;39.17;692.30;1.13;309.00
AV101;Muñogalindo;2015-06-02;0930;0.00;23.70;35.83;766.00;1.39;218.60
AV101;Muñogalindo;2015-06-02;1000;0.00;24.37;29.95;840.00;2.68;207.80
AV101;Muñogalindo;2015-06-02;1030;0.00;24.91;27.22;905.00;3.82;233.80
AV101;Muñogalindo;2015-06-02;1100;0.00;25.26;26.59;921.00;3.74;214.00
AV101;Muñogalindo;2015-06-02;1130;0.00;25.86;24.80;981.00;3.45;197.60
AV101;Muñogalindo;2015-06-02;1200;0.00;26.08;24.81;983.00;3.36;165.50
AV101;Muñogalindo;2015-06-02;1230;0.00;26.61;22.51;987.00;3.18;252.10
AV101;Muñogalindo;2015-06-02;1300;0.00;26.99;21.76;991.00;3.04;201.50
AV101;Muñogalindo;2015-06-02;1330;0.00;27.31;20.15;962.00;3.88;239.40
AV101;Muñogalindo;2015-06-02;1400;0.00;27.72;17.06;955.00;4.88;249.70
AV101;Muñogalindo;2015-06-02;1430;0.00;27.76;17.00;878.00;4.17;236.60
AV101;Muñogalindo;2015-06-02;1500;0.00;27.71;16.66;802.00;4.05;224.20
AV101;Muñogalindo;2015-06-02;1530;0.00;27.67;16.78;725.40;3.82;266.20
AV101;Muñogalindo;2015-06-02;1600;0.00;27.60;17.02;642.60;3.50;244.00
AV101;Muñogalindo;2015-06-02;1630;0.00;27.79;16.94;556.80;4.24;254.70
AV101;Muñogalindo;2015-06-02;1700;0.00;27.35;18.36;463.30;4.99;255.60
AV101;Muñogalindo;2015-06-02;1730;0.00;27.06;19.21;360.80;4.63;265.90
AV101;Muñogalindo;2015-06-02;1800;0.00;26.66;20.60;258.60;4.67;274.10
AV101;Muñogalindo;2015-06-02;1830;0.00;26.22;20.76;167.20;5.06;271.10
AV101;Muñogalindo;2015-06-02;1900;0.00;25.44;22.04;88.70;4.19;275.40
AV101;Muñogalindo;2015-06-02;1930;0.00;24.25;25.58;29.94;3.60;300.10
AV101;Muñogalindo;2015-06-02;2000;0.00;21.97;29.46;3.98;2.72;292.80
AV101;Muñogalindo;2015-06-02;2030;0.00;19.45;35.63;0.02;2.10;276.00
AV101;Muñogalindo;2015-06-02;2100;0.00;18.23;38.14;0.00;1.78;291.20
AV101;Muñogalindo;2015-06-02;2130;0.00;16.53;43.36;0.00;1.94;279.70
AV101;Muñogalindo;2015-06-02;2200;0.00;16.09;45.66;0.00;1.95;289.80
AV101;Muñogalindo;2015-06-02;2230;0.00;14.73;48.59;0.00;0.81;298.80
AV101;Muñogalindo;2015-06-02;2300;0.00;14.39;49.85;0.00;0.64;286.30
AV101;Muñogalindo;2015-06-02;2330;0.00;13.13;56.94;0.00;1.26;286.20
AV101;Muñogalindo;2015-06-02;2400;0.00;12.09;58.56;0.00;0.61;258.90
BU02;Valle de Valdelucio;2015-06-02;0030;0.00;10.26;98.60;0.00;0.67;91.90
BU02;Valle de Valdelucio;2015-06-02;0100;0.00;9.31;98.70;0.00;0.38;96.50
BU02;Valle de Valdelucio;2015-06-02;0130;0.00;9.29;99.40;0.00;0.30;69.22
BU02;Valle de Valdelucio;2015-06-02;0200;0.00;9.45;99.80;0.00;0.57;277.10
BU02;Valle de Valdelucio;2015-06-02;0230;0.00;9.23;100.00;0.00;0.37;54.70
BU02;Valle de Valdelucio;2015-06-02;0300;0.00;8.83;100.00;0.00;0.44;323.70
