Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-02-04;0030;0.00;-0.57;92.80;0.00;7.31;349.80
AV01;Nava de Arevalo;2015-02-04;0100;0.00;-0.62;87.70;0.00;6.15;347.50
AV01;Nava de Arevalo;2015-02-04;0130;0.00;-0.82;88.30;0.00;5.73;340.70
AV01;Nava de Arevalo;2015-02-04;0200;0.00;-1.02;91.50;0.00;4.92;335.70
AV01;Nava de Arevalo;2015-02-04;0230;0.00;-1.22;94.50;0.00;5.17;332.80
AV01;Nava de Arevalo;2015-02-04;0300;0.00;-1.13;94.90;0.00;4.38;343.80
AV01;Nava de Arevalo;2015-02-04;0330;0.00;-1.33;93.60;0.00;3.60;341.50
AV01;Nava de Arevalo;2015-02-04;0400;0.00;-1.51;88.90;0.00;3.56;349.30
AV01;Nava de Arevalo;2015-02-04;0430;0.00;-1.80;85.80;0.00;3.28;349.60
AV01;Nava de Arevalo;2015-02-04;0500;0.00;-1.75;85.40;0.00;2.64;337.50
AV01;Nava de Arevalo;2015-02-04;0530;0.00;-2.09;87.30;0.00;3.03;328.40
AV01;Nava de Arevalo;2015-02-04;0600;0.00;-1.77;93.70;0.00;3.62;322.30
AV01;Nava de Arevalo;2015-02-04;0630;0.00;-1.73;96.30;0.00;4.66;325.10
AV01;Nava de Arevalo;2015-02-04;0700;0.00;-2.22;91.80;0.00;5.28;328.70
AV01;Nava de Arevalo;2015-02-04;0730;0.00;-3.05;92.30;1.59;4.95;322.00
AV01;Nava de Arevalo;2015-02-04;0800;0.00;-2.95;93.50;17.19;5.08;327.00
AV01;Nava de Arevalo;2015-02-04;0830;0.00;-2.97;92.40;99.00;3.86;326.70
AV01;Nava de Arevalo;2015-02-04;0900;0.00;-2.53;88.50;144.80;4.99;330.30
AV01;Nava de Arevalo;2015-02-04;0930;0.00;-1.91;87.80;223.10;6.11;324.30
AV01;Nava de Arevalo;2015-02-04;1000;0.00;-1.91;88.10;191.70;5.68;334.10
AV01;Nava de Arevalo;2015-02-04;1030;0.00;-1.48;87.00;272.80;4.90;348.40
AV01;Nava de Arevalo;2015-02-04;1100;0.00;-0.91;86.60;341.30;4.98;348.90
AV01;Nava de Arevalo;2015-02-04;1130;0.00;-0.35;83.70;397.30;5.57;342.60
AV01;Nava de Arevalo;2015-02-04;1200;0.00;-0.18;83.50;230.80;4.92;328.30
AV01;Nava de Arevalo;2015-02-04;1230;0.00;0.00;78.00;169.30;5.16;353.40
AV01;Nava de Arevalo;2015-02-04;1300;0.00;0.21;75.60;158.50;4.89;349.30
AV01;Nava de Arevalo;2015-02-04;1330;0.00;0.38;74.70;178.20;4.79;347.20
AV01;Nava de Arevalo;2015-02-04;1400;0.00;-0.71;83.00;159.10;5.11;7.68
AV01;Nava de Arevalo;2015-02-04;1430;0.00;-1.00;86.10;78.70;3.57;21.78
AV01;Nava de Arevalo;2015-02-04;1500;0.00;-0.58;89.60;239.60;2.80;35.14
AV01;Nava de Arevalo;2015-02-04;1530;0.00;0.07;84.00;76.50;4.51;349.00
AV01;Nava de Arevalo;2015-02-04;1600;0.00;-0.82;90.40;49.81;6.39;342.70
AV01;Nava de Arevalo;2015-02-04;1630;0.00;-0.84;87.40;39.62;4.45;357.80
AV01;Nava de Arevalo;2015-02-04;1700;0.00;-0.39;74.00;74.00;5.22;356.60
AV01;Nava de Arevalo;2015-02-04;1730;0.00;-0.44;72.50;8.62;6.62;6.41
AV01;Nava de Arevalo;2015-02-04;1800;0.00;-1.19;82.80;2.94;3.91;350.40
AV01;Nava de Arevalo;2015-02-04;1830;0.00;-1.71;87.10;0.02;4.36;348.00
AV01;Nava de Arevalo;2015-02-04;1900;0.00;-1.75;77.10;0.00;5.27;15.14
AV01;Nava de Arevalo;2015-02-04;1930;0.00;-2.04;79.40;0.00;5.21;13.05
AV01;Nava de Arevalo;2015-02-04;2000;0.00;-2.40;82.70;0.00;4.42;358.80
AV01;Nava de Arevalo;2015-02-04;2030;0.00;-2.51;86.00;0.00;3.91;352.40
