Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2016-01-08;0030;0.00;10.87;81.80;0.00;4.17;225.40
AV01;Nava de Arevalo;2016-01-08;0100;0.00;11.10;79.36;0.00;4.39;227.20
AV01;Nava de Arevalo;2016-01-08;0130;0.00;10.68;80.30;0.00;3.36;229.20
AV01;Nava de Arevalo;2016-01-08;0200;0.00;10.55;80.80;0.00;3.69;228.50
AV01;Nava de Arevalo;2016-01-08;0230;0.00;9.84;84.20;0.00;2.69;233.50
AV01;Nava de Arevalo;2016-01-08;0300;0.00;11.01;80.80;0.00;6.62;241.00
AV01;Nava de Arevalo;2016-01-08;0330;0.00;10.84;81.70;0.00;6.23;241.90
AV01;Nava de Arevalo;2016-01-08;0400;0.00;11.06;81.30;0.00;6.06;242.40
AV01;Nava de Arevalo;2016-01-08;0430;0.00;11.24;80.60;0.00;6.24;237.20
AV01;Nava de Arevalo;2016-01-08;0500;0.00;10.95;82.10;0.00;4.87;240.20
AV01;Nava de Arevalo;2016-01-08;0530;0.00;10.99;81.10;0.00;4.69;231.40
AV01;Nava de Arevalo;2016-01-08;0600;0.00;11.09;79.62;0.00;4.24;228.40
AV01;Nava de Arevalo;2016-01-08;0630;0.00;10.94;79.65;0.00;4.12;233.80
AV01;Nava de Arevalo;2016-01-08;0700;0.00;10.55;80.70;0.00;2.74;221.30
AV01;Nava de Arevalo;2016-01-08;0730;0.00;10.28;81.00;0.26;2.44;203.60
AV01;Nava de Arevalo;2016-01-08;0800;0.00;10.03;80.80;8.28;1.75;205.90
AV01;Nava de Arevalo;2016-01-08;0830;0.00;9.27;84.20;34.65;1.57;194.90
AV01;Nava de Arevalo;2016-01-08;0900;0.00;9.09;85.30;57.37;1.80;197.70
AV01;Nava de Arevalo;2016-01-08;0930;0.00;9.66;84.10;109.10;1.45;183.20
AV01;Nava de Arevalo;2016-01-08;1000;0.00;11.21;76.45;168.40;1.48;149.10
AV01;Nava de Arevalo;2016-01-08;1030;0.00;12.37;75.23;276.90;1.65;183.40
AV01;Nava de Arevalo;2016-01-08;1100;0.00;13.56;67.89;211.40;1.99;197.10
AV01;Nava de Arevalo;2016-01-08;1130;0.00;13.96;68.62;185.80;3.67;228.40
AV01;Nava de Arevalo;2016-01-08;1200;0.00;14.18;64.22;216.10;6.38;233.90
AV01;Nava de Arevalo;2016-01-08;1230;0.00;14.26;63.62;247.60;6.75;233.90
AV01;Nava de Arevalo;2016-01-08;1300;0.00;14.61;62.29;400.70;6.90;236.00
AV01;Nava de Arevalo;2016-01-08;1330;0.00;14.51;63.08;316.10;6.45;238.80
AV01;Nava de Arevalo;2016-01-08;1400;0.00;14.09;64.45;196.80;7.06;238.90
AV01;Nava de Arevalo;2016-01-08;1430;0.00;13.84;65.75;269.50;6.98;240.80
AV01;Nava de Arevalo;2016-01-08;1500;0.00;14.30;63.14;241.70;6.39;239.70
AV01;Nava de Arevalo;2016-01-08;1530;0.00;14.40;62.43;217.30;6.50;236.00
AV01;Nava de Arevalo;2016-01-08;1600;0.00;14.37;61.60;164.90;7.17;238.20
AV01;Nava de Arevalo;2016-01-08;1630;0.00;13.65;63.95;69.64;5.82;238.90
AV01;Nava de Arevalo;2016-01-08;1700;0.00;12.64;70.05;9.81;4.76;266.60
AV01;Nava de Arevalo;2016-01-08;1730;0.00;11.82;76.35;0.75;5.58;278.70
AV01;Nava de Arevalo;2016-01-08;1800;0.20;8.26;92.80;0.00;5.85;294.60
AV01;Nava de Arevalo;2016-01-08;1830;1.19;8.15;94.40;0.00;4.79;276.70
AV01;Nava de Arevalo;2016-01-08;1900;0.59;8.12;95.40;0.00;4.76;268.90
AV01;Nava de Arevalo;2016-01-08;1930;0.00;8.13;94.50;0.00;3.14;247.30
AV01;Nava de Arevalo;2016-01-08;2000;0.59;8.09;94.80;0.00;2.56;240.10
AV01;Nava de Arevalo;2016-01-08;2030;0.59;7.83;95.40;0.00;2.31;228.60
AV01;Nava de Arevalo;2016-01-08;2100;0.40;7.55;96.10;0.00;2.59;212.90
AV01;Nava de Arevalo;2016-01-08;2130;0.79;7.52;96.20;0.00;3.03;202.90
AV01;Nava de Arevalo;2016-01-08;2200;0.99;7.63;96.10;0.00;4.03;212.10
AV01;Nava de Arevalo;2016-01-08;2230;1.39;7.79;92.50;0.00;5.24;231.30
AV01;Nava de Arevalo;2016-01-08;2300;1.58;7.46;90.10;0.00;4.53;208.30
AV01;Nava de Arevalo;2016-01-08;2330;0.00;7.30;91.20;0.00;4.63;197.40
AV01;Nava de Arevalo;2016-01-08;2400;0.00;7.33;89.90;0.00;3.21;197.70
AV101;Muñogalindo;2016-01-08;0030;0.00;10.82;70.07;0.00;4.77;233.00
AV101;Muñogalindo;2016-01-08;0100;0.00;10.51;73.47;0.00;3.65;258.60
AV101;Muñogalindo;2016-01-08;0130;0.00;9.80;78.15;0.00;3.53;234.50
AV101;Muñogalindo;2016-01-08;0200;0.00;9.54;81.80;0.00;3.53;204.30
AV101;Muñogalindo;2016-01-08;0230;0.00;9.88;78.76;0.00;3.47;217.80
AV101;Muñogalindo;2016-01-08;0300;0.00;10.52;74.12;0.00;5.35;262.30
AV101;Muñogalindo;2016-01-08;0330;0.00;10.93;73.50;0.00;5.48;284.40
AV101;Muñogalindo;2016-01-08;0400;0.00;10.52;78.03;0.00;4.95;291.30
AV101;Muñogalindo;2016-01-08;0430;0.00;10.30;80.10;0.00;5.07;300.70
AV101;Muñogalindo;2016-01-08;0500;0.00;10.20;79.55;0.00;3.82;277.40
AV101;Muñogalindo;2016-01-08;0530;0.00;10.47;76.74;0.00;3.23;213.90
AV101;Muñogalindo;2016-01-08;0600;0.00;10.34;77.02;0.00;3.70;179.60
AV101;Muñogalindo;2016-01-08;0630;0.00;9.91;78.86;0.00;4.35;194.30
AV101;Muñogalindo;2016-01-08;0700;0.00;9.63;79.46;0.00;4.59;198.50
AV101;Muñogalindo;2016-01-08;0730;0.00;9.82;77.52;0.18;4.03;185.40
AV101;Muñogalindo;2016-01-08;0800;0.00;10.22;73.68;13.00;4.26;193.70
AV101;Muñogalindo;2016-01-08;0830;0.00;10.78;69.65;40.11;5.55;225.00
AV101;Muñogalindo;2016-01-08;0900;0.00;10.96;69.81;48.55;5.87;212.10
AV101;Muñogalindo;2016-01-08;0930;0.00;10.79;71.44;110.00;4.09;160.00
AV101;Muñogalindo;2016-01-08;1000;0.00;11.25;68.21;105.50;2.98;185.80
AV101;Muñogalindo;2016-01-08;1030;0.00;12.22;62.01;199.30;3.08;244.00
AV101;Muñogalindo;2016-01-08;1100;0.00;11.90;64.16;59.96;3.02;132.10
AV101;Muñogalindo;2016-01-08;1130;0.00;11.41;67.69;102.60;2.52;57.74
AV101;Muñogalindo;2016-01-08;1200;0.00;11.62;68.36;213.30;2.78;88.60
AV101;Muñogalindo;2016-01-08;1230;0.00;12.67;66.92;520.50;6.29;209.20
AV101;Muñogalindo;2016-01-08;1300;0.00;12.67;66.01;579.70;6.67;195.20
AV101;Muñogalindo;2016-01-08;1330;0.00;12.66;64.96;539.60;5.80;192.50
AV101;Muñogalindo;2016-01-08;1400;0.00;12.27;67.22;514.40;6.81;211.30
AV101;Muñogalindo;2016-01-08;1430;0.00;12.69;65.12;474.20;5.86;200.80
AV101;Muñogalindo;2016-01-08;1500;0.00;12.62;65.41;318.70;5.46;200.10
AV101;Muñogalindo;2016-01-08;1530;0.00;12.32;65.48;320.90;7.28;197.00
AV101;Muñogalindo;2016-01-08;1600;0.00;12.63;63.98;288.30;3.22;181.90
AV101;Muñogalindo;2016-01-08;1630;0.00;11.75;68.55;95.10;3.68;135.90
AV101;Muñogalindo;2016-01-08;1700;0.00;10.53;74.64;14.67;3.57;157.20
AV101;Muñogalindo;2016-01-08;1730;0.00;10.26;75.88;1.69;2.64;264.50
AV101;Muñogalindo;2016-01-08;1800;0.00;9.81;79.11;0.00;3.17;279.70
AV101;Muñogalindo;2016-01-08;1830;0.00;10.22;75.93;0.00;2.91;247.00
AV101;Muñogalindo;2016-01-08;1900;0.00;9.30;80.30;0.00;5.19;304.10
AV101;Muñogalindo;2016-01-08;1930;0.00;7.24;88.20;0.00;3.48;329.00
AV101;Muñogalindo;2016-01-08;2000;0.00;7.52;88.60;0.00;2.41;303.90
AV101;Muñogalindo;2016-01-08;2030;0.40;7.37;91.00;0.00;3.64;319.80
AV101;Muñogalindo;2016-01-08;2100;1.60;7.02;93.80;0.00;4.42;311.80
AV101;Muñogalindo;2016-01-08;2130;1.90;6.77;91.50;0.00;6.10;269.70
AV101;Muñogalindo;2016-01-08;2200;1.80;5.84;91.00;0.00;5.90;251.50
AV101;Muñogalindo;2016-01-08;2230;0.90;5.76;92.00;0.00;3.12;243.70
AV101;Muñogalindo;2016-01-08;2300;0.90;5.68;93.70;0.00;3.97;269.70
AV101;Muñogalindo;2016-01-08;2330;0.60;5.51;91.50;0.00;3.09;225.70
AV101;Muñogalindo;2016-01-08;2400;0.20;5.39;91.70;0.00;1.51;193.80
BU02;Valle de Valdelucio;2016-01-08;0030;0.00;9.45;94.20;0.00;9.11;230.10
BU02;Valle de Valdelucio;2016-01-08;0100;0.00;9.45;94.20;0.00;8.84;231.40
BU02;Valle de Valdelucio;2016-01-08;0130;0.00;9.45;94.00;0.00;8.32;230.80
BU02;Valle de Valdelucio;2016-01-08;0200;0.00;9.43;95.30;0.00;8.83;233.80
BU02;Valle de Valdelucio;2016-01-08;0230;0.00;9.56;92.70;0.00;9.04;231.00
BU02;Valle de Valdelucio;2016-01-08;0300;0.00;9.63;92.90;0.00;9.21;227.50
BU02;Valle de Valdelucio;2016-01-08;0330;0.00;9.65;93.60;0.00;9.04;227.90
BU02;Valle de Valdelucio;2016-01-08;0400;0.00;9.61;91.70;0.00;8.95;232.50
BU02;Valle de Valdelucio;2016-01-08;0430;0.00;9.36;93.10;0.00;8.96;234.10
BU02;Valle de Valdelucio;2016-01-08;0500;0.00;9.47;94.00;0.00;8.41;231.60
BU02;Valle de Valdelucio;2016-01-08;0530;0.00;9.38;96.20;0.00;9.54;230.80
BU02;Valle de Valdelucio;2016-01-08;0600;0.00;9.34;96.70;0.00;8.61;232.70
BU02;Valle de Valdelucio;2016-01-08;0630;0.20;9.03;100.00;0.00;7.78;232.90
BU02;Valle de Valdelucio;2016-01-08;0700;0.20;9.12;100.00;0.00;8.33;232.90
