Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-11-21;0030;0.00;10.06;63.04;0.00;5.42;252.50
AV01;Nava de Arevalo;2015-11-21;0100;0.00;9.57;63.07;0.00;4.85;253.50
AV01;Nava de Arevalo;2015-11-21;0130;0.00;9.31;64.11;0.00;6.12;257.50
AV01;Nava de Arevalo;2015-11-21;0200;0.00;8.64;67.35;0.00;5.26;256.90
AV01;Nava de Arevalo;2015-11-21;0230;0.00;8.46;72.00;0.00;6.01;253.50
AV01;Nava de Arevalo;2015-11-21;0300;0.00;8.82;72.10;0.00;6.04;249.40
AV01;Nava de Arevalo;2015-11-21;0330;0.00;9.04;75.80;0.00;6.43;253.00
AV01;Nava de Arevalo;2015-11-21;0400;0.00;9.40;77.20;0.00;8.42;259.50
AV01;Nava de Arevalo;2015-11-21;0430;0.20;9.91;79.80;0.00;9.05;271.10
AV01;Nava de Arevalo;2015-11-21;0500;0.00;10.26;82.40;0.00;9.77;265.80
AV01;Nava de Arevalo;2015-11-21;0530;0.00;10.42;85.00;0.00;8.45;263.40
AV01;Nava de Arevalo;2015-11-21;0600;0.00;10.58;85.40;0.00;8.04;265.60
AV01;Nava de Arevalo;2015-11-21;0630;0.59;10.44;89.50;0.00;7.44;260.20
AV01;Nava de Arevalo;2015-11-21;0700;0.79;10.44;93.30;0.07;7.90;260.30
AV01;Nava de Arevalo;2015-11-21;0730;0.00;10.64;92.60;2.37;7.78;290.70
AV01;Nava de Arevalo;2015-11-21;0800;0.40;10.20;90.90;17.01;7.41;317.30
AV01;Nava de Arevalo;2015-11-21;0830;0.00;9.31;91.40;29.00;6.30;338.30
AV01;Nava de Arevalo;2015-11-21;0900;0.00;8.68;86.10;75.40;5.74;344.50
AV01;Nava de Arevalo;2015-11-21;0930;0.00;8.59;82.60;120.40;5.02;339.80
AV01;Nava de Arevalo;2015-11-21;1000;0.00;8.93;75.20;361.00;5.95;347.50
