Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-08-19;0030;0.00;12.45;70.50;0.00;0.15;68.96
AV01;Nava de Arevalo;2015-08-19;0100;0.00;11.94;74.50;0.00;0.35;167.30
AV01;Nava de Arevalo;2015-08-19;0130;0.00;10.47;88.10;0.00;0.32;231.40
AV01;Nava de Arevalo;2015-08-19;0200;0.00;9.13;89.50;0.00;0.54;253.80
AV01;Nava de Arevalo;2015-08-19;0230;0.00;9.02;91.10;0.00;0.08;318.70
AV01;Nava de Arevalo;2015-08-19;0300;0.00;8.60;89.50;0.00;0.06;321.00
AV01;Nava de Arevalo;2015-08-19;0330;0.00;8.91;92.30;0.00;0.00;0.00
AV01;Nava de Arevalo;2015-08-19;0400;0.00;9.14;93.70;0.00;0.00;0.00
AV01;Nava de Arevalo;2015-08-19;0430;0.00;9.27;94.60;0.00;0.29;87.30
AV01;Nava de Arevalo;2015-08-19;0500;0.00;9.11;85.60;0.00;0.39;76.60
AV01;Nava de Arevalo;2015-08-19;0530;0.00;8.24;90.90;1.02;0.10;30.42
AV01;Nava de Arevalo;2015-08-19;0600;0.00;8.31;93.60;20.15;0.03;287.10
AV01;Nava de Arevalo;2015-08-19;0630;0.00;9.32;91.70;89.40;0.18;271.00
AV01;Nava de Arevalo;2015-08-19;0700;0.00;12.39;76.40;176.70;0.08;245.00
AV01;Nava de Arevalo;2015-08-19;0730;0.00;14.92;64.78;278.30;0.53;60.68
AV01;Nava de Arevalo;2015-08-19;0800;0.00;16.12;58.86;377.60;1.06;61.66
AV01;Nava de Arevalo;2015-08-19;0830;0.00;18.20;49.80;474.00;0.85;58.91
AV01;Nava de Arevalo;2015-08-19;0900;0.00;20.67;44.55;564.00;0.87;50.67
AV01;Nava de Arevalo;2015-08-19;0930;0.00;22.93;40.42;644.80;1.33;40.61
AV01;Nava de Arevalo;2015-08-19;1000;0.00;23.81;37.12;715.00;1.95;18.62
AV01;Nava de Arevalo;2015-08-19;1030;0.00;24.90;33.06;775.00;2.33;8.72
AV01;Nava de Arevalo;2015-08-19;1100;0.00;25.50;31.66;826.00;2.73;24.69
AV01;Nava de Arevalo;2015-08-19;1130;0.00;26.40;28.47;863.00;2.73;16.30
AV01;Nava de Arevalo;2015-08-19;1200;0.00;26.62;26.93;886.00;2.14;31.15
AV01;Nava de Arevalo;2015-08-19;1230;0.00;27.11;25.41;896.00;1.58;6.47
AV01;Nava de Arevalo;2015-08-19;1300;0.00;27.74;24.21;893.00;1.68;33.85
AV01;Nava de Arevalo;2015-08-19;1330;0.00;28.63;21.98;875.00;2.30;50.89
AV01;Nava de Arevalo;2015-08-19;1400;0.00;28.25;21.85;843.00;1.73;43.24
AV01;Nava de Arevalo;2015-08-19;1430;0.00;28.94;20.96;798.00;2.29;11.24
AV01;Nava de Arevalo;2015-08-19;1500;0.00;29.52;19.11;743.00;1.97;329.90
AV01;Nava de Arevalo;2015-08-19;1530;0.00;29.61;18.31;676.20;2.29;352.10
AV01;Nava de Arevalo;2015-08-19;1600;0.00;29.14;18.93;596.70;2.11;358.80
AV01;Nava de Arevalo;2015-08-19;1630;0.00;29.54;17.80;512.40;2.24;348.60
AV01;Nava de Arevalo;2015-08-19;1700;0.00;29.47;17.51;419.20;2.26;359.90
AV01;Nava de Arevalo;2015-08-19;1730;0.00;29.16;17.31;324.50;1.91;359.40
AV01;Nava de Arevalo;2015-08-19;1800;0.00;28.78;19.18;226.50;1.90;327.80
AV01;Nava de Arevalo;2015-08-19;1830;0.00;27.74;20.67;131.60;1.48;346.20
AV01;Nava de Arevalo;2015-08-19;1900;0.00;25.27;27.31;46.58;0.72;338.50
AV01;Nava de Arevalo;2015-08-19;1930;0.00;22.39;37.10;5.19;0.01;323.00
AV01;Nava de Arevalo;2015-08-19;2000;0.00;18.47;69.46;0.05;0.83;208.10
AV01;Nava de Arevalo;2015-08-19;2030;0.00;16.77;69.09;0.00;0.88;238.70
AV01;Nava de Arevalo;2015-08-19;2100;0.00;16.62;65.36;0.00;0.48;215.80
AV01;Nava de Arevalo;2015-08-19;2130;0.00;15.49;69.35;0.00;0.78;227.40
AV01;Nava de Arevalo;2015-08-19;2200;0.00;14.40;78.70;0.00;0.83;202.70
AV01;Nava de Arevalo;2015-08-19;2230;0.00;14.34;77.20;0.00;0.79;229.80
AV01;Nava de Arevalo;2015-08-19;2300;0.00;13.73;76.90;0.00;1.03;189.30
AV01;Nava de Arevalo;2015-08-19;2330;0.00;13.24;78.60;0.00;1.26;202.50
AV01;Nava de Arevalo;2015-08-19;2400;0.00;13.00;74.40;0.00;1.51;191.90
AV101;Mu̱ogalindo;2015-08-19;0030;0.00;13.28;56.17;0.00;1.39;224.90
AV101;Mu̱ogalindo;2015-08-19;0100;0.00;12.76;57.88;0.00;2.22;255.00
AV101;Mu̱ogalindo;2015-08-19;0130;0.00;11.34;62.14;0.00;2.85;279.00
AV101;Mu̱ogalindo;2015-08-19;0200;0.00;11.67;62.77;0.00;2.73;255.70
AV101;Mu̱ogalindo;2015-08-19;0230;0.00;10.98;65.00;0.00;2.53;290.90
AV101;Mu̱ogalindo;2015-08-19;0300;0.00;9.93;69.03;0.00;2.68;277.10
AV101;Mu̱ogalindo;2015-08-19;0330;0.00;9.94;70.12;0.00;1.83;266.10
AV101;Mu̱ogalindo;2015-08-19;0400;0.00;10.15;69.75;0.00;1.38;223.00
AV101;Mu̱ogalindo;2015-08-19;0430;0.00;9.45;71.04;0.00;2.39;294.30
AV101;Mu̱ogalindo;2015-08-19;0500;0.00;9.26;71.93;0.00;1.26;249.10
