MLPRegressor;4;2;0.389310;0.683200;{u'activation': u'tanh', u'random_state': 1, u'solver': u'sgd', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.676297;0.279983;{u'activation': u'tanh', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.448283;0.770226;{u'activation': u'tanh', u'random_state': 2, u'solver': u'sgd', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.753083;0.151880;{u'activation': u'relu', u'random_state': 1, u'solver': u'lbfgs', u'hidden_layer_sizes': [100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.702073;0.056285;{u'activation': u'relu', u'random_state': 1, u'solver': u'sgd', u'hidden_layer_sizes': [100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.767351;0.082135;{u'activation': u'relu', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.490228;0.323222;{u'activation': u'relu', u'random_state': 2, u'solver': u'sgd', u'hidden_layer_sizes': [100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.705172;0.186034;{u'activation': u'relu', u'random_state': 1, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.693031;0.043738;{u'activation': u'relu', u'random_state': 1, u'solver': u'sgd', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.727206;0.233932;{u'activation': u'relu', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
MLPRegressor;4;2;0.619245;0.334337;{u'activation': u'relu', u'random_state': 2, u'solver': u'sgd', u'hidden_layer_sizes': [100, 100]};{u'activation': u'logistic', u'random_state': 2, u'solver': u'lbfgs', u'hidden_layer_sizes': [100, 100]}
