radiacion
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.3
7.52
62.35
139.1
196.9
229.5
312.6
368.3
401.3
423.5
437.1
436.6
420.3
390.5
346.8
293.1
227.9
157.8
84.5
18.97
1.95
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.45
11.42
90.4
124.3
113.9
126.8
295.0
335.3
397.8
445.2
437.2
378.3
373.6
289.4
312.1
213.1
159.4
98.0
54.44
14.57
1.13
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.31
7.31
66.85
145.0
212.1
221.0
324.1
365.2
401.6
428.0
441.5
436.3
421.6
391.9
349.4
294.9
229.5
159.1
87.7
20.44
2.36
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.32
6.73
51.79
123.9
190.3
221.7
320.3
369.5
407.2
433.5
443.4
439.9
422.8
391.0
347.4
292.9
228.4
158.7
88.4
21.94
2.44
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.29
6.98
63.45
149.2
222.4
232.2
335.6
381.0
412.8
434.3
446.1
444.4
427.9
397.9
355.2
300.8
237.6
166.1
93.4
23.25
2.59
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.23
5.24
55.54
132.3
198.4
214.2
250.8
233.2
220.4
223.7
184.2
182.0
178.0
158.5
142.8
117.4
90.0
61.27
33.03
10.4
1.15
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.11
2.8
15.78
36.82
76.4
98.1
139.2
154.4
189.8
201.9
224.3
217.6
203.4
168.8
156.8
137.7
89.8
56.23
31.93
10.14
1.3
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.16
