Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-08-05;0030;0.00;11.83;60.40;0.00;1.28;169.50
AV01;Nava de Arévalo;2001-08-05;0100;0.00;11.81;60.31;0.00;0.82;183.90
AV01;Nava de Arévalo;2001-08-05;0130;0.00;11.08;66.62;0.00;0.91;181.20
AV01;Nava de Arévalo;2001-08-05;0200;0.00;10.76;66.94;0.00;0.73;165.60
AV01;Nava de Arévalo;2001-08-05;0230;0.00;10.12;67.13;0.00;0.89;169.10
AV01;Nava de Arévalo;2001-08-05;0300;0.00;9.52;69.70;0.00;1.29;152.80
AV01;Nava de Arévalo;2001-08-05;0330;0.00;9.08;71.20;0.00;1.10;162.40
AV01;Nava de Arévalo;2001-08-05;0400;0.00;8.55;74.40;0.00;0.67;185.10
AV01;Nava de Arévalo;2001-08-05;0430;0.00;8.86;75.50;0.00;0.77;175.20
AV01;Nava de Arévalo;2001-08-05;0500;0.00;7.97;81.00;1.64;0.68;265.50
AV01;Nava de Arévalo;2001-08-05;0530;0.00;8.59;87.00;26.54;0.24;243.00
AV01;Nava de Arévalo;2001-08-05;0600;0.00;10.19;84.10;107.80;0.47;249.50
AV01;Nava de Arévalo;2001-08-05;0630;0.00;11.74;79.00;190.50;1.29;169.10
AV01;Nava de Arévalo;2001-08-05;0700;0.00;13.39;74.20;287.10;1.16;242.60
AV01;Nava de Arévalo;2001-08-05;0730;0.00;15.49;67.43;383.50;1.45;286.10
AV01;Nava de Arévalo;2001-08-05;0800;0.00;16.48;60.31;478.70;1.46;314.50
AV01;Nava de Arévalo;2001-08-05;0830;0.00;17.95;54.73;570.00;0.81;262.10
AV01;Nava de Arévalo;2001-08-05;0900;0.00;20.26;45.44;655.60;0.98;271.80
AV01;Nava de Arévalo;2001-08-05;0930;0.00;21.40;42.52;731.00;1.59;292.30
AV01;Nava de Arévalo;2001-08-05;1000;0.00;22.14;41.53;793.00;1.91;309.40
AV01;Nava de Arévalo;2001-08-05;1030;0.00;23.11;37.89;846.00;2.21;319.20
AV01;Nava de Arévalo;2001-08-05;1100;0.00;24.01;35.09;886.00;1.85;307.10
AV01;Nava de Arévalo;2001-08-05;1130;0.00;24.75;31.70;914.00;1.92;270.60
AV01;Nava de Arévalo;2001-08-05;1200;0.00;25.84;28.81;931.00;1.98;297.60
AV01;Nava de Arévalo;2001-08-05;1230;0.00;26.68;24.40;938.00;2.10;291.00
AV01;Nava de Arévalo;2001-08-05;1300;0.00;27.37;22.51;921.00;2.05;303.40
AV01;Nava de Arévalo;2001-08-05;1330;0.00;27.79;20.61;899.00;2.23;293.60
AV01;Nava de Arévalo;2001-08-05;1400;0.00;28.47;19.58;860.00;2.73;277.80
AV01;Nava de Arévalo;2001-08-05;1430;0.00;28.47;18.58;811.00;2.65;276.40
AV01;Nava de Arévalo;2001-08-05;1500;0.00;28.67;17.62;748.00;2.27;308.40
AV01;Nava de Arévalo;2001-08-05;1530;0.00;28.90;18.94;673.80;2.60;281.90
AV01;Nava de Arévalo;2001-08-05;1600;0.00;29.25;17.49;592.90;2.45;282.50
AV01;Nava de Arévalo;2001-08-05;1630;0.00;29.69;16.14;501.30;1.97;282.40
AV01;Nava de Arévalo;2001-08-05;1700;0.00;29.34;17.44;407.30;2.22;285.70
AV01;Nava de Arévalo;2001-08-05;1730;0.00;29.40;18.12;310.70;2.52;277.80
AV01;Nava de Arévalo;2001-08-05;1800;0.00;28.49;19.12;218.70;2.73;288.20
AV01;Nava de Arévalo;2001-08-05;1830;0.00;27.51;19.70;126.30;2.25;287.10
AV01;Nava de Arévalo;2001-08-05;1900;0.00;25.33;26.02;41.87;1.13;298.00
AV01;Nava de Arévalo;2001-08-05;1930;0.00;22.32;35.22;4.04;0.42;293.20
AV01;Nava de Arévalo;2001-08-05;2000;0.00;20.56;39.50;0.03;0.64;192.40
AV01;Nava de Arévalo;2001-08-05;2030;0.00;19.38;41.82;0.00;0.83;169.40
AV01;Nava de Arévalo;2001-08-05;2100;0.00;17.73;48.13;0.00;0.84;179.60
AV01;Nava de Arévalo;2001-08-05;2130;0.00;16.94;48.47;0.00;1.10;173.30
AV01;Nava de Arévalo;2001-08-05;2200;0.00;16.85;48.34;0.00;1.45;183.80
AV01;Nava de Arévalo;2001-08-05;2230;0.00;17.74;44.26;0.00;2.35;262.20
AV01;Nava de Arévalo;2001-08-05;2300;0.00;18.23;48.88;0.00;2.39;281.70
AV01;Nava de Arévalo;2001-08-05;2330;0.00;17.68;55.81;0.00;2.31;284.20
AV01;Nava de Arévalo;2001-08-05;2400;0.00;17.52;58.45;0.00;2.35;281.90
BU01;Miranda de Ebro;2001-08-05;0030;0.00;11.33;86.40;0.00;0.71;238.70
BU01;Miranda de Ebro;2001-08-05;0100;0.00;10.38;87.70;0.00;0.73;223.60
BU01;Miranda de Ebro;2001-08-05;0130;0.00;10.28;87.80;0.00;0.63;225.90
BU01;Miranda de Ebro;2001-08-05;0200;0.00;10.20;87.70;0.00;0.49;230.30
BU01;Miranda de Ebro;2001-08-05;0230;0.00;9.67;87.30;0.00;0.71;217.80
BU01;Miranda de Ebro;2001-08-05;0300;0.00;8.81;88.60;0.00;0.82;224.80
BU01;Miranda de Ebro;2001-08-05;0330;0.00;8.85;89.50;0.00;0.72;269.60
BU01;Miranda de Ebro;2001-08-05;0400;0.00;8.67;89.30;0.00;0.57;241.00
BU01;Miranda de Ebro;2001-08-05;0430;0.00;8.21;89.60;0.00;0.65;227.00
BU01;Miranda de Ebro;2001-08-05;0500;0.00;7.72;89.80;2.23;0.66;217.40
BU01;Miranda de Ebro;2001-08-05;0530;0.00;8.19;90.50;23.55;0.42;233.90
BU01;Miranda de Ebro;2001-08-05;0600;0.00;9.11;89.70;90.80;0.59;274.60
BU01;Miranda de Ebro;2001-08-05;0630;0.00;10.32;86.60;168.80;0.43;219.50
BU01;Miranda de Ebro;2001-08-05;0700;0.00;11.66;81.90;256.70;0.65;319.90
