Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-08-03;0030;0.00;17.08;70.40;0.00;2.85;279.40
AV01;Nava de Arévalo;2001-08-03;0100;0.00;16.89;66.82;0.00;3.01;279.50
AV01;Nava de Arévalo;2001-08-03;0130;0.00;15.78;70.40;0.00;2.34;272.80
AV01;Nava de Arévalo;2001-08-03;0200;0.00;14.75;73.70;0.00;2.27;266.10
AV01;Nava de Arévalo;2001-08-03;0230;0.00;14.00;76.60;0.00;1.57;245.40
AV01;Nava de Arévalo;2001-08-03;0300;0.00;13.02;80.80;0.00;1.03;213.30
AV01;Nava de Arévalo;2001-08-03;0330;0.00;11.96;84.80;0.00;1.43;233.00
AV01;Nava de Arévalo;2001-08-03;0400;0.00;11.30;87.10;0.00;1.45;215.20
AV01;Nava de Arévalo;2001-08-03;0430;0.00;11.39;87.10;0.00;1.24;246.70
AV01;Nava de Arévalo;2001-08-03;0500;0.00;11.30;87.90;2.52;0.78;226.20
AV01;Nava de Arévalo;2001-08-03;0530;0.00;11.79;86.90;18.37;0.82;175.60
AV01;Nava de Arévalo;2001-08-03;0600;0.00;11.77;86.90;42.87;0.85;220.40
AV01;Nava de Arévalo;2001-08-03;0630;0.00;12.29;87.20;70.40;1.24;215.60
AV01;Nava de Arévalo;2001-08-03;0700;0.00;14.26;80.90;288.60;1.21;217.80
AV01;Nava de Arévalo;2001-08-03;0730;0.00;16.76;65.03;376.50;0.79;208.20
AV01;Nava de Arévalo;2001-08-03;0800;0.00;17.55;62.51;426.30;1.89;242.70
AV01;Nava de Arévalo;2001-08-03;0830;0.00;19.01;58.98;555.50;2.16;254.00
AV01;Nava de Arévalo;2001-08-03;0900;0.00;20.08;53.91;637.70;2.06;252.10
AV01;Nava de Arévalo;2001-08-03;0930;0.00;21.47;48.71;714.00;2.48;275.70
AV01;Nava de Arévalo;2001-08-03;1000;0.00;21.93;44.93;774.00;3.59;279.40
AV01;Nava de Arévalo;2001-08-03;1030;0.00;22.37;43.59;833.00;3.33;289.90
AV01;Nava de Arévalo;2001-08-03;1100;0.00;22.99;39.54;871.00;3.80;284.00
AV01;Nava de Arévalo;2001-08-03;1130;0.00;23.46;39.01;905.00;3.67;287.70
AV01;Nava de Arévalo;2001-08-03;1200;0.00;23.97;34.57;930.00;4.07;293.50
AV01;Nava de Arévalo;2001-08-03;1230;0.00;24.78;31.95;794.00;4.15;299.40
AV01;Nava de Arévalo;2001-08-03;1300;0.00;24.88;29.85;933.00;4.05;304.60
AV01;Nava de Arévalo;2001-08-03;1330;0.00;25.75;25.95;972.00;4.17;286.50
AV01;Nava de Arévalo;2001-08-03;1400;0.00;26.36;24.75;881.00;3.89;286.70
AV01;Nava de Arévalo;2001-08-03;1430;0.00;26.01;24.63;684.30;4.65;281.20
AV01;Nava de Arévalo;2001-08-03;1500;0.00;25.99;24.79;687.10;3.66;295.50
AV01;Nava de Arévalo;2001-08-03;1530;0.00;26.66;22.75;644.10;4.40;275.70
AV01;Nava de Arévalo;2001-08-03;1600;0.00;26.61;23.23;486.30;4.10;268.90
AV01;Nava de Arévalo;2001-08-03;1630;0.00;25.88;24.38;409.10;4.43;284.50
AV01;Nava de Arévalo;2001-08-03;1700;0.00;26.40;23.77;335.00;5.34;271.60
AV01;Nava de Arévalo;2001-08-03;1730;0.00;24.49;27.85;214.70;6.26;292.90
AV01;Nava de Arévalo;2001-08-03;1800;0.00;23.65;29.90;168.30;5.40;287.30
AV01;Nava de Arévalo;2001-08-03;1830;0.00;23.45;29.57;115.20;5.62;303.80
AV01;Nava de Arévalo;2001-08-03;1900;0.00;22.61;29.79;57.13;5.20;299.20
AV01;Nava de Arévalo;2001-08-03;1930;0.00;21.59;32.37;7.76;3.04;301.40
AV01;Nava de Arévalo;2001-08-03;2000;0.00;20.30;35.53;0.07;1.80;302.10
AV01;Nava de Arévalo;2001-08-03;2030;0.00;17.78;45.61;0.00;0.27;292.00
AV01;Nava de Arévalo;2001-08-03;2100;0.00;16.17;53.68;0.00;0.66;270.90
AV01;Nava de Arévalo;2001-08-03;2130;0.00;15.70;55.24;0.00;0.41;250.60
AV01;Nava de Arévalo;2001-08-03;2200;0.00;15.46;55.58;0.00;0.49;204.30
AV01;Nava de Arévalo;2001-08-03;2230;0.00;14.34;58.78;0.00;0.37;291.40
AV01;Nava de Arévalo;2001-08-03;2300;0.00;14.86;58.17;0.00;0.39;134.10
AV01;Nava de Arévalo;2001-08-03;2330;0.00;13.18;65.61;0.00;0.87;208.80
AV01;Nava de Arévalo;2001-08-03;2400;0.00;12.68;69.64;0.00;0.92;200.70
BU01;Miranda de Ebro;2001-08-03;0030;0.00;14.74;81.70;0.00;0.79;22.08
BU01;Miranda de Ebro;2001-08-03;0100;0.00;14.65;81.30;0.00;0.29;198.10
BU01;Miranda de Ebro;2001-08-03;0130;0.00;13.91;82.90;0.00;0.33;170.80
BU01;Miranda de Ebro;2001-08-03;0200;0.00;13.02;86.10;0.00;0.55;232.60
BU01;Miranda de Ebro;2001-08-03;0230;0.00;13.05;84.50;0.00;0.72;271.40
BU01;Miranda de Ebro;2001-08-03;0300;0.00;12.24;85.40;0.00;0.77;235.50
BU01;Miranda de Ebro;2001-08-03;0330;0.00;12.20;85.60;0.00;0.64;243.80
BU01;Miranda de Ebro;2001-08-03;0400;0.00;11.74;87.50;0.00;0.93;243.60
BU01;Miranda de Ebro;2001-08-03;0430;0.00;11.15;88.10;0.00;0.72;221.30
BU01;Miranda de Ebro;2001-08-03;0500;0.00;10.76;89.70;2.28;0.63;232.40
BU01;Miranda de Ebro;2001-08-03;0530;0.00;11.40;89.00;22.22;0.88;250.00
BU01;Miranda de Ebro;2001-08-03;0600;0.00;10.89;89.20;47.66;0.59;208.20
BU01;Miranda de Ebro;2001-08-03;0630;0.00;11.79;89.90;135.30;0.54;251.00
BU01;Miranda de Ebro;2001-08-03;0700;0.00;13.74;84.10;254.50;0.36;292.60
BU01;Miranda de Ebro;2001-08-03;0730;0.00;15.17;77.30;362.10;0.42;357.30
BU01;Miranda de Ebro;2001-08-03;0800;0.00;17.10;68.83;462.40;0.65;57.87
BU01;Miranda de Ebro;2001-08-03;0830;0.00;18.10;64.41;552.00;0.82;65.83
BU01;Miranda de Ebro;2001-08-03;0900;0.00;19.23;60.14;634.90;0.96;344.70
BU01;Miranda de Ebro;2001-08-03;0930;0.00;19.83;59.02;723.00;1.21;22.09
BU01;Miranda de Ebro;2001-08-03;1000;0.00;20.63;55.26;683.40;1.22;22.84
BU01;Miranda de Ebro;2001-08-03;1030;0.00;21.43;51.88;786.00;1.16;25.64
BU01;Miranda de Ebro;2001-08-03;1100;0.00;22.29;50.02;875.00;1.67;358.00
BU01;Miranda de Ebro;2001-08-03;1130;0.00;23.41;46.32;885.00;2.05;337.90
BU01;Miranda de Ebro;2001-08-03;1200;0.00;24.10;42.33;902.00;1.91;312.40
BU01;Miranda de Ebro;2001-08-03;1230;0.00;24.88;36.68;938.00;1.62;357.30
BU01;Miranda de Ebro;2001-08-03;1300;0.00;25.64;34.56;892.00;1.42;84.00
BU01;Miranda de Ebro;2001-08-03;1330;0.00;26.39;35.05;810.00;2.28;346.90
BU01;Miranda de Ebro;2001-08-03;1400;0.00;26.02;35.43;465.70;2.27;37.25
BU01;Miranda de Ebro;2001-08-03;1430;0.00;25.07;39.24;276.40;2.14;43.94
BU01;Miranda de Ebro;2001-08-03;1500;0.00;24.64;42.47;254.20;3.61;16.39
BU01;Miranda de Ebro;2001-08-03;1530;0.00;24.72;43.52;377.10;3.93;16.50
