Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-09-04;0030;0.00;14.27;73.70;0.00;0.83;354.60
AV01;Nava de Arévalo;2001-09-04;0100;0.00;12.78;79.10;0.00;0.66;304.50
AV01;Nava de Arévalo;2001-09-04;0130;0.00;12.01;82.50;0.00;1.12;292.30
AV01;Nava de Arévalo;2001-09-04;0200;0.00;11.83;84.90;0.00;0.55;261.60
AV01;Nava de Arévalo;2001-09-04;0230;0.00;11.45;86.10;0.00;0.47;252.40
AV01;Nava de Arévalo;2001-09-04;0300;0.00;11.19;88.50;0.00;1.64;273.70
AV01;Nava de Arévalo;2001-09-04;0330;0.00;10.99;88.70;0.00;1.17;276.40
AV01;Nava de Arévalo;2001-09-04;0400;0.00;10.72;90.00;0.00;0.68;284.10
AV01;Nava de Arévalo;2001-09-04;0430;0.00;10.41;91.00;0.00;0.50;222.40
AV01;Nava de Arévalo;2001-09-04;0500;0.00;10.30;91.30;0.00;0.80;175.80
AV01;Nava de Arévalo;2001-09-04;0530;0.00;10.21;90.80;1.37;0.99;161.00
AV01;Nava de Arévalo;2001-09-04;0600;0.00;10.10;90.80;19.10;0.87;156.50
AV01;Nava de Arévalo;2001-09-04;0630;0.00;10.82;90.20;86.10;0.99;156.40
AV01;Nava de Arévalo;2001-09-04;0700;0.00;12.47;86.70;172.90;1.50;153.30
AV01;Nava de Arévalo;2001-09-04;0730;0.00;14.34;80.40;273.30;1.34;153.90
AV01;Nava de Arévalo;2001-09-04;0800;0.00;16.34;72.20;367.30;1.63;133.20
AV01;Nava de Arévalo;2001-09-04;0830;0.00;18.33;64.87;461.10;1.13;133.80
AV01;Nava de Arévalo;2001-09-04;0900;0.00;20.19;58.33;550.90;1.15;214.70
AV01;Nava de Arévalo;2001-09-04;0930;0.00;21.58;54.22;629.70;2.15;283.00
AV01;Nava de Arévalo;2001-09-04;1000;0.00;22.33;51.65;697.80;2.71;294.00
AV01;Nava de Arévalo;2001-09-04;1030;0.00;22.89;49.28;749.00;3.18;316.30
AV01;Nava de Arévalo;2001-09-04;1100;0.00;24.03;46.03;784.00;3.21;318.90
AV01;Nava de Arévalo;2001-09-04;1130;0.00;24.64;43.65;816.00;2.91;319.10
AV01;Nava de Arévalo;2001-09-04;1200;0.00;25.79;39.60;838.00;2.40;305.20
AV01;Nava de Arévalo;2001-09-04;1230;0.00;26.52;36.90;814.00;2.73;300.10
AV01;Nava de Arévalo;2001-09-04;1300;0.00;27.34;35.16;805.00;3.20;302.60
AV01;Nava de Arévalo;2001-09-04;1330;0.00;28.20;31.75;763.00;4.05;291.00
AV01;Nava de Arévalo;2001-09-04;1400;0.00;28.61;32.17;788.00;4.78;298.70
AV01;Nava de Arévalo;2001-09-04;1430;0.00;29.05;30.74;685.80;5.89;298.00
AV01;Nava de Arévalo;2001-09-04;1500;0.00;28.22;31.61;429.40;5.42;298.60
