Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-05-08;0030;0.00;1.96;90.60;0.00;1.12;255.00
AV01;Nava de Arévalo;2001-05-08;0100;0.00;1.64;92.10;0.00;0.19;292.30
AV01;Nava de Arévalo;2001-05-08;0130;0.00;1.22;92.00;0.00;0.79;211.80
AV01;Nava de Arévalo;2001-05-08;0200;0.00;0.25;93.70;0.00;0.57;323.30
AV01;Nava de Arévalo;2001-05-08;0230;0.00;0.68;94.20;0.00;0.51;349.70
AV01;Nava de Arévalo;2001-05-08;0300;0.00;1.05;94.20;0.00;0.65;97.20
AV01;Nava de Arévalo;2001-05-08;0330;0.00;0.16;94.40;0.00;0.34;233.10
AV01;Nava de Arévalo;2001-05-08;0400;0.00;1.56;95.00;0.00;0.97;193.60
AV01;Nava de Arévalo;2001-05-08;0430;0.00;2.40;94.00;0.03;0.56;215.60
AV01;Nava de Arévalo;2001-05-08;0500;0.00;2.46;93.80;2.39;0.69;219.60
AV01;Nava de Arévalo;2001-05-08;0530;0.20;2.84;93.90;5.81;0.60;259.00
AV01;Nava de Arévalo;2001-05-08;0600;0.00;3.47;93.60;17.66;0.68;323.20
AV01;Nava de Arévalo;2001-05-08;0630;0.40;3.93;92.90;40.88;1.02;300.70
AV01;Nava de Arévalo;2001-05-08;0700;0.00;4.55;91.90;154.80;1.44;357.90
AV01;Nava de Arévalo;2001-05-08;0730;0.00;5.64;89.00;233.40;0.54;27.12
AV01;Nava de Arévalo;2001-05-08;0800;0.00;7.07;82.80;383.60;1.03;46.06
AV01;Nava de Arévalo;2001-05-08;0830;0.00;8.18;81.10;545.30;2.15;6.72
AV01;Nava de Arévalo;2001-05-08;0900;0.00;9.62;76.40;587.90;2.62;8.99
AV01;Nava de Arévalo;2001-05-08;0930;0.00;10.82;71.60;499.60;2.25;17.31
AV01;Nava de Arévalo;2001-05-08;1000;0.00;12.46;62.71;574.20;2.10;36.82
AV01;Nava de Arévalo;2001-05-08;1030;0.00;13.92;55.40;564.80;2.77;39.00
AV01;Nava de Arévalo;2001-05-08;1100;0.00;13.83;55.25;388.50;3.09;71.80
AV01;Nava de Arévalo;2001-05-08;1130;0.20;15.16;51.73;786.00;3.65;50.66
AV01;Nava de Arévalo;2001-05-08;1200;0.00;15.39;49.00;648.30;3.85;52.42
AV01;Nava de Arévalo;2001-05-08;1230;0.00;16.24;44.07;617.60;3.75;64.25
AV01;Nava de Arévalo;2001-05-08;1300;1.20;14.76;48.14;76.60;3.70;92.40
AV01;Nava de Arévalo;2001-05-08;1330;0.80;11.01;72.50;472.40;3.95;242.40
AV01;Nava de Arévalo;2001-05-08;1400;0.00;14.23;59.00;703.00;2.84;277.00
AV01;Nava de Arévalo;2001-05-08;1430;0.00;14.25;57.57;332.60;1.97;264.50
AV01;Nava de Arévalo;2001-05-08;1500;0.00;14.60;56.71;253.20;1.94;283.00
AV01;Nava de Arévalo;2001-05-08;1530;0.00;12.62;64.60;57.89;4.95;158.20
AV01;Nava de Arévalo;2001-05-08;1600;0.00;10.87;72.30;97.10;4.80;97.40
AV01;Nava de Arévalo;2001-05-08;1630;0.00;11.74;63.23;87.90;3.30;94.70
AV01;Nava de Arévalo;2001-05-08;1700;0.20;10.28;77.60;51.05;4.98;188.70
AV01;Nava de Arévalo;2001-05-08;1730;1.20;9.31;83.90;17.10;2.72;168.30
AV01;Nava de Arévalo;2001-05-08;1800;0.20;9.01;88.80;43.04;1.27;79.80
AV01;Nava de Arévalo;2001-05-08;1830;0.00;9.40;88.00;35.28;1.09;74.50
AV01;Nava de Arévalo;2001-05-08;1900;0.00;8.76;90.30;10.45;0.19;4.25
AV01;Nava de Arévalo;2001-05-08;1930;0.00;8.07;92.00;1.09;0.68;6.33
AV01;Nava de Arévalo;2001-05-08;2000;0.20;6.88;92.60;0.00;0.53;2.25
AV01;Nava de Arévalo;2001-05-08;2030;0.00;7.48;93.80;0.00;0.77;45.59
AV01;Nava de Arévalo;2001-05-08;2100;0.00;7.28;93.30;0.00;0.83;42.19
AV01;Nava de Arévalo;2001-05-08;2130;0.00;6.99;93.30;0.00;0.94;39.90
AV01;Nava de Arévalo;2001-05-08;2200;0.00;7.15;94.40;0.00;0.78;40.50
AV01;Nava de Arévalo;2001-05-08;2230;0.00;6.79;94.30;0.00;0.52;47.28
AV01;Nava de Arévalo;2001-05-08;2300;0.00;6.84;95.10;0.00;0.78;55.44
AV01;Nava de Arévalo;2001-05-08;2330;0.00;7.42;95.20;0.00;1.28;43.13
AV01;Nava de Arévalo;2001-05-08;2400;0.60;7.57;95.60;0.00;0.92;80.70
BU01;Miranda de Ebro;2001-05-08;0030;0.00;7.17;83.20;0.00;0.40;322.30
