Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-11-01;0030;0.00;6.59;93.30;0.00;0.40;200.00
AV01;Nava de Arévalo;2001-11-01;0100;0.00;6.23;93.60;0.00;0.27;285.50
AV01;Nava de Arévalo;2001-11-01;0130;0.00;6.04;94.20;0.00;0.67;308.70
AV01;Nava de Arévalo;2001-11-01;0200;0.00;7.20;95.00;0.00;0.96;358.80
AV01;Nava de Arévalo;2001-11-01;0230;0.00;7.56;94.90;0.00;0.23;44.37
AV01;Nava de Arévalo;2001-11-01;0300;0.00;5.32;94.00;0.00;0.67;199.60
AV01;Nava de Arévalo;2001-11-01;0330;0.00;4.81;95.10;0.00;0.63;178.50
AV01;Nava de Arévalo;2001-11-01;0400;0.00;4.50;95.30;0.00;0.46;172.30
AV01;Nava de Arévalo;2001-11-01;0430;0.00;4.32;95.60;0.00;0.59;173.00
AV01;Nava de Arévalo;2001-11-01;0500;0.00;3.83;95.90;0.00;0.17;176.00
AV01;Nava de Arévalo;2001-11-01;0530;0.00;3.33;96.00;0.00;0.18;312.00
AV01;Nava de Arévalo;2001-11-01;0600;0.00;2.69;96.50;0.00;0.06;188.40
AV01;Nava de Arévalo;2001-11-01;0630;0.00;3.07;96.60;1.30;0.12;350.50
AV01;Nava de Arévalo;2001-11-01;0700;0.20;3.06;96.70;16.65;0.03;257.80
AV01;Nava de Arévalo;2001-11-01;0730;0.00;4.59;96.70;79.60;1.15;315.20
AV01;Nava de Arévalo;2001-11-01;0800;0.00;6.78;95.60;174.10;1.86;9.14
AV01;Nava de Arévalo;2001-11-01;0830;0.00;7.75;91.30;255.00;3.10;20.50
AV01;Nava de Arévalo;2001-11-01;0900;0.00;8.02;84.40;254.60;2.74;22.41
AV01;Nava de Arévalo;2001-11-01;0930;0.00;8.66;78.40;343.80;2.46;31.58
AV01;Nava de Arévalo;2001-11-01;1000;0.00;9.19;76.20;456.20;2.07;23.28
AV01;Nava de Arévalo;2001-11-01;1030;0.00;10.01;72.50;544.20;2.22;5.17
AV01;Nava de Arévalo;2001-11-01;1100;0.00;10.43;70.50;511.00;2.17;7.15
AV01;Nava de Arévalo;2001-11-01;1130;0.00;10.84;69.16;499.30;1.79;9.78
AV01;Nava de Arévalo;2001-11-01;1200;0.00;11.80;66.20;566.40;2.15;23.01
AV01;Nava de Arévalo;2001-11-01;1230;0.00;12.53;65.28;555.20;1.82;33.18
AV01;Nava de Arévalo;2001-11-01;1300;0.00;13.36;63.09;513.10;0.98;75.00
AV01;Nava de Arévalo;2001-11-01;1330;0.00;13.80;62.01;517.30;1.10;9.59
AV01;Nava de Arévalo;2001-11-01;1400;0.00;13.70;63.50;433.70;1.74;9.98
AV01;Nava de Arévalo;2001-11-01;1430;0.00;14.13;61.37;398.50;1.69;25.24
AV01;Nava de Arévalo;2001-11-01;1500;0.00;14.48;60.00;336.70;2.03;39.36
AV01;Nava de Arévalo;2001-11-01;1530;0.00;14.30;60.36;252.60;2.34;28.13
AV01;Nava de Arévalo;2001-11-01;1600;0.00;13.95;60.67;152.60;1.84;30.67
AV01;Nava de Arévalo;2001-11-01;1630;0.00;13.62;59.25;81.10;1.58;28.92
AV01;Nava de Arévalo;2001-11-01;1700;0.00;12.50;66.89;12.40;0.78;67.03
AV01;Nava de Arévalo;2001-11-01;1730;0.00;11.05;73.30;0.58;0.74;108.10
AV01;Nava de Arévalo;2001-11-01;1800;0.00;8.50;80.30;0.00;0.21;187.70
AV01;Nava de Arévalo;2001-11-01;1830;0.00;7.01;85.30;0.00;0.33;245.30
