Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-02-14;0030;0.00;5.30;97.60;0.00;0.76;357.30
AV01;Nava de Arévalo;2001-02-14;0100;0.00;5.45;97.40;0.00;2.82;14.31
AV01;Nava de Arévalo;2001-02-14;0130;0.00;4.01;96.80;0.00;3.50;26.28
AV01;Nava de Arévalo;2001-02-14;0200;0.00;3.78;94.70;0.00;3.10;31.35
AV01;Nava de Arévalo;2001-02-14;0230;0.00;3.54;93.80;0.00;2.77;30.27
AV01;Nava de Arévalo;2001-02-14;0300;0.00;3.16;92.90;0.00;2.25;23.47
AV01;Nava de Arévalo;2001-02-14;0330;0.00;3.11;92.10;0.00;2.05;15.22
AV01;Nava de Arévalo;2001-02-14;0400;0.00;3.07;91.40;0.00;1.51;2.29
AV01;Nava de Arévalo;2001-02-14;0430;0.00;2.85;91.50;0.00;1.40;4.01
AV01;Nava de Arévalo;2001-02-14;0500;0.00;2.82;91.80;0.00;1.26;27.41
AV01;Nava de Arévalo;2001-02-14;0530;0.00;2.67;92.00;0.00;0.70;353.30
AV01;Nava de Arévalo;2001-02-14;0600;0.00;2.83;91.60;0.00;1.24;331.80
AV01;Nava de Arévalo;2001-02-14;0630;0.00;3.03;92.40;0.00;1.26;317.90
AV01;Nava de Arévalo;2001-02-14;0700;0.00;3.07;92.70;0.38;1.47;297.60
AV01;Nava de Arévalo;2001-02-14;0730;0.00;3.25;92.80;5.07;2.10;320.00
AV01;Nava de Arévalo;2001-02-14;0800;0.00;3.47;93.10;12.90;2.66;322.90
AV01;Nava de Arévalo;2001-02-14;0830;0.00;3.56;93.00;27.89;3.05;330.40
AV01;Nava de Arévalo;2001-02-14;0900;0.00;3.65;92.10;43.25;3.93;343.40
AV01;Nava de Arévalo;2001-02-14;0930;0.00;3.70;92.80;81.50;3.96;343.90
AV01;Nava de Arévalo;2001-02-14;1000;0.20;3.87;91.50;121.90;4.09;349.80
AV01;Nava de Arévalo;2001-02-14;1030;0.20;3.85;90.70;129.20;5.00;0.76
AV01;Nava de Arévalo;2001-02-14;1100;0.00;4.23;88.70;151.80;5.33;359.60
AV01;Nava de Arévalo;2001-02-14;1130;0.00;4.54;86.90;127.70;5.14;357.60
AV01;Nava de Arévalo;2001-02-14;1200;0.00;4.45;86.40;122.80;4.38;8.12
AV01;Nava de Arévalo;2001-02-14;1230;0.00;4.81;86.50;128.20;3.65;355.70
AV01;Nava de Arévalo;2001-02-14;1300;0.00;5.12;83.30;141.40;3.23;359.30
AV01;Nava de Arévalo;2001-02-14;1330;0.00;5.30;79.70;115.50;3.01;13.95
AV01;Nava de Arévalo;2001-02-14;1400;0.00;5.53;78.30;130.90;2.69;4.22
AV01;Nava de Arévalo;2001-02-14;1430;0.00;5.83;78.80;72.20;2.40;357.50
AV01;Nava de Arévalo;2001-02-14;1500;0.00;5.70;80.90;61.27;1.84;333.10
AV01;Nava de Arévalo;2001-02-14;1530;0.00;6.08;78.60;73.00;2.00;343.10
AV01;Nava de Arévalo;2001-02-14;1600;0.00;6.01;78.10;33.95;3.02;338.40
AV01;Nava de Arévalo;2001-02-14;1630;0.00;5.43;80.20;38.88;3.73;343.60
AV01;Nava de Arévalo;2001-02-14;1700;0.00;5.28;83.20;26.18;2.86;336.40
AV01;Nava de Arévalo;2001-02-14;1730;0.00;5.43;84.40;6.68;3.00;345.30
AV01;Nava de Arévalo;2001-02-14;1800;0.00;5.36;82.10;0.90;2.85;0.93
AV01;Nava de Arévalo;2001-02-14;1830;0.00;5.05;84.10;0.00;2.22;352.00
AV01;Nava de Arévalo;2001-02-14;1900;0.00;4.54;86.60;0.00;1.45;350.20
AV01;Nava de Arévalo;2001-02-14;1930;0.00;4.63;86.50;0.00;2.73;13.95
AV01;Nava de Arévalo;2001-02-14;2000;0.00;4.52;83.40;0.00;4.13;27.96
AV01;Nava de Arévalo;2001-02-14;2030;0.00;4.20;83.00;0.00;3.56;24.70
AV01;Nava de Arévalo;2001-02-14;2100;0.00;3.49;87.30;0.00;2.16;20.04
AV01;Nava de Arévalo;2001-02-14;2130;0.00;2.87;89.70;0.00;1.87;7.22
AV01;Nava de Arévalo;2001-02-14;2200;0.00;2.62;91.40;0.00;1.54;352.10
AV01;Nava de Arévalo;2001-02-14;2230;0.00;1.75;93.20;0.00;1.80;345.00
AV01;Nava de Arévalo;2001-02-14;2300;0.00;1.38;93.80;0.00;0.80;2.02
AV01;Nava de Arévalo;2001-02-14;2330;0.00;0.81;94.40;0.00;0.54;320.20
AV01;Nava de Arévalo;2001-02-14;2400;0.00;0.72;95.70;0.00;1.20;1.24
BU01;Miranda de Ebro;2001-02-14;0030;0.00;6.51;87.90;0.00;1.55;306.70
BU01;Miranda de Ebro;2001-02-14;0100;0.00;6.29;90.50;0.00;1.93;308.20
BU01;Miranda de Ebro;2001-02-14;0130;0.00;6.20;91.20;0.00;2.22;313.30
BU01;Miranda de Ebro;2001-02-14;0200;0.00;6.20;90.70;0.00;1.91;308.40
BU01;Miranda de Ebro;2001-02-14;0230;0.00;6.47;88.80;0.00;1.11;296.90
BU01;Miranda de Ebro;2001-02-14;0300;0.00;6.56;85.00;0.00;1.95;332.70
BU01;Miranda de Ebro;2001-02-14;0330;0.00;6.64;80.80;0.00;2.46;354.10
BU01;Miranda de Ebro;2001-02-14;0400;0.00;6.31;81.80;0.00;3.18;358.60
BU01;Miranda de Ebro;2001-02-14;0430;0.00;6.29;81.90;0.00;2.45;7.69
BU01;Miranda de Ebro;2001-02-14;0500;0.00;6.20;82.60;0.00;1.20;353.10
BU01;Miranda de Ebro;2001-02-14;0530;0.00;6.13;84.10;0.00;2.12;354.90
BU01;Miranda de Ebro;2001-02-14;0600;0.00;6.13;82.20;0.00;4.21;354.30
BU01;Miranda de Ebro;2001-02-14;0630;0.00;6.13;78.50;0.00;3.61;343.30
BU01;Miranda de Ebro;2001-02-14;0700;0.00;6.09;79.50;0.31;3.21;344.40
BU01;Miranda de Ebro;2001-02-14;0730;0.00;5.84;82.30;3.74;2.87;332.70
BU01;Miranda de Ebro;2001-02-14;0800;0.00;5.69;85.80;18.54;2.59;327.20
BU01;Miranda de Ebro;2001-02-14;0830;0.00;5.62;87.90;40.16;2.66;325.90
BU01;Miranda de Ebro;2001-02-14;0900;0.00;5.82;86.20;46.54;2.56;329.40
BU01;Miranda de Ebro;2001-02-14;0930;0.00;6.12;84.70;35.00;1.92;327.30
BU01;Miranda de Ebro;2001-02-14;1000;0.00;6.31;85.00;39.75;1.46;343.70
BU01;Miranda de Ebro;2001-02-14;1030;0.00;6.36;85.50;49.50;0.96;31.23
BU01;Miranda de Ebro;2001-02-14;1100;0.00;6.70;84.70;141.30;1.23;330.60
BU01;Miranda de Ebro;2001-02-14;1130;0.00;7.97;80.20;268.80;2.82;312.90
BU01;Miranda de Ebro;2001-02-14;1200;0.00;8.16;75.20;92.00;3.83;329.80
BU01;Miranda de Ebro;2001-02-14;1230;0.00;7.69;79.20;129.10;3.59;349.60
BU01;Miranda de Ebro;2001-02-14;1300;0.00;7.94;79.10;184.90;3.52;352.40
BU01;Miranda de Ebro;2001-02-14;1330;0.00;7.89;77.70;108.90;3.51;353.40
BU01;Miranda de Ebro;2001-02-14;1400;0.00;7.57;78.20;71.00;3.61;355.00
BU01;Miranda de Ebro;2001-02-14;1430;0.20;7.24;81.20;61.40;2.51;349.30
BU01;Miranda de Ebro;2001-02-14;1500;0.20;6.93;83.40;67.24;2.31;346.30
BU01;Miranda de Ebro;2001-02-14;1530;0.00;7.25;82.50;66.67;3.14;332.00
BU01;Miranda de Ebro;2001-02-14;1600;0.00;7.38;77.80;41.28;2.28;345.50
BU01;Miranda de Ebro;2001-02-14;1630;0.00;7.36;79.30;41.80;2.56;324.90
BU01;Miranda de Ebro;2001-02-14;1700;0.00;7.07;79.90;8.23;3.01;331.60
BU01;Miranda de Ebro;2001-02-14;1730;0.00;6.96;79.60;3.03;1.73;326.60
BU01;Miranda de Ebro;2001-02-14;1800;0.00;6.76;81.40;0.30;2.10;330.00
BU01;Miranda de Ebro;2001-02-14;1830;0.00;6.58;83.20;0.00;1.66;316.50
BU01;Miranda de Ebro;2001-02-14;1900;0.00;6.60;82.90;0.00;1.78;343.90
BU01;Miranda de Ebro;2001-02-14;1930;0.00;6.47;85.50;0.00;1.35;315.00
BU01;Miranda de Ebro;2001-02-14;2000;0.00;6.49;85.60;0.00;0.77;322.10
BU01;Miranda de Ebro;2001-02-14;2030;0.00;6.76;81.50;0.00;1.79;355.80
BU01;Miranda de Ebro;2001-02-14;2100;0.00;6.91;80.20;0.00;2.00;354.60
BU01;Miranda de Ebro;2001-02-14;2130;0.00;6.64;83.80;0.00;1.97;332.50
BU01;Miranda de Ebro;2001-02-14;2200;0.00;6.47;85.50;0.00;2.42;328.30
BU01;Miranda de Ebro;2001-02-14;2230;0.00;6.58;84.80;0.00;2.02;340.80
BU01;Miranda de Ebro;2001-02-14;2300;0.00;6.71;83.90;0.00;2.13;5.41
BU01;Miranda de Ebro;2001-02-14;2330;0.00;6.53;87.60;0.00;0.87;26.64
BU01;Miranda de Ebro;2001-02-14;2400;0.00;6.51;85.90;0.00;0.52;92.20
BU03;Lerma;2001-02-14;0030;0.00;4.17;84.70;0.00;1.52;358.00
BU03;Lerma;2001-02-14;0100;0.00;4.19;84.60;0.00;1.39;340.60
BU03;Lerma;2001-02-14;0130;0.00;4.28;84.70;0.00;1.89;345.90
BU03;Lerma;2001-02-14;0200;0.00;4.23;85.70;0.00;1.66;348.30
BU03;Lerma;2001-02-14;0230;0.00;3.92;89.10;0.00;1.52;344.70
BU03;Lerma;2001-02-14;0300;0.20;3.90;91.20;0.00;1.47;353.30
BU03;Lerma;2001-02-14;0330;0.00;3.97;90.60;0.00;1.46;354.50
BU03;Lerma;2001-02-14;0400;0.00;3.90;89.30;0.00;1.52;347.00
BU03;Lerma;2001-02-14;0430;0.00;3.75;88.40;0.00;2.07;348.80
BU03;Lerma;2001-02-14;0500;0.00;3.88;87.60;0.00;2.39;349.60
BU03;Lerma;2001-02-14;0530;0.00;4.07;86.30;0.00;2.46;347.90
BU03;Lerma;2001-02-14;0600;0.00;4.13;85.70;0.00;2.82;347.50
BU03;Lerma;2001-02-14;0630;0.00;4.02;85.40;0.00;2.11;357.10
BU03;Lerma;2001-02-14;0700;0.00;3.95;84.50;0.09;2.20;6.98
BU03;Lerma;2001-02-14;0730;0.00;3.95;84.60;3.21;3.02;357.50
BU03;Lerma;2001-02-14;0800;0.00;3.88;84.80;6.70;2.74;2.85
BU03;Lerma;2001-02-14;0830;0.00;3.75;85.20;12.93;2.60;3.60
BU03;Lerma;2001-02-14;0900;0.00;3.66;85.40;29.35;2.49;3.65
BU03;Lerma;2001-02-14;0930;0.00;3.97;84.80;75.00;2.19;11.68
BU03;Lerma;2001-02-14;1000;0.00;4.51;81.60;164.60;2.62;12.83
BU03;Lerma;2001-02-14;1030;0.00;5.15;79.30;190.50;2.45;12.05
BU03;Lerma;2001-02-14;1100;0.00;5.37;78.50;185.10;2.57;6.71
BU03;Lerma;2001-02-14;1130;0.00;5.43;77.60;114.80;2.34;5.14
BU03;Lerma;2001-02-14;1200;0.00;6.07;75.50;501.00;2.47;358.40
BU03;Lerma;2001-02-14;1230;0.00;7.00;72.40;234.50;1.87;12.81
BU03;Lerma;2001-02-14;1300;0.00;6.38;74.80;198.00;2.61;355.60
BU03;Lerma;2001-02-14;1330;0.00;6.27;74.30;174.70;2.62;357.50
BU03;Lerma;2001-02-14;1400;0.00;5.79;77.60;112.40;2.44;350.20
BU03;Lerma;2001-02-14;1430;0.00;5.96;77.10;160.90;2.55;0.40
BU03;Lerma;2001-02-14;1500;0.00;5.76;80.00;168.10;2.55;11.15
BU03;Lerma;2001-02-14;1530;0.00;5.43;84.50;148.80;2.99;354.90
BU03;Lerma;2001-02-14;1600;0.00;5.14;83.90;68.18;2.94;356.50
BU03;Lerma;2001-02-14;1630;0.00;4.54;85.10;48.02;2.32;355.20
BU03;Lerma;2001-02-14;1700;0.00;4.63;83.60;17.53;2.52;354.10
BU03;Lerma;2001-02-14;1730;0.00;4.45;84.50;4.85;2.18;358.60
BU03;Lerma;2001-02-14;1800;0.00;4.19;85.20;0.45;2.08;355.60
BU03;Lerma;2001-02-14;1830;0.00;4.30;83.90;0.00;2.22;354.40
BU03;Lerma;2001-02-14;1900;0.00;3.70;84.80;0.00;2.14;351.50
BU03;Lerma;2001-02-14;1930;0.00;3.35;86.20;0.00;1.50;6.29
BU03;Lerma;2001-02-14;2000;0.00;3.44;87.00;0.00;1.00;23.63
BU03;Lerma;2001-02-14;2030;0.00;3.56;87.10;0.00;1.70;5.30
BU03;Lerma;2001-02-14;2100;0.00;3.87;86.20;0.00;1.95;6.48
BU03;Lerma;2001-02-14;2130;0.00;4.13;84.30;0.00;1.37;19.65
BU03;Lerma;2001-02-14;2200;0.00;4.22;82.90;0.00;0.90;0.06
BU03;Lerma;2001-02-14;2230;0.00;4.28;83.50;0.00;1.33;354.80
BU03;Lerma;2001-02-14;2300;0.00;4.33;83.50;0.00;1.53;356.40
BU03;Lerma;2001-02-14;2330;0.00;4.12;83.50;0.00;1.74;347.60
BU03;Lerma;2001-02-14;2400;0.00;3.61;84.10;0.00;1.45;352.80
BU04;Tardajos;2001-02-14;0030;0.00;3.93;90.80;0.00;2.89;60.60
BU04;Tardajos;2001-02-14;0100;0.00;3.93;90.60;0.00;2.55;59.24
BU04;Tardajos;2001-02-14;0130;0.00;3.89;92.80;0.00;2.22;42.29
BU04;Tardajos;2001-02-14;0200;0.20;4.00;92.60;0.00;2.33;45.20
BU04;Tardajos;2001-02-14;0230;0.40;4.07;93.60;0.00;1.95;70.70
BU04;Tardajos;2001-02-14;0300;0.40;3.89;94.20;0.00;2.75;55.40
