Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-07-06;0030;1.40;11.52;92.10;0.00;2.36;240.80
AV01;Nava de Arévalo;2001-07-06;0100;1.00;11.52;93.10;0.00;2.30;234.80
AV01;Nava de Arévalo;2001-07-06;0130;1.00;11.57;93.40;0.00;2.32;237.50
AV01;Nava de Arévalo;2001-07-06;0200;1.00;11.41;92.90;0.00;2.65;224.70
AV01;Nava de Arévalo;2001-07-06;0230;1.40;11.39;93.20;0.00;2.61;213.30
AV01;Nava de Arévalo;2001-07-06;0300;0.80;11.43;92.90;0.00;3.70;223.30
AV01;Nava de Arévalo;2001-07-06;0330;3.60;11.07;93.00;0.00;3.57;233.80
AV01;Nava de Arévalo;2001-07-06;0400;1.20;10.90;93.60;0.00;4.70;236.70
AV01;Nava de Arévalo;2001-07-06;0430;0.60;10.54;93.10;0.18;5.39;249.90
AV01;Nava de Arévalo;2001-07-06;0500;1.00;10.16;93.50;3.39;4.79;249.30
AV01;Nava de Arévalo;2001-07-06;0530;0.40;10.07;93.30;11.95;4.25;244.80
AV01;Nava de Arévalo;2001-07-06;0600;0.20;10.23;92.60;28.48;3.56;242.10
AV01;Nava de Arévalo;2001-07-06;0630;0.00;10.81;91.00;58.75;4.61;240.20
AV01;Nava de Arévalo;2001-07-06;0700;0.00;11.10;89.70;80.10;5.06;239.90
AV01;Nava de Arévalo;2001-07-06;0730;0.00;11.30;87.90;112.40;5.12;240.50
AV01;Nava de Arévalo;2001-07-06;0800;0.00;11.59;86.00;235.30;5.24;238.10
AV01;Nava de Arévalo;2001-07-06;0830;0.00;12.06;83.80;213.10;5.13;249.90
AV01;Nava de Arévalo;2001-07-06;0900;0.00;12.55;81.60;383.10;4.63;253.40
AV01;Nava de Arévalo;2001-07-06;0930;0.00;13.83;76.10;548.70;4.13;264.20
AV01;Nava de Arévalo;2001-07-06;1000;0.00;14.45;71.10;492.50;3.94;247.40
AV01;Nava de Arévalo;2001-07-06;1030;0.00;15.30;70.10;834.00;4.55;253.00
AV01;Nava de Arévalo;2001-07-06;1100;0.00;16.32;64.25;800.00;4.67;240.60
AV01;Nava de Arévalo;2001-07-06;1130;0.00;16.70;59.34;874.00;4.57;244.20
AV01;Nava de Arévalo;2001-07-06;1200;0.00;17.96;51.28;939.00;4.64;257.80
AV01;Nava de Arévalo;2001-07-06;1230;0.00;18.34;47.89;829.00;4.59;262.20
AV01;Nava de Arévalo;2001-07-06;1300;0.00;19.04;46.64;795.00;4.73;268.50
AV01;Nava de Arévalo;2001-07-06;1330;0.00;18.58;43.52;712.00;5.06;260.60
AV01;Nava de Arévalo;2001-07-06;1400;0.00;19.55;42.87;808.00;4.43;266.80
AV01;Nava de Arévalo;2001-07-06;1430;0.00;19.57;42.42;641.60;4.37;254.70
AV01;Nava de Arévalo;2001-07-06;1500;0.00;19.55;42.21;580.30;4.59;248.80
AV01;Nava de Arévalo;2001-07-06;1530;0.00;19.87;39.31;626.70;4.70;248.30
AV01;Nava de Arévalo;2001-07-06;1600;0.00;19.95;39.07;523.40;4.72;237.20
AV01;Nava de Arévalo;2001-07-06;1630;0.00;19.67;38.67;421.40;4.75;245.30
AV01;Nava de Arévalo;2001-07-06;1700;0.00;19.37;39.02;166.00;5.10;247.20
AV01;Nava de Arévalo;2001-07-06;1730;0.00;19.00;41.96;213.50;4.93;247.40
AV01;Nava de Arévalo;2001-07-06;1800;0.00;19.73;37.41;289.60;5.63;257.90
AV01;Nava de Arévalo;2001-07-06;1830;0.00;19.30;40.65;182.30;5.23;255.00
AV01;Nava de Arévalo;2001-07-06;1900;0.00;18.48;45.06;86.40;4.09;252.60
AV01;Nava de Arévalo;2001-07-06;1930;0.00;16.79;54.46;22.28;3.05;247.30
AV01;Nava de Arévalo;2001-07-06;2000;0.00;15.70;61.53;2.32;2.31;252.10
AV01;Nava de Arévalo;2001-07-06;2030;0.00;13.99;71.30;0.00;1.11;269.60
AV01;Nava de Arévalo;2001-07-06;2100;0.00;12.98;77.10;0.00;0.10;339.00
AV01;Nava de Arévalo;2001-07-06;2130;0.00;12.49;79.90;0.00;0.85;223.20
AV01;Nava de Arévalo;2001-07-06;2200;0.00;11.97;83.20;0.00;1.66;227.00
AV01;Nava de Arévalo;2001-07-06;2230;0.00;12.42;81.10;0.00;2.01;237.40
AV01;Nava de Arévalo;2001-07-06;2300;0.00;11.63;84.60;0.00;1.24;201.80
AV01;Nava de Arévalo;2001-07-06;2330;0.00;11.01;88.20;0.00;1.41;200.50
AV01;Nava de Arévalo;2001-07-06;2400;0.00;10.81;88.50;0.00;1.24;200.20
BU01;Miranda de Ebro;2001-07-06;0030;0.00;13.42;91.10;0.00;0.33;285.20
BU01;Miranda de Ebro;2001-07-06;0100;0.00;13.29;91.70;0.00;0.62;169.60
BU01;Miranda de Ebro;2001-07-06;0130;0.20;13.18;92.50;0.00;0.34;218.10
BU01;Miranda de Ebro;2001-07-06;0200;0.40;13.31;92.70;0.00;0.17;288.10
BU01;Miranda de Ebro;2001-07-06;0230;0.40;13.15;92.80;0.00;0.42;298.50
BU01;Miranda de Ebro;2001-07-06;0300;0.20;13.13;92.90;0.00;0.40;21.19
BU01;Miranda de Ebro;2001-07-06;0330;0.80;13.20;93.30;0.00;0.48;237.50
BU01;Miranda de Ebro;2001-07-06;0400;1.80;13.11;93.40;0.00;0.83;230.00
BU01;Miranda de Ebro;2001-07-06;0430;2.40;12.82;93.70;0.13;0.46;242.40
BU01;Miranda de Ebro;2001-07-06;0500;1.00;12.91;93.90;2.89;0.50;307.50
BU01;Miranda de Ebro;2001-07-06;0530;0.40;13.09;94.10;10.34;0.50;302.50
BU01;Miranda de Ebro;2001-07-06;0600;0.20;12.93;94.00;28.48;0.55;314.20
BU01;Miranda de Ebro;2001-07-06;0630;0.40;13.18;94.20;52.86;0.73;318.00
BU01;Miranda de Ebro;2001-07-06;0700;0.20;13.47;93.90;81.40;1.00;330.60
BU01;Miranda de Ebro;2001-07-06;0730;0.20;13.60;93.40;93.70;0.85;304.30
BU01;Miranda de Ebro;2001-07-06;0800;0.00;13.80;91.90;106.70;0.82;295.10
BU01;Miranda de Ebro;2001-07-06;0830;0.20;14.14;90.50;125.00;0.81;294.00
BU01;Miranda de Ebro;2001-07-06;0900;0.00;14.46;89.20;167.00;0.86;273.80
BU01;Miranda de Ebro;2001-07-06;0930;0.00;14.62;85.90;97.80;1.63;285.20
BU01;Miranda de Ebro;2001-07-06;1000;0.00;14.30;86.40;177.50;1.42;280.60
BU01;Miranda de Ebro;2001-07-06;1030;0.00;15.07;80.20;123.40;1.69;268.00
BU01;Miranda de Ebro;2001-07-06;1100;0.00;14.56;81.80;154.90;2.02;273.00
BU01;Miranda de Ebro;2001-07-06;1130;0.00;14.54;81.30;227.50;2.25;257.90
BU01;Miranda de Ebro;2001-07-06;1200;0.00;15.49;76.40;234.70;1.32;273.20
BU01;Miranda de Ebro;2001-07-06;1230;0.00;16.10;75.00;273.70;1.69;259.20
BU01;Miranda de Ebro;2001-07-06;1300;0.00;16.35;70.40;379.40;1.46;259.20
BU01;Miranda de Ebro;2001-07-06;1330;0.00;17.60;64.00;466.00;1.35;311.40
BU01;Miranda de Ebro;2001-07-06;1400;0.00;18.37;58.92;438.40;1.69;288.00
BU01;Miranda de Ebro;2001-07-06;1430;0.00;18.27;59.36;624.00;2.92;328.70
BU01;Miranda de Ebro;2001-07-06;1500;0.00;18.72;55.99;244.30;2.57;324.60
BU01;Miranda de Ebro;2001-07-06;1530;0.00;17.90;59.90;163.40;2.73;331.70
BU01;Miranda de Ebro;2001-07-06;1600;0.00;17.72;61.62;166.80;2.11;340.20
BU01;Miranda de Ebro;2001-07-06;1630;0.00;18.11;58.40;238.50;1.56;331.40
BU01;Miranda de Ebro;2001-07-06;1700;0.00;18.39;56.47;225.90;1.10;341.00
BU01;Miranda de Ebro;2001-07-06;1730;0.00;18.86;54.54;275.90;0.79;53.64
BU01;Miranda de Ebro;2001-07-06;1800;0.00;18.63;55.96;117.30;0.71;136.90
BU01;Miranda de Ebro;2001-07-06;1830;0.00;17.78;63.26;86.90;1.94;71.00
BU01;Miranda de Ebro;2001-07-06;1900;0.00;16.42;69.05;24.65;1.62;74.60
BU01;Miranda de Ebro;2001-07-06;1930;0.00;15.96;70.30;17.91;1.17;81.90
BU01;Miranda de Ebro;2001-07-06;2000;0.00;15.87;70.90;1.42;0.80;122.80
BU01;Miranda de Ebro;2001-07-06;2030;0.00;15.45;73.80;0.00;0.44;114.90
BU01;Miranda de Ebro;2001-07-06;2100;0.00;14.71;79.10;0.00;0.70;346.20
BU01;Miranda de Ebro;2001-07-06;2130;0.00;13.71;84.10;0.00;0.87;325.80
BU01;Miranda de Ebro;2001-07-06;2200;0.00;13.22;86.90;0.00;0.41;207.80
BU01;Miranda de Ebro;2001-07-06;2230;0.00;13.29;87.60;0.00;0.61;208.40
BU01;Miranda de Ebro;2001-07-06;2300;0.00;12.46;88.50;0.00;1.30;173.80
BU01;Miranda de Ebro;2001-07-06;2330;0.00;12.22;87.90;0.00;0.40;152.20
BU01;Miranda de Ebro;2001-07-06;2400;0.00;11.71;89.60;0.00;0.69;313.10
BU02;Valle de Valdelucio;2001-07-06;0030;0.00;10.42;90.70;0.00;0.36;33.26
BU02;Valle de Valdelucio;2001-07-06;0100;0.00;10.35;90.90;0.00;0.37;28.13
BU02;Valle de Valdelucio;2001-07-06;0130;0.20;10.48;91.00;0.00;0.44;258.90
BU02;Valle de Valdelucio;2001-07-06;0200;0.00;10.39;91.60;0.00;0.02;229.80
BU02;Valle de Valdelucio;2001-07-06;0230;0.00;10.48;92.00;0.00;0.14;233.90
BU02;Valle de Valdelucio;2001-07-06;0300;0.20;10.57;92.30;0.00;0.47;272.60
BU02;Valle de Valdelucio;2001-07-06;0330;0.40;10.02;90.10;0.00;3.64;29.54
BU02;Valle de Valdelucio;2001-07-06;0400;0.20;9.82;87.60;0.00;4.50;26.34
BU02;Valle de Valdelucio;2001-07-06;0430;0.00;9.65;87.70;0.56;4.25;22.65
BU02;Valle de Valdelucio;2001-07-06;0500;0.00;9.65;86.20;3.96;3.88;16.80
BU02;Valle de Valdelucio;2001-07-06;0530;0.00;9.76;84.50;7.35;2.03;3.04
BU02;Valle de Valdelucio;2001-07-06;0600;0.00;9.85;84.30;41.55;2.55;2.52
BU02;Valle de Valdelucio;2001-07-06;0630;0.00;10.01;80.60;53.69;3.02;6.57
BU02;Valle de Valdelucio;2001-07-06;0700;0.00;10.26;75.90;69.48;3.31;355.70
BU02;Valle de Valdelucio;2001-07-06;0730;0.00;10.67;72.40;105.80;3.70;358.40
BU02;Valle de Valdelucio;2001-07-06;0800;0.00;11.09;73.70;194.10;3.85;2.56
BU02;Valle de Valdelucio;2001-07-06;0830;0.00;11.31;72.80;176.60;3.65;20.19
BU02;Valle de Valdelucio;2001-07-06;0900;0.00;11.31;73.30;159.90;3.41;19.06
BU02;Valle de Valdelucio;2001-07-06;0930;0.00;11.58;73.90;343.00;1.84;1.36
BU02;Valle de Valdelucio;2001-07-06;1000;0.00;12.07;75.00;269.10;2.42;2.55
BU02;Valle de Valdelucio;2001-07-06;1030;0.00;12.66;71.80;335.40;2.44;34.14
BU02;Valle de Valdelucio;2001-07-06;1100;0.00;13.06;70.60;350.20;2.58;28.37
BU02;Valle de Valdelucio;2001-07-06;1130;0.00;13.62;66.92;320.00;2.70;28.31
BU02;Valle de Valdelucio;2001-07-06;1200;0.00;13.44;65.65;355.70;2.63;32.84
BU02;Valle de Valdelucio;2001-07-06;1230;0.00;13.53;65.79;209.50;1.55;35.73
BU02;Valle de Valdelucio;2001-07-06;1300;0.00;13.00;72.30;98.20;1.43;71.10
BU02;Valle de Valdelucio;2001-07-06;1330;0.60;12.19;79.50;138.50;1.62;68.45
BU02;Valle de Valdelucio;2001-07-06;1400;0.00;12.41;83.80;381.40;1.77;102.80
BU02;Valle de Valdelucio;2001-07-06;1430;0.00;13.10;79.40;215.10;1.77;106.40
BU02;Valle de Valdelucio;2001-07-06;1500;0.00;13.37;74.70;287.70;1.59;149.00
BU02;Valle de Valdelucio;2001-07-06;1530;0.00;13.39;72.80;374.80;2.45;193.80
BU02;Valle de Valdelucio;2001-07-06;1600;0.00;13.90;65.13;580.60;1.75;244.80
BU02;Valle de Valdelucio;2001-07-06;1630;0.20;14.23;66.80;540.80;4.06;2.86
BU02;Valle de Valdelucio;2001-07-06;1700;0.00;13.51;71.00;429.00;3.96;31.94
BU02;Valle de Valdelucio;2001-07-06;1730;0.00;13.64;70.70;321.80;3.16;26.30
BU02;Valle de Valdelucio;2001-07-06;1800;0.00;13.08;72.30;98.20;2.83;31.29
BU02;Valle de Valdelucio;2001-07-06;1830;0.00;12.66;76.50;50.88;3.07;34.60
BU02;Valle de Valdelucio;2001-07-06;1900;0.00;12.51;78.50;78.60;3.10;36.79
BU02;Valle de Valdelucio;2001-07-06;1930;0.00;12.19;78.10;29.10;1.70;63.67
BU02;Valle de Valdelucio;2001-07-06;2000;0.00;11.07;85.20;3.28;1.09;80.50
BU02;Valle de Valdelucio;2001-07-06;2030;0.00;10.76;84.70;0.05;1.65;39.91
BU02;Valle de Valdelucio;2001-07-06;2100;0.00;11.38;82.70;0.00;2.55;33.44
BU02;Valle de Valdelucio;2001-07-06;2130;0.00;10.88;85.40;0.00;0.61;65.64
BU02;Valle de Valdelucio;2001-07-06;2200;0.00;10.38;87.10;0.00;0.49;6.60
BU02;Valle de Valdelucio;2001-07-06;2230;0.00;9.80;86.80;0.00;0.96;24.24
BU02;Valle de Valdelucio;2001-07-06;2300;0.00;9.63;88.30;0.00;1.28;41.65
BU02;Valle de Valdelucio;2001-07-06;2330;0.00;9.69;87.40;0.00;0.91;342.20
BU02;Valle de Valdelucio;2001-07-06;2400;0.00;9.04;88.30;0.00;0.27;342.70
BU03;Lerma;2001-07-06;0030;0.60;11.91;90.50;0.00;1.18;108.00
BU03;Lerma;2001-07-06;0100;0.80;11.58;91.50;0.00;1.09;104.50
BU03;Lerma;2001-07-06;0130;1.20;11.53;92.30;0.00;1.03;103.90
BU03;Lerma;2001-07-06;0200;0.80;11.55;93.10;0.00;1.04;103.10
BU03;Lerma;2001-07-06;0230;0.80;11.42;93.30;0.00;1.05;106.50
