Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-12-19;0030;0.00;1.39;77.90;0.00;3.37;155.80
AV01;Nava de Arévalo;2001-12-19;0100;0.00;0.42;78.90;0.00;1.85;114.50
AV01;Nava de Arévalo;2001-12-19;0130;0.00;-0.21;81.30;0.00;2.28;130.90
AV01;Nava de Arévalo;2001-12-19;0200;0.00;0.18;79.80;0.00;2.00;117.30
AV01;Nava de Arévalo;2001-12-19;0230;0.00;-1.78;84.40;0.00;1.82;101.10
AV01;Nava de Arévalo;2001-12-19;0300;0.00;-1.68;84.50;0.00;1.73;123.50
AV01;Nava de Arévalo;2001-12-19;0330;0.00;-0.77;81.30;0.00;1.69;119.10
AV01;Nava de Arévalo;2001-12-19;0400;0.00;-0.95;82.30;0.00;1.46;138.70
AV01;Nava de Arévalo;2001-12-19;0430;0.00;0.37;78.30;0.00;1.66;125.90
AV01;Nava de Arévalo;2001-12-19;0500;0.00;1.04;75.10;0.00;1.83;113.90
AV01;Nava de Arévalo;2001-12-19;0530;0.00;1.23;74.40;0.00;2.12;97.60
AV01;Nava de Arévalo;2001-12-19;0600;0.00;0.74;75.50;0.00;1.72;124.90
AV01;Nava de Arévalo;2001-12-19;0630;0.00;0.26;76.30;0.00;1.79;135.90
AV01;Nava de Arévalo;2001-12-19;0700;0.00;-3.04;85.70;0.05;1.85;195.80
AV01;Nava de Arévalo;2001-12-19;0730;0.00;-0.19;86.30;2.04;1.73;164.80
AV01;Nava de Arévalo;2001-12-19;0800;0.00;0.53;83.40;10.16;1.73;126.70
AV01;Nava de Arévalo;2001-12-19;0830;0.00;1.68;77.80;31.73;1.58;131.90
AV01;Nava de Arévalo;2001-12-19;0900;0.00;2.17;76.50;47.27;1.44;116.70
AV01;Nava de Arévalo;2001-12-19;0930;0.00;2.99;74.00;90.20;1.68;116.70
AV01;Nava de Arévalo;2001-12-19;1000;0.00;3.63;73.50;140.30;1.52;123.80
AV01;Nava de Arévalo;2001-12-19;1030;0.00;4.48;70.40;160.40;2.09;130.90
AV01;Nava de Arévalo;2001-12-19;1100;0.00;5.12;66.47;101.70;4.53;144.20
AV01;Nava de Arévalo;2001-12-19;1130;0.00;4.92;68.45;103.50;3.85;134.30
AV01;Nava de Arévalo;2001-12-19;1200;0.00;5.34;66.69;156.10;3.98;145.30
AV01;Nava de Arévalo;2001-12-19;1230;0.00;5.41;64.83;150.00;3.69;147.80
AV01;Nava de Arévalo;2001-12-19;1300;0.00;5.79;63.14;206.10;4.49;145.90
AV01;Nava de Arévalo;2001-12-19;1330;0.00;6.29;61.49;337.20;5.11;143.50
AV01;Nava de Arévalo;2001-12-19;1400;0.00;6.60;60.50;386.00;4.80;135.90
