Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-01-10;0100;0.00;5.49;88.30;0.00;2.46;220.70
AV01;Nava de Arévalo;2001-01-10;0200;0.00;5.40;91.00;0.00;1.19;173.60
AV01;Nava de Arévalo;2001-01-10;0300;0.00;5.22;88.50;0.00;1.99;134.80
AV01;Nava de Arévalo;2001-01-10;0400;0.00;5.08;85.80;0.00;1.56;149.40
AV01;Nava de Arévalo;2001-01-10;0500;0.00;6.11;81.40;0.00;2.37;140.70
AV01;Nava de Arévalo;2001-01-10;0600;0.00;6.97;79.50;0.00;3.13;154.50
AV01;Nava de Arévalo;2001-01-10;0700;0.00;6.62;79.30;0.00;3.71;133.70
AV01;Nava de Arévalo;2001-01-10;0800;0.00;6.81;83.90;2.18;4.75;138.20
AV01;Nava de Arévalo;2001-01-10;0900;0.00;7.27;82.60;24.80;3.78;150.10
AV01;Nava de Arévalo;2001-01-10;1000;0.40;8.03;79.70;18.86;2.66;154.50
AV01;Nava de Arévalo;2001-01-10;1100;0.20;8.32;83.90;119.80;3.14;119.10
AV01;Nava de Arévalo;2001-01-10;1200;0.00;9.75;76.50;197.70;6.24;133.40
AV01;Nava de Arévalo;2001-01-10;1300;0.00;11.57;70.60;378.40;6.83;140.70
AV01;Nava de Arévalo;2001-01-10;1400;0.00;11.69;70.50;355.30;6.90;131.40
AV01;Nava de Arévalo;2001-01-10;1500;0.20;10.57;76.50;110.90;7.55;139.80
AV01;Nava de Arévalo;2001-01-10;1600;0.00;9.80;81.60;55.12;5.44;145.40
AV01;Nava de Arévalo;2001-01-10;1700;0.00;9.71;79.20;47.48;5.09;140.60
AV01;Nava de Arévalo;2001-01-10;1800;0.00;9.35;78.00;1.07;4.98;142.80
AV01;Nava de Arévalo;2001-01-10;1900;0.00;9.65;78.10;0.00;5.61;146.20
AV01;Nava de Arévalo;2001-01-10;2000;0.00;9.42;78.10;0.00;4.72;138.40
AV01;Nava de Arévalo;2001-01-10;2100;0.00;9.46;81.70;0.00;5.31;137.70
AV01;Nava de Arévalo;2001-01-10;2200;0.80;9.41;84.10;0.00;3.02;147.90
AV01;Nava de Arévalo;2001-01-10;2300;2.00;8.62;91.20;0.00;3.09;143.80
