Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-03-09;0030;0.00;8.45;89.40;0.00;5.75;210.10
AV01;Nava de Arévalo;2001-03-09;0100;0.00;8.72;89.60;0.00;5.77;215.50
AV01;Nava de Arévalo;2001-03-09;0130;0.00;8.92;89.90;0.00;4.93;217.00
AV01;Nava de Arévalo;2001-03-09;0200;0.00;8.78;90.90;0.00;5.37;216.30
AV01;Nava de Arévalo;2001-03-09;0230;0.00;8.78;91.20;0.00;5.90;221.90
AV01;Nava de Arévalo;2001-03-09;0300;0.00;8.74;92.10;0.00;5.22;221.10
AV01;Nava de Arévalo;2001-03-09;0330;0.00;8.63;92.70;0.00;5.00;218.10
AV01;Nava de Arévalo;2001-03-09;0400;0.00;8.56;93.20;0.00;5.12;216.80
AV01;Nava de Arévalo;2001-03-09;0430;0.00;8.72;92.70;0.00;5.49;209.50
AV01;Nava de Arévalo;2001-03-09;0500;0.00;8.72;91.70;0.00;5.04;218.50
AV01;Nava de Arévalo;2001-03-09;0530;0.00;8.67;91.60;0.00;3.83;217.20
AV01;Nava de Arévalo;2001-03-09;0600;0.00;8.69;91.10;0.00;3.59;207.90
AV01;Nava de Arévalo;2001-03-09;0630;0.00;8.81;89.60;1.39;3.77;210.20
AV01;Nava de Arévalo;2001-03-09;0700;0.00;8.94;88.30;19.52;3.89;214.80
AV01;Nava de Arévalo;2001-03-09;0730;0.00;9.10;87.80;38.85;3.94;217.70
AV01;Nava de Arévalo;2001-03-09;0800;0.00;9.14;88.00;52.00;4.35;231.50
AV01;Nava de Arévalo;2001-03-09;0830;0.00;9.21;88.00;65.39;5.45;230.60
AV01;Nava de Arévalo;2001-03-09;0900;0.00;9.43;87.10;152.80;6.37;225.70
AV01;Nava de Arévalo;2001-03-09;0930;0.00;9.74;85.90;108.50;5.56;222.20
AV01;Nava de Arévalo;2001-03-09;1000;0.00;9.74;85.60;79.20;5.25;220.80
AV01;Nava de Arévalo;2001-03-09;1030;0.00;9.66;87.20;185.60;5.90;222.90
AV01;Nava de Arévalo;2001-03-09;1100;0.00;10.30;83.90;259.70;6.21;219.90
AV01;Nava de Arévalo;2001-03-09;1130;0.00;10.21;83.60;227.10;6.06;226.10
AV01;Nava de Arévalo;2001-03-09;1200;0.40;10.01;86.60;185.00;5.48;229.50
AV01;Nava de Arévalo;2001-03-09;1230;0.00;10.59;84.50;141.70;5.59;230.30
AV01;Nava de Arévalo;2001-03-09;1300;0.00;11.03;84.00;114.00;5.67;230.50
AV01;Nava de Arévalo;2001-03-09;1330;0.00;11.01;85.20;94.00;5.76;233.70
AV01;Nava de Arévalo;2001-03-09;1400;0.00;11.16;83.80;125.70;5.49;229.30
AV01;Nava de Arévalo;2001-03-09;1430;0.00;11.65;82.80;142.10;6.08;230.60
AV01;Nava de Arévalo;2001-03-09;1500;0.00;11.90;81.40;276.30;6.82;228.70
AV01;Nava de Arévalo;2001-03-09;1530;0.00;11.94;81.40;193.40;7.12;225.60
AV01;Nava de Arévalo;2001-03-09;1600;0.00;11.65;83.50;136.50;6.12;226.70
AV01;Nava de Arévalo;2001-03-09;1630;0.00;11.72;83.10;107.60;6.00;226.90
AV01;Nava de Arévalo;2001-03-09;1700;0.00;11.74;82.20;60.51;6.73;225.00
AV01;Nava de Arévalo;2001-03-09;1730;0.00;11.54;83.50;20.64;5.86;222.20
AV01;Nava de Arévalo;2001-03-09;1800;0.00;11.18;85.20;8.79;4.98;221.10
AV01;Nava de Arévalo;2001-03-09;1830;0.00;10.78;86.80;0.42;4.74;217.30
AV01;Nava de Arévalo;2001-03-09;1900;0.00;10.83;87.10;0.00;4.39;217.50
AV01;Nava de Arévalo;2001-03-09;1930;0.00;10.93;86.60;0.00;2.81;206.60
AV01;Nava de Arévalo;2001-03-09;2000;0.00;10.92;86.30;0.00;2.97;207.00
AV01;Nava de Arévalo;2001-03-09;2030;0.00;11.00;86.00;0.00;4.35;215.00
AV01;Nava de Arévalo;2001-03-09;2100;0.00;11.03;85.30;0.00;4.75;209.40
AV01;Nava de Arévalo;2001-03-09;2130;0.00;10.90;86.70;0.00;4.55;210.80
AV01;Nava de Arévalo;2001-03-09;2200;0.00;11.12;86.60;0.00;5.76;217.50
AV01;Nava de Arévalo;2001-03-09;2230;0.00;11.54;85.00;0.00;6.48;220.20
AV01;Nava de Arévalo;2001-03-09;2300;0.00;11.40;85.10;0.00;6.94;221.70
AV01;Nava de Arévalo;2001-03-09;2330;0.00;11.29;86.20;0.00;6.58;227.40
AV01;Nava de Arévalo;2001-03-09;2400;0.00;11.29;86.10;0.00;6.39;225.10
BU01;Miranda de Ebro;2001-03-09;0030;0.00;11.18;81.10;0.00;3.88;239.90
BU01;Miranda de Ebro;2001-03-09;0100;0.00;11.58;79.10;0.00;3.73;239.20
BU01;Miranda de Ebro;2001-03-09;0130;0.00;11.51;78.90;0.00;4.11;235.70
BU01;Miranda de Ebro;2001-03-09;0200;0.00;11.37;78.80;0.00;3.07;253.30
BU01;Miranda de Ebro;2001-03-09;0230;0.00;11.46;79.10;0.00;2.33;264.50
BU01;Miranda de Ebro;2001-03-09;0300;0.00;10.99;81.60;0.00;1.27;240.30
BU01;Miranda de Ebro;2001-03-09;0330;0.00;10.48;84.10;0.00;0.68;159.40
BU01;Miranda de Ebro;2001-03-09;0400;0.00;10.93;82.80;0.00;1.21;214.10
BU01;Miranda de Ebro;2001-03-09;0430;0.00;11.09;83.70;0.00;1.62;217.00
BU01;Miranda de Ebro;2001-03-09;0500;0.00;11.14;82.70;0.00;1.84;214.90
