Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-11-30;0030;0.00;-0.20;89.90;0.00;1.49;172.20
AV01;Nava de Arévalo;2001-11-30;0100;0.00;-0.38;90.20;0.00;1.37;170.20
AV01;Nava de Arévalo;2001-11-30;0130;0.00;-0.64;90.90;0.00;1.35;172.10
AV01;Nava de Arévalo;2001-11-30;0200;0.00;-0.48;89.60;0.00;1.79;174.70
AV01;Nava de Arévalo;2001-11-30;0230;0.00;-0.82;89.90;0.00;1.11;173.10
AV01;Nava de Arévalo;2001-11-30;0300;0.00;-0.80;90.80;0.00;1.85;175.90
AV01;Nava de Arévalo;2001-11-30;0330;0.00;-0.91;89.90;0.00;0.88;177.10
AV01;Nava de Arévalo;2001-11-30;0400;0.00;-0.98;90.50;0.00;0.88;181.20
AV01;Nava de Arévalo;2001-11-30;0430;0.00;-1.19;90.60;0.00;1.24;161.00
AV01;Nava de Arévalo;2001-11-30;0500;0.00;-1.33;91.40;0.00;1.66;170.70
AV01;Nava de Arévalo;2001-11-30;0530;0.00;-1.76;92.10;0.00;1.43;172.10
AV01;Nava de Arévalo;2001-11-30;0600;0.00;-1.53;91.80;0.00;1.82;175.90
AV01;Nava de Arévalo;2001-11-30;0630;0.00;-1.46;90.90;0.00;1.46;176.00
AV01;Nava de Arévalo;2001-11-30;0700;0.00;-1.71;91.30;1.12;0.94;179.10
AV01;Nava de Arévalo;2001-11-30;0730;0.00;-1.90;92.30;18.17;1.10;167.80
AV01;Nava de Arévalo;2001-11-30;0800;0.00;-0.65;90.90;85.00;0.86;163.90
AV01;Nava de Arévalo;2001-11-30;0830;0.00;1.34;85.80;152.60;1.10;160.70
AV01;Nava de Arévalo;2001-11-30;0900;0.00;3.59;80.70;187.20;1.84;159.90
AV01;Nava de Arévalo;2001-11-30;0930;0.00;5.92;75.10;299.10;1.30;154.70
AV01;Nava de Arévalo;2001-11-30;1000;0.00;7.45;69.39;359.90;1.25;151.20
AV01;Nava de Arévalo;2001-11-30;1030;0.00;9.85;61.50;404.80;0.53;157.50
AV01;Nava de Arévalo;2001-11-30;1100;0.00;11.99;55.27;439.00;0.42;197.30
AV01;Nava de Arévalo;2001-11-30;1130;0.00;13.03;51.33;464.00;0.58;289.60
AV01;Nava de Arévalo;2001-11-30;1200;0.00;13.40;49.16;473.30;0.86;239.30
AV01;Nava de Arévalo;2001-11-30;1230;0.00;13.95;45.56;464.80;1.40;256.10
AV01;Nava de Arévalo;2001-11-30;1300;0.00;14.40;43.96;445.20;1.22;299.00
AV01;Nava de Arévalo;2001-11-30;1330;0.00;15.28;40.95;412.50;2.10;290.90
AV01;Nava de Arévalo;2001-11-30;1400;0.00;15.30;38.85;368.30;2.45;290.20
AV01;Nava de Arévalo;2001-11-30;1430;0.00;15.50;37.87;311.70;2.00;299.50
AV01;Nava de Arévalo;2001-11-30;1500;0.00;15.25;38.87;243.90;2.26;304.00
AV01;Nava de Arévalo;2001-11-30;1530;0.00;14.54;40.96;171.60;2.06;317.50
AV01;Nava de Arévalo;2001-11-30;1600;0.00;13.49;46.26;96.30;1.27;329.80
AV01;Nava de Arévalo;2001-11-30;1630;0.00;11.22;53.15;22.25;1.10;347.10
AV01;Nava de Arévalo;2001-11-30;1700;0.00;8.62;60.87;2.08;0.42;340.50
AV01;Nava de Arévalo;2001-11-30;1730;0.00;6.80;68.50;0.00;1.68;297.00
AV01;Nava de Arévalo;2001-11-30;1800;0.00;4.70;80.10;0.00;0.61;273.60
AV01;Nava de Arévalo;2001-11-30;1830;0.00;3.90;83.60;0.00;0.48;265.40
AV01;Nava de Arévalo;2001-11-30;1900;0.00;2.44;84.70;0.00;0.94;246.20
AV01;Nava de Arévalo;2001-11-30;1930;0.00;1.45;90.20;0.00;0.92;290.00
AV01;Nava de Arévalo;2001-11-30;2000;0.00;2.17;93.50;0.00;1.48;292.60
AV01;Nava de Arévalo;2001-11-30;2030;0.00;2.17;94.80;0.00;2.19;293.00
AV01;Nava de Arévalo;2001-11-30;2100;0.00;2.52;95.70;0.00;1.85;293.60
AV01;Nava de Arévalo;2001-11-30;2130;0.00;2.65;96.10;0.00;2.08;279.90
AV01;Nava de Arévalo;2001-11-30;2200;0.00;2.56;96.20;0.00;1.89;267.30
AV01;Nava de Arévalo;2001-11-30;2230;0.00;2.67;96.60;0.00;1.46;270.30
AV01;Nava de Arévalo;2001-11-30;2300;0.00;3.07;96.70;0.00;0.82;248.00
AV01;Nava de Arévalo;2001-11-30;2330;0.20;3.47;96.60;0.00;1.60;265.10
AV01;Nava de Arévalo;2001-11-30;2400;0.00;3.43;96.60;0.00;1.94;265.80
BU01;Miranda de Ebro;2001-11-30;0030;0.00;1.20;92.70;0.00;0.39;329.00
BU01;Miranda de Ebro;2001-11-30;0100;0.00;1.23;93.10;0.00;0.27;325.20
BU01;Miranda de Ebro;2001-11-30;0130;0.00;0.80;92.90;0.00;0.40;210.90
BU01;Miranda de Ebro;2001-11-30;0200;0.00;0.74;93.60;0.00;0.25;216.20
BU01;Miranda de Ebro;2001-11-30;0230;0.00;0.98;93.60;0.00;0.35;237.60
BU01;Miranda de Ebro;2001-11-30;0300;0.00;0.54;93.70;0.00;0.55;225.30
BU01;Miranda de Ebro;2001-11-30;0330;0.00;1.32;94.10;0.00;0.46;278.90
BU01;Miranda de Ebro;2001-11-30;0400;0.00;1.14;94.10;0.00;0.40;176.30
BU01;Miranda de Ebro;2001-11-30;0430;0.00;1.18;94.40;0.00;0.29;48.57
BU01;Miranda de Ebro;2001-11-30;0500;0.00;1.70;94.50;0.00;0.53;332.40
BU01;Miranda de Ebro;2001-11-30;0530;0.00;2.03;94.40;0.00;0.54;229.00
BU01;Miranda de Ebro;2001-11-30;0600;0.00;1.86;94.60;0.00;0.72;223.30
BU01;Miranda de Ebro;2001-11-30;0630;0.00;2.03;94.70;0.00;0.33;263.00
BU01;Miranda de Ebro;2001-11-30;0700;0.00;2.08;94.80;0.08;0.29;71.00
BU01;Miranda de Ebro;2001-11-30;0730;0.00;2.08;94.90;3.04;0.48;238.90
BU01;Miranda de Ebro;2001-11-30;0800;0.00;2.05;94.90;15.91;0.45;194.90
BU01;Miranda de Ebro;2001-11-30;0830;0.00;1.78;95.00;35.17;0.24;206.40
BU01;Miranda de Ebro;2001-11-30;0900;0.00;2.05;95.00;48.36;0.35;223.70
BU01;Miranda de Ebro;2001-11-30;0930;0.00;2.30;95.00;86.00;0.33;196.90
